depth	mC	CG	CHG	CHH
5	0	9	6	59
5	1	0	1	6
5	2	0	0	1
5	3	0	1	0
5	4	1	0	0
5	5	2	0	0
6	0	11	13	112
6	1	1	0	3
6	2	0	0	2
6	3	0	1	0
6	6	1	0	0
7	0	16	25	130
7	1	1	1	3
7	2	0	1	2
7	3	0	0	1
7	5	0	3	0
7	6	2	0	0
7	7	1	0	0
8	0	25	30	156
8	1	2	0	7
8	3	0	0	1
8	4	0	1	0
8	5	1	0	0
8	6	3	1	0
8	7	1	0	0
9	0	40	48	205
9	1	3	3	17
9	2	0	0	4
9	3	0	3	3
9	5	1	0	2
9	7	1	2	0
9	8	4	1	0
9	9	3	0	0
10	0	68	50	284
10	1	6	1	15
10	2	0	3	5
10	3	0	2	0
10	4	2	2	2
10	5	0	2	0
10	7	1	0	0
10	8	2	2	0
10	9	1	1	0
10	10	3	1	0
11	0	71	64	328
11	1	4	7	24
11	2	0	1	2
11	3	0	1	0
11	5	0	2	0
11	6	1	3	0
11	7	1	1	0
11	8	1	0	0
11	9	1	2	0
11	10	1	1	0
11	11	4	0	0
12	0	70	64	370
12	1	2	16	22
12	2	1	3	3
12	3	0	1	3
12	4	1	1	1
12	5	0	1	0
12	6	1	3	0
12	7	0	1	0
12	8	1	0	0
12	9	1	2	0
12	10	2	0	0
12	11	4	2	0
12	12	9	0	0
13	0	74	71	403
13	1	7	9	28
13	2	1	2	5
13	3	0	2	3
13	4	1	2	0
13	5	0	3	0
13	6	0	2	0
13	7	0	2	0
13	9	0	2	0
13	10	3	1	0
13	11	0	1	0
13	12	1	0	0
13	13	0	2	0
14	0	85	71	413
14	1	5	11	33
14	2	0	4	2
14	3	0	0	2
14	4	0	1	2
14	5	0	3	1
14	6	0	1	0
14	7	1	0	0
14	8	1	0	0
14	9	1	0	0
14	10	1	4	0
14	11	0	2	0
14	12	0	3	0
14	13	1	0	0
14	14	0	1	0
15	0	98	88	441
15	1	5	14	29
15	2	0	0	7
15	3	1	0	4
15	4	1	2	1
15	5	1	1	0
15	6	0	1	0
15	7	1	2	0
15	8	0	2	0
15	9	2	2	0
15	10	2	2	0
15	11	2	5	0
15	12	2	2	0
15	13	2	2	0
15	14	7	2	0
15	15	4	1	0
16	0	86	79	408
16	1	7	9	30
16	2	1	7	10
16	3	0	2	1
16	4	0	2	0
16	5	1	2	1
16	6	0	3	0
16	7	0	1	0
16	8	1	2	1
16	9	1	1	0
16	10	0	3	0
16	11	1	0	0
16	12	0	2	0
16	13	1	1	0
16	14	5	1	0
16	15	6	0	0
16	16	3	0	0
17	0	83	77	346
17	1	5	15	42
17	2	0	4	3
17	3	1	3	6
17	4	0	1	0
17	5	2	1	1
17	6	0	3	1
17	7	0	0	1
17	8	1	4	0
17	10	1	2	0
17	11	0	1	0
17	12	0	2	0
17	13	1	0	0
17	14	4	3	0
17	15	1	1	0
17	16	5	0	0
17	17	4	0	0
18	0	61	65	324
18	1	3	6	33
18	2	0	4	6
18	3	0	2	6
18	4	0	1	2
18	5	1	1	1
18	6	0	0	1
18	7	0	2	0
18	8	1	2	0
18	9	0	1	0
18	10	1	0	0
18	12	0	4	0
18	14	0	1	0
18	15	1	1	0
18	16	8	0	0
18	17	5	0	0
18	18	4	0	0
19	0	61	60	296
19	1	4	6	24
19	2	1	3	3
19	3	0	2	1
19	4	0	1	1
19	5	2	2	1
19	6	0	2	0
19	7	1	1	1
19	8	0	3	0
19	11	0	1	0
19	12	0	2	0
19	13	0	1	0
19	14	2	0	0
19	15	0	1	0
19	17	1	1	0
19	19	1	0	0
20	0	59	58	272
20	1	2	10	18
20	2	1	5	3
20	3	0	1	0
20	4	1	0	1
20	5	0	2	1
20	6	0	1	1
20	7	1	2	0
20	8	0	1	0
20	9	2	0	1
20	10	0	1	0
20	11	0	2	0
20	12	1	1	0
20	14	0	1	0
20	16	2	1	0
20	17	0	1	0
20	18	2	1	0
20	19	1	2	0
20	20	4	0	0
21	0	56	37	232
21	1	7	8	26
21	2	2	1	8
21	3	1	1	4
21	4	0	1	1
21	6	0	2	0
21	7	0	1	0
21	9	0	2	0
21	10	0	2	0
21	11	0	2	0
21	13	0	1	0
21	14	2	0	0
21	15	0	1	0
21	16	0	1	0
21	17	2	0	0
21	18	0	1	0
21	19	1	0	0
21	20	1	1	0
22	0	59	41	237
22	1	4	5	21
22	2	1	2	6
22	3	0	1	0
22	4	0	4	0
22	5	0	0	1
22	7	1	0	1
22	8	0	1	0
22	9	0	2	0
22	10	0	4	0
22	11	0	2	1
22	12	0	1	0
22	14	0	2	0
22	15	0	1	0
22	18	0	1	0
22	19	3	1	0
22	20	2	0	0
