depth	number
0	5746552
1	1173403
2	1315827
3	1546155
4	1833650
5	2169597
6	2516437
7	2824557
8	3033145
9	3120069
10	3054308
11	2861696
12	2554610
13	2194967
14	1806356
15	1426889
16	1089572
17	806973
18	577626
19	402626
20	272942
21	181230
22	117165
23	75389
24	47906
25	29909
26	19255
27	12365
28	8362
29	5824
30	4241
31	3285
32	2518
33	2047
34	1653
35	1426
36	1311
37	1198
38	1004
39	916
40	809
41	835
42	687
43	725
44	652
45	669
46	612
47	603
48	525
49	476
50	484
51	410
52	445
53	410
54	357
55	317
56	328
57	306
58	289
59	258
60	257
61	253
62	197
63	204
64	194
65	162
66	149
67	129
68	121
69	101
70	81
71	83
72	89
73	61
74	74
75	59
76	57
77	50
78	51
79	41
80	44
81	42
82	36
83	17
84	17
85	20
86	25
87	21
88	28
89	16
90	16
91	10
92	14
93	12
94	15
95	8
96	6
97	12
98	15
99	12
100	9
101	5
102	6
103	8
104	3
105	9
106	2
107	10
108	5
109	6
110	8
111	6
112	3
113	6
114	5
115	5
116	2
117	0
118	2
119	4
120	3
121	4
122	1
123	0
124	1
125	2
126	1
127	1
128	0
129	1
130	0
131	0
132	0
133	0
134	1
135	1
136	0
137	0
138	0
139	0
140	1
141	0
142	1
143	1
144	0
145	1
146	0
147	0
148	0
149	0
150	0
151	0
152	1
153	0
154	0
155	0
156	0
157	1
