depth	number
0	5927512
1	1394598
2	1599153
3	1892898
4	2221858
5	2545147
6	2815451
7	3000865
8	3058531
9	2994805
10	2802214
11	2527082
12	2201642
13	1853312
14	1511956
15	1197394
16	920478
17	693008
18	508533
19	364484
20	257069
21	178345
22	120342
23	81149
24	53972
25	35658
26	23385
27	15928
28	11061
29	7862
30	5704
31	4453
32	3495
33	2802
34	2334
35	1969
36	1777
37	1521
38	1281
39	1177
40	1085
41	959
42	843
43	849
44	814
45	664
46	612
47	569
48	600
49	580
50	530
51	533
52	455
53	445
54	472
55	427
56	365
57	383
58	318
59	318
60	333
61	296
62	280
63	232
64	231
65	219
66	202
67	149
68	148
69	139
70	131
71	113
72	112
73	102
74	86
75	70
76	91
77	79
78	68
79	76
80	52
81	59
82	61
83	51
84	57
85	55
86	36
87	30
88	35
89	31
90	44
91	25
92	26
93	27
94	21
95	22
96	16
97	11
98	10
99	16
100	8
101	20
102	13
103	9
104	17
105	8
106	16
107	12
108	14
109	15
110	3
111	6
112	10
113	8
114	8
115	3
116	2
117	7
118	6
119	4
120	5
121	4
122	1
123	1
124	1
125	3
126	0
127	2
128	1
129	0
130	0
131	1
132	0
133	0
134	0
135	1
136	0
137	1
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	1
146	1
147	0
148	0
149	0
150	0
151	0
152	0
153	2
154	0
155	0
156	0
157	0
158	0
159	1
