depth	number
0	5877829
1	1340568
2	1527827
3	1770436
4	2050166
5	2323595
6	2561166
7	2710062
8	2774691
9	2756885
10	2643968
11	2454374
12	2219674
13	1946325
14	1667630
15	1396297
16	1137375
17	911812
18	715363
19	551361
20	415080
21	307634
22	224846
23	162439
24	115271
25	80841
26	57262
27	39627
28	27698
29	19296
30	13782
31	9889
32	7113
33	5429
34	4202
35	3233
36	2736
37	2183
38	1885
39	1562
40	1471
41	1287
42	1131
43	1043
44	937
45	746
46	744
47	694
48	706
49	603
50	567
51	568
52	496
53	514
54	440
55	464
56	407
57	417
58	376
59	352
60	314
61	312
62	317
63	292
64	262
65	255
66	207
67	193
68	216
69	144
70	163
71	166
72	149
73	134
74	110
75	116
76	105
77	109
78	85
79	93
80	59
81	65
82	63
83	65
84	55
85	48
86	23
87	40
88	34
89	36
90	39
91	25
92	33
93	32
94	29
95	27
96	20
97	26
98	16
99	15
100	18
101	10
102	16
103	7
104	12
105	8
106	5
107	5
108	10
109	10
110	8
111	13
112	4
113	3
114	3
115	9
116	11
117	5
118	5
119	3
120	6
121	8
122	2
123	5
124	1
125	5
126	0
127	5
128	2
129	1
130	4
131	0
132	3
133	0
134	2
135	0
136	0
137	1
138	0
139	1
140	0
141	0
142	0
143	0
144	1
145	1
146	0
147	0
148	0
149	1
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	1
160	0
161	1
