C24_ros1nrpd1aA_nodupl_depth	CG_cutoff	CHG_cutoff	CHH_cutoff
0	1	1	1
1	2	2	2
2	2	2	2
3	2	2	2
4	2	2	2
5	2	2	3
6	2	2	3
7	2	2	3
8	2	2	3
9	2	2	3
10	2	2	3
11	2	3	3
12	2	3	3
13	2	3	3
14	2	3	3
15	2	3	3
16	2	3	3
17	3	3	3
18	3	3	3
19	3	3	3
20	3	3	3
21	3	3	3
22	3	3	3
23	3	3	3
24	3	3	3
25	3	3	3
26	3	3	3
27	3	3	3
28	3	3	3
29	3	3	3
30	3	3	3
31	3	3	3
32	3	3	3
33	2	3	3
34	2	3	3
35	2	3	3
36	2	3	3
37	2	2	3
38	2	2	3
39	2	2	3
40	2	2	3
41	2	2	3
42	2	2	3
43	2	3	3
44	2	2	3
45	2	2	3
46	2	2	3
47	2	2	3
48	2	2	3
49	2	2	3
50	2	2	3
51	3	2	3
52	2	2	3
53	2	2	3
54	3	2	3
55	3	3	3
56	3	3	3
57	2	2	3
58	2	3	3
59	3	3	3
60	3	3	3
61	3	3	3
62	2	2	3
63	3	3	3
64	3	2	3
65	2	3	3
66	3	3	3
67	3	2	3
68	2	3	3
69	2	3	3
70	3	3	3
71	3	3	4
72	3	3	3
73	3	3	3
74	3	3	3
75	3	3	4
76	2	3	4
77	3	3	4
78	3	3	4
79	3	3	4
80	3	3	4
81	3	3	4
82	3	3	3
83	2	3	4
84	3	4	3
85	3	2	3
86	3	1	4
87	1	1	4
88	3	4	4
89	4	3	4
90	3	4	4
91	4	92	4
92	3	4	4
93	1	4	4
94	4	4	4
95	4	1	4
96	1	4	4
97	3	1	4
98	4	3	4
99	4	100	4
100	3	1	4
101	3	NA	102
102	1	1	4
103	1	NA	4
104	4	4	4
105	1	4	106
106	1	107	4
107	NA	NA	4
108	3	1	4
109	1	1	4
110	NA	1	111
111	1	4	4
112	NA	113	113
113	4	NA	NA
114	NA	115	1
115	4	NA	4
116	1	1	5
117	1	NA	4
118	1	119	4
119	1	1	1
120	121	1	4
121	1	1	122
122	1	NA	NA
123	4	1	4
124	1	NA	NA
125	1	1	126
126	NA	NA	NA
127	1	1	1
128	NA	NA	4
129	NA	NA	130
130	NA	NA	1
131	NA	NA	NA
132	1	1	1
133	NA	NA	NA
134	1	1	NA
135	NA	NA	NA
136	NA	NA	NA
137	NA	NA	1
138	NA	NA	NA
139	NA	NA	1
140	NA	NA	NA
141	NA	NA	NA
142	NA	NA	NA
143	NA	NA	NA
144	NA	NA	1
145	NA	NA	146
146	NA	NA	NA
147	NA	NA	NA
148	NA	NA	NA
149	1	NA	NA
150	NA	NA	NA
151	NA	NA	NA
152	NA	NA	NA
153	NA	NA	NA
154	NA	NA	NA
155	NA	NA	NA
156	NA	NA	NA
157	NA	NA	NA
158	NA	NA	NA
159	NA	NA	160
160	NA	NA	NA
161	NA	NA	1
