depth	mC	CG	CHG	CHH
0	0	749187	748758	4379884
1	0	90829	119706	1020857
1	1	52340	23691	33145
2	0	106351	136141	1146500
2	1	14834	18185	42602
2	2	44143	11655	7416
3	0	131247	163760	1305542
3	1	6617	15768	54605
3	2	16709	12001	11569
3	3	42086	7515	3017
4	0	160590	200474	1486495
4	1	5420	15226	66387
4	2	6299	11001	14544
4	3	20128	9378	5538
4	4	41744	5327	1615
5	0	191082	238487	1656398
5	1	6351	15576	79913
5	2	2906	9822	17319
5	3	8006	9385	7649
5	4	23147	7790	3152
5	5	41732	3970	910
6	0	221231	276115	1791574
6	1	8027	16773	92730
6	2	1936	8821	19482
6	3	3494	8638	9471
6	4	10133	8164	4622
6	5	26411	6332	1787
6	6	41858	2983	584
7	0	240419	307739	1864096
7	1	9673	17934	103256
7	2	1641	7743	20276
7	3	2063	7635	10505
7	4	4498	7770	5777
7	5	11729	6992	2825
7	6	27907	5166	1129
7	7	40667	2249	373
8	0	257290	328574	1874731
8	1	11423	19199	111065
8	2	1562	6826	20637
8	3	1379	6499	10925
8	4	2191	6686	6537
8	5	5134	6621	3678
8	6	13125	5766	1750
8	7	28499	4082	693
8	8	37918	1655	246
9	0	263907	340268	1833115
9	1	12785	20298	114969
9	2	1518	5877	20040
9	3	1138	5506	10905
9	4	1387	5671	6853
9	5	2423	5715	4171
9	6	5772	5523	2357
9	7	13688	4757	1071
9	8	27566	3212	498
9	9	34465	1291	139
10	0	260648	339591	1729958
10	1	13645	20827	113852
10	2	1515	5140	19092
10	3	923	4496	10235
10	4	955	4706	6828
10	5	1427	4664	4502
10	6	2722	4792	2689
10	7	6148	4562	1465
10	8	13662	3810	683
10	9	26510	2399	237
10	10	30260	930	95
11	0	248107	325991	1582316
11	1	14229	20968	110357
11	2	1510	4241	17539
11	3	805	3607	9201
11	4	789	3754	6294
11	5	878	3854	4177
11	6	1407	3907	2709
11	7	2904	4017	1668
11	8	6419	3630	900
11	9	13200	3015	396
11	10	23259	1729	165
11	11	25722	640	70
12	0	228738	303928	1412290
12	1	13884	20371	103841
12	2	1380	3535	15664
12	3	690	2991	8027
12	4	640	2956	5514
12	5	692	2870	3858
12	6	867	3074	2643
12	7	1544	3166	1644
12	8	2912	3108	1008
12	9	5973	2761	528
12	10	12208	2099	255
12	11	20870	1232	113
12	12	21321	437	42
13	0	204421	273586	1220886
13	1	13590	19170	94771
13	2	1283	3021	13858
13	3	643	2421	6895
13	4	557	2268	4818
13	5	496	2291	3407
13	6	535	2380	2369
13	7	869	2505	1576
13	8	1379	2608	1058
13	9	2761	2447	611
13	10	5607	2172	321
13	11	10830	1577	164
13	12	17831	861	64
13	13	17094	290	34
14	0	177072	241112	1034380
14	1	12448	17904	83646
14	2	1240	2439	11598
14	3	545	1752	5652
14	4	404	1691	3947
14	5	424	1798	2828
14	6	401	1842	2026
14	7	533	1893	1455
14	8	790	1987	1064
14	9	1376	2030	665
14	10	2577	1843	362
14	11	5102	1477	176
14	12	9480	1119	96
14	13	14271	632	54
14	14	13297	172	30
15	0	149809	205048	857744
15	1	11109	15822	72424
15	2	1033	2001	9458
15	3	459	1364	4813
15	4	332	1274	3291
15	5	284	1362	2488
15	6	308	1429	1772
15	7	381	1451	1409
15	8	474	1475	916
15	9	723	1557	613
15	10	1275	1434	381
15	11	2321	1317	208
15	12	4306	1146	117
15	13	7868	785	54
15	14	11562	443	25
15	15	10299	118	15
16	0	123388	170282	690077
16	1	9839	13776	61768
16	2	909	1711	7972
16	3	367	1047	3705
16	4	296	962	2666
16	5	229	1027	1967
16	6	247	1008	1539
16	7	248	1086	1121
16	8	325	1101	793
16	9	414	1095	547
16	10	669	1044	361
16	11	1124	1019	239
16	12	2075	945	131
16	13	3683	762	73
16	14	6292	501	30
16	15	8868	268	19
16	16	7662	89	9
17	0	98829	138942	548192
17	1	8307	11997	51060
17	2	784	1354	6333
17	3	317	777	2993
17	4	228	721	2106
17	5	198	738	1575
17	6	182	750	1158
17	7	175	815	929
17	8	215	779	708
17	9	296	853	499
17	10	378	824	369
17	11	565	878	218
17	12	992	771	144
17	13	1691	646	87
17	14	3086	536	39
17	15	4920	332	17
17	16	6777	175	15
17	17	5485	51	6
18	0	77507	109484	427367
18	1	6923	9826	41215
18	2	660	1057	5340
18	3	259	586	2307
18	4	186	571	1708
18	5	145	542	1235
18	6	127	566	980
18	7	122	580	752
18	8	132	626	653
18	9	178	631	433
18	10	235	594	307
18	11	354	615	177
18	12	465	600	139
18	13	826	532	83
18	14	1473	488	34
18	15	2427	377	19
18	16	3792	230	10
18	17	4939	107	11
18	18	3797	27	7
19	0	59426	85962	326693
19	1	5444	7928	33001
19	2	508	837	4082
19	3	195	453	1762
19	4	131	452	1269
19	5	128	386	996
19	6	96	391	807
19	7	99	438	561
19	8	107	412	449
19	9	140	435	347
19	10	133	457	255
19	11	177	433	201
19	12	252	431	116
19	13	409	424	93
19	14	682	387	46
19	15	1179	314	23
19	16	1933	229	13
19	17	2788	164	5
19	18	3463	80	3
19	19	2722	11	3
20	0	44571	64840	243872
20	1	4292	6405	25516
20	2	417	708	3371
20	3	160	351	1416
20	4	130	303	1031
20	5	95	249	795
20	6	70	276	649
20	7	82	302	458
20	8	66	285	377
20	9	80	349	283
20	10	104	298	211
20	11	128	324	170
20	12	161	326	122
20	13	211	328	88
20	14	361	300	56
20	15	524	259	35
20	16	868	221	11
20	17	1462	171	11
20	18	2091	93	4
20	19	2536	51	4
20	20	1740	11	1
21	0	32790	48275	179137
21	1	3349	4903	19850
21	2	320	544	2624
21	3	114	236	1122
21	4	85	211	732
21	5	75	218	584
21	6	46	208	472
21	7	61	208	377
21	8	60	216	315
21	9	56	254	247
21	10	76	233	198
21	11	78	245	129
21	12	101	257	87
21	13	132	246	82
21	14	178	251	37
21	15	274	235	27
21	16	410	203	12
21	17	644	138	11
21	18	1038	100	4
21	19	1513	65	4
21	20	1755	23	0
21	21	1149	9	1
22	0	23628	35193	130111
22	1	2556	3774	14800
22	2	246	398	1956
22	3	82	200	886
22	4	50	175	614
22	5	49	146	466
22	6	49	158	392
22	7	31	151	292
22	8	40	139	243
22	9	52	170	203
22	10	37	192	145
22	11	40	183	139
22	12	55	186	89
22	13	69	203	63
22	14	94	193	41
22	15	139	211	28
22	16	225	172	23
22	17	327	139	11
22	18	511	111	7
22	19	745	75	4
22	20	1122	43	1
22	21	1188	20	1
22	22	753	11	0
23	0	17104	25414	93070
23	1	1793	2716	11113
23	2	182	284	1595
23	3	65	125	687
23	4	37	126	467
23	5	28	129	362
23	6	24	120	297
23	7	36	111	248
23	8	26	123	187
23	9	40	116	144
23	10	31	127	146
23	11	32	113	94
23	12	37	146	61
23	13	51	126	60
23	14	56	120	54
23	15	89	140	35
23	16	126	120	22
23	17	164	112	12
23	18	264	104	5
23	19	406	76	8
23	20	581	45	1
23	21	747	33	0
23	22	793	10	0
23	23	519	4	0
24	0	11931	17837	65240
24	1	1301	2070	8222
24	2	133	233	1150
24	3	49	104	555
24	4	36	95	368
24	5	24	87	250
24	6	21	88	245
24	7	23	99	190
24	8	29	105	157
24	9	29	102	150
24	10	28	87	113
24	11	36	114	81
24	12	31	91	49
24	13	21	108	57
24	14	38	98	50
24	15	47	98	23
24	16	59	105	18
24	17	99	102	11
24	18	132	83	9
24	19	198	83	5
24	20	314	41	3
24	21	424	29	1
24	22	534	17	1
24	23	553	6	0
24	24	343	6	2
25	0	8154	12471	45217
25	1	981	1504	5939
25	2	86	160	965
25	3	33	87	431
25	4	30	71	267
25	5	27	68	231
25	6	18	64	162
25	7	17	65	153
25	8	17	77	124
25	9	22	71	104
25	10	27	75	81
25	11	16	77	68
25	12	28	71	57
25	13	30	68	37
25	14	21	79	29
25	15	36	87	18
25	16	37	68	30
25	17	52	63	6
25	18	71	45	3
25	19	108	46	1
25	20	144	58	4
25	21	241	54	2
25	22	299	23	2
25	23	395	11	1
25	24	354	6	1
25	25	193	2	0
26	0	5632	8569	31856
26	1	675	1036	4347
26	2	71	134	765
26	3	26	58	330
26	4	19	49	246
26	5	8	56	167
26	6	13	47	136
26	7	12	51	121
26	8	10	47	79
26	9	16	49	93
26	10	14	48	64
26	11	18	44	48
26	12	13	68	51
26	13	27	62	38
26	14	13	70	27
26	15	16	51	22
26	16	22	70	14
26	17	32	56	10
26	18	43	74	9
26	19	70	54	3
26	20	81	37	4
26	21	104	43	0
26	22	178	32	1
26	23	241	17	1
26	24	250	11	0
26	25	251	0	2
26	26	137	2	1
27	0	3677	5826	21667
27	1	490	736	3172
27	2	65	95	570
27	3	12	38	292
27	4	12	31	185
27	5	9	40	121
27	6	12	41	125
27	7	12	37	97
27	8	8	31	90
27	9	21	54	68
27	10	5	47	55
27	11	6	49	53
27	12	9	47	36
27	13	13	63	23
27	14	16	46	25
27	15	17	56	23
27	16	12	36	13
27	17	26	36	12
27	18	30	51	7
27	19	19	36	8
27	20	55	53	1
27	21	65	37	2
27	22	97	24	3
27	23	120	22	2
27	24	150	11	0
27	25	179	6	0
27	26	200	1	1
27	27	89	0	0
28	0	2447	4001	14777
28	1	348	554	2340
28	2	36	69	467
28	3	23	30	227
28	4	7	29	145
28	5	15	32	112
28	6	7	30	107
28	7	7	36	81
28	8	7	40	78
28	9	8	32	52
28	10	10	30	49
28	11	6	41	49
28	12	13	36	26
28	13	10	41	20
28	14	9	32	24
28	15	11	41	21
28	16	13	45	14
28	17	7	33	8
28	18	18	28	7
28	19	13	42	4
28	20	28	26	5
28	21	48	28	1
28	22	56	29	1
28	23	78	18	0
28	24	94	14	0
28	25	124	6	0
28	26	130	2	0
28	27	95	4	0
28	28	64	1	1
29	0	1653	2654	10016
29	1	202	366	1792
29	2	35	48	376
29	3	9	24	159
29	4	2	24	130
29	5	4	19	89
29	6	4	23	65
29	7	11	22	67
29	8	2	20	76
29	9	6	35	60
29	10	6	29	36
29	11	4	37	39
29	12	7	28	28
29	13	6	22	28
