chr	start	end	strand	ID
chr1	15827287	15838845	-	AT1TE52125
chr1	13085455	13085593	+	AT1TE42735
chr1	11181821	11181959	+	AT1TE36140
chr1	6759762	6759900	+	AT1TE21850
chr1	29079013	29079151	+	AT1TE95105
chr1	5681490	5681628	+	AT1TE18375
chr1	19822380	19824568	+	AT1TE65535
chr1	3506360	3506498	+	AT1TE11410
chr1	20699111	20699248	+	AT1TE68360
chr1	5967433	5967570	+	AT1TE19300
chr1	19030078	19030213	-	AT1TE63050
chr1	16325184	16327367	-	AT1TE53750
chr1	12014741	12014878	+	AT1TE38930
chr1	12562100	12564283	-	AT1TE40925
chr1	12918637	12918772	-	AT1TE42110
chr1	19233923	19234058	-	AT1TE63730
chr1	15149755	15149893	+	AT1TE49730
chr1	14049537	14049673	-	AT1TE46155
chr1	11410705	11410726	-	AT1TE36900
chr1	20748621	20748758	-	AT1TE68520
chr1	13314042	13314155	-	AT1TE43535
chr1	21779493	21779632	+	AT1TE71890
chr1	19267200	19267310	+	AT1TE63860
chr1	19326868	19327005	-	AT1TE64050
chr1	7202163	7202263	-	AT1TE23280
chr1	9815682	9815773	+	AT1TE31580
chr1	16742379	16751122	-	AT1TE55320
chr1	15991343	15991480	-	AT1TE52710
chr1	11301592	11301728	-	AT1TE36560
chr1	19763827	19763965	+	AT1TE65335
chr1	19993529	19993664	-	AT1TE66080
chr1	27758287	27758423	-	AT1TE90830
chr1	7630434	7630573	+	AT1TE24580
chr1	5812561	5812700	+	AT1TE18795
chr1	20497386	20497522	-	AT1TE67710
chr1	12983044	12983179	-	AT1TE42340
chr1	18302689	18302776	+	AT1TE60660
chr1	8573497	8573632	-	AT1TE27660
chr1	30250487	30250620	-	AT1TE98890
chr1	18317497	18317566	-	AT1TE60710
chr1	16637546	16637681	+	AT1TE54815
chr1	13397404	13397539	+	AT1TE43800
chr1	13171360	13171380	+	AT1TE42990
chr1	6402736	6402869	-	AT1TE20740
chr1	8322276	8322411	+	AT1TE26840
chr1	14177934	14178066	-	AT1TE46570
chr1	20554066	20554102	-	AT1TE67905
chr1	24977684	24977818	+	AT1TE82050
chr1	7690038	7690172	+	AT1TE24780
chr1	12841755	12841890	+	AT1TE41795
chr1	2526624	2526756	-	AT1TE08230
chr1	19301675	19301809	+	AT1TE63975
chr1	16691401	16691533	-	AT1TE55060
chr1	25170583	25170717	+	AT1TE82620
chr1	24356397	24356536	+	AT1TE80045
chr1	23143346	23143481	+	AT1TE76290
chr1	17293310	17293444	-	AT1TE57310
chr1	15076084	15078266	-	AT1TE49330
chr1	15352447	15354854	-	AT1TE50650
chr1	18163937	18164074	+	AT1TE60185
chr1	14427922	14449178	+	AT1TE47540
chr1	9899847	9899984	+	AT1TE31895
chr1	21191750	21191886	+	AT1TE70050
chr1	25823826	25823960	-	AT1TE84655
chr1	7125860	7125994	-	AT1TE23040
chr1	12809579	12809650	-	AT1TE41720
chr1	15111117	15111251	-	AT1TE49490
chr1	9318360	9318496	+	AT1TE30045
chr1	697952	698088	+	AT1TE02275
chr1	15547275	15549791	+	AT1TE51175
chr1	13601553	13601688	+	AT1TE44550
chr1	13039450	13039584	-	AT1TE42560
chr1	13840025	13840159	-	AT1TE45375
chr1	11421959	11422070	-	AT1TE36940
chr1	16732011	16732148	-	AT1TE55290
chr1	13121287	13121425	-	AT1TE42855
chr1	29702604	29702747	+	AT1TE97160
chr1	16584101	16586369	+	AT1TE54655
chr1	12330654	12330798	+	AT1TE40105
chr1	8490641	8492849	+	AT1TE27405
chr1	22562536	22562639	+	AT1TE74420
chr1	9163143	9163284	-	AT1TE29530
chr1	17516123	17516267	+	AT1TE58065
chr1	11093758	11093901	+	AT1TE35845
chr1	12501186	12503392	+	AT1TE40695
chr1	20004936	20005076	-	AT1TE66120
chr1	12851056	12851196	-	AT1TE41825
chr1	19636320	19636343	-	AT1TE64950
chr1	17685223	17685243	+	AT1TE58720
chr1	21425429	21425569	-	AT1TE70720
chr1	7034889	7034944	-	AT1TE22740
chr1	15674413	15674555	-	AT1TE51620
chr1	12877159	12877301	-	AT1TE41915
chr1	8114685	8116894	+	AT1TE26120
chr1	6454531	6454676	+	AT1TE20920
chr1	18747138	18747283	+	AT1TE62145
chr1	15761281	15761331	-	AT1TE51895
chr1	24752624	24752757	+	AT1TE81300
chr1	23065703	23065848	+	AT1TE76035
chr1	11634521	11634652	+	AT1TE37650
chr1	19901340	19901482	-	AT1TE65780
chr1	20090228	20090251	+	AT1TE66390
chr1	1251630	1251772	-	AT1TE04080
chr1	726695	726837	-	AT1TE02360
chr1	19700965	19701109	+	AT1TE65105
chr1	20322182	20322322	-	AT1TE67165
chr1	17547728	17547872	+	AT1TE58165
chr1	17239521	17239651	+	AT1TE57150
chr1	24918427	24918569	-	AT1TE81855
chr1	17544483	17544627	+	AT1TE58140
chr1	14139734	14139876	+	AT1TE46425
chr1	1976073	1976109	-	AT1TE06475
chr1	9582394	9582442	+	AT1TE30860
chr1	21990870	21990894	-	AT1TE72605
chr1	19288860	19288998	-	AT1TE63935
chr1	12888717	12888779	-	AT1TE41955
chr1	7224970	7225108	-	AT1TE23350
chr1	22953881	22954021	+	AT1TE75650
chr1	25811309	25811447	-	AT1TE84625
chr1	13636666	13636804	-	AT1TE44640
chr1	16156865	16156897	+	AT1TE53235
chr1	17477615	17477755	+	AT1TE57925
chr1	11692896	11693034	-	AT1TE37870
chr1	11692362	11692500	-	AT1TE37865
chr1	22888530	22888670	+	AT1TE75440
chr1	6273768	6273906	-	AT1TE20320
chr1	587269	587326	+	AT1TE01900
chr1	18766873	18766901	-	AT1TE62205
chr1	10524540	10524678	-	AT1TE34005
chr1	16760358	16760497	+	AT1TE55385
chr1	17687585	17687723	-	AT1TE58735
chr1	5436579	5436720	+	AT1TE17550
chr1	24553446	24553577	+	AT1TE80650
chr1	21659915	21660054	-	AT1TE71485
chr1	15068999	15069139	-	AT1TE49315
chr1	18766902	18767011	+	AT1TE62210
chr1	9863024	9863166	+	AT1TE31755
chr1	17116653	17116793	+	AT1TE56665
chr1	23947053	23947192	-	AT1TE78780
chr1	25344309	25344450	+	AT1TE83185
chr1	4872080	4872219	-	AT1TE15780
chr1	18816393	18816504	-	AT1TE62395
chr1	29180155	29180294	+	AT1TE95445
chr1	12346862	12347001	-	AT1TE40175
chr1	27498796	27498935	-	AT1TE89980
chr1	21957836	21957975	-	AT1TE72500
chr1	13351631	13351770	-	AT1TE43650
chr1	13493209	13493350	+	AT1TE44135
chr1	13879891	13880023	-	AT1TE45535
chr1	12525450	12525577	+	AT1TE40765
chr1	14187335	14187468	+	AT1TE46615
chr1	19000899	19000931	+	AT1TE62940
chr1	15939330	15941469	+	AT1TE52535
chr1	12990932	12991052	+	AT1TE42360
chr1	9412334	9412459	+	AT1TE30330
chr1	29244719	29244808	-	AT1TE95680
chr1	19945688	19945811	-	AT1TE65935
chr1	16182986	16183109	-	AT1TE53355
chr1	12975610	12975733	-	AT1TE42305
chr1	9188639	9188764	+	AT1TE29610
chr1	15926757	15926879	-	AT1TE52495
chr1	15642237	15642279	+	AT1TE51500
chr1	15420827	15420951	+	AT1TE50880
chr1	15123084	15123199	-	AT1TE49565
chr1	16699413	16701967	+	AT1TE55100
chr1	5657195	5657320	+	AT1TE18280
