chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	354368	354750	-	383	AT1TE01155	ATENSPM6	DNA/En-Spm
chr1	726695	726837	-	143	AT1TE02360	ATENSPM1A	DNA/En-Spm
chr1	1286382	1286558	-	177	AT1TE04200	ATENSPM1A	DNA/En-Spm
chr1	3388028	3388400	+	373	AT1TE11020	ATENSPM6	DNA/En-Spm
chr1	3960452	3960517	+	66	AT1TE12880	ATENSPM10	DNA/En-Spm
chr1	4987764	4987868	-	105	AT1TE16150	ATENSPM4	DNA/En-Spm
chr1	5353335	5353756	-	422	AT1TE17300	ATENSPM8	DNA/En-Spm
chr1	5353757	5353862	-	106	AT1TE17305	ATENSPM8	DNA/En-Spm
chr1	5797260	5797340	-	81	AT1TE18740	ATENSPM5	DNA/En-Spm
chr1	7025035	7025356	+	322	AT1TE22710	ATENSPM6	DNA/En-Spm
chr1	8160956	8161161	+	206	AT1TE26265	ATENSPM3	DNA/En-Spm
chr1	8322276	8322411	+	136	AT1TE26840	ATENSPM10	DNA/En-Spm
chr1	9481854	9482068	+	215	AT1TE30555	ATENSPM2	DNA/En-Spm
chr1	9578119	9578218	+	100	AT1TE30850	ATENSPM10	DNA/En-Spm
chr1	9979709	9979897	+	189	AT1TE32180	ATENSPM5	DNA/En-Spm
chr1	10602557	10604986	+	2430	AT1TE34315	ATENSPM10	DNA/En-Spm
chr1	10604987	10605010	+	24	AT1TE34320	ATENSPM10	DNA/En-Spm
chr1	10660290	10660600	-	311	AT1TE34465	ATENSPM1A	DNA/En-Spm
chr1	11302130	11302245	-	116	AT1TE36565	ATENSPM7	DNA/En-Spm
chr1	11302246	11310368	-	8123	AT1TE36570	ATENSPM3	DNA/En-Spm
chr1	11523417	11523517	+	101	AT1TE37280	ATENSPM3	DNA/En-Spm
chr1	11523551	11523780	+	230	AT1TE37290	ATENSPM5	DNA/En-Spm
chr1	11581195	11581565	+	371	AT1TE37495	ATENSPM1	DNA/En-Spm
chr1	11993457	11993578	-	122	AT1TE38845	ATENSPM1A	DNA/En-Spm
chr1	12016038	12020227	-	4190	AT1TE38940	ATENSPM1A	DNA/En-Spm
chr1	12142254	12142353	+	100	AT1TE39385	ATENSPM6	DNA/En-Spm
chr1	12142354	12142692	+	339	AT1TE39390	ATENSPM5	DNA/En-Spm
chr1	12167309	12167380	-	72	AT1TE39500	ATENSPM7	DNA/En-Spm
chr1	12172485	12172516	-	32	AT1TE39510	ATENSPM10	DNA/En-Spm
chr1	12172517	12177219	-	4703	AT1TE39515	ATENSPM10	DNA/En-Spm
chr1	12295451	12295625	-	175	AT1TE39955	ATENSPM2	DNA/En-Spm
chr1	12626457	12630547	+	4091	AT1TE41230	ATENSPM1A	DNA/En-Spm
chr1	12638701	12638777	-	77	AT1TE41275	ATENSPM3	DNA/En-Spm
chr1	12699869	12701299	+	1431	AT1TE41415	ATENSPM2	DNA/En-Spm
chr1	12942825	12947010	+	4186	AT1TE42210	ATENSPM3	DNA/En-Spm
chr1	12947011	12947118	+	108	AT1TE42215	ATENSPM7	DNA/En-Spm
chr1	12949835	12953875	+	4041	AT1TE42225	ATENSPM5	DNA/En-Spm
chr1	12953876	12953902	-	27	AT1TE42230	ATENSPM6	DNA/En-Spm
chr1	13023622	13023787	-	166	AT1TE42470	ATENSPM9	DNA/En-Spm
chr1	13131405	13140006	+	8602	AT1TE42890	ATENSPM5	DNA/En-Spm
chr1	13205858	13206348	+	491	AT1TE43120	ATENSPM2	DNA/En-Spm
chr1	13240219	13240424	-	206	AT1TE43265	ATENSPM7	DNA/En-Spm
chr1	13473487	13473687	-	201	AT1TE44080	ATENSPM3	DNA/En-Spm
chr1	13490621	13490824	-	204	AT1TE44130	ATENSPM7	DNA/En-Spm
chr1	13500959	13501073	+	115	AT1TE44190	ATENSPM11	DNA/En-Spm
chr1	13502554	13502777	+	224	AT1TE44195	ATENSPM11	DNA/En-Spm
chr1	13573425	13576126	-	2702	AT1TE44450	ATENSPM4	DNA/En-Spm
chr1	13576127	13581525	-	5399	AT1TE44455	ATENSPM2	DNA/En-Spm
chr1	13625190	13632772	-	7583	AT1TE44630	ATENSPM2	DNA/En-Spm
chr1	13732921	13732969	+	49	AT1TE45005	ATENSPM6	DNA/En-Spm
chr1	13732970	13734491	+	1522	AT1TE45010	ATENSPM9	DNA/En-Spm
chr1	13734492	13734679	-	188	AT1TE45015	ATENSPM6	DNA/En-Spm
chr1	13734680	13743201	-	8522	AT1TE45020	ATENSPM5	DNA/En-Spm
chr1	13743518	13743864	+	347	AT1TE45025	ATENSPM5	DNA/En-Spm
chr1	13744170	13744515	+	346	AT1TE45030	ATENSPM2	DNA/En-Spm
chr1	13747238	13747657	+	420	AT1TE45035	ATENSPM6	DNA/En-Spm
chr1	13840025	13840159	-	135	AT1TE45375	ATENSPM3	DNA/En-Spm
chr1	13840160	13840729	-	570	AT1TE45380	ATENSPM7	DNA/En-Spm
chr1	13840762	13840830	-	69	AT1TE45385	ATENSPM7	DNA/En-Spm
chr1	13842619	13847118	-	4500	AT1TE45395	ATENSPM7	DNA/En-Spm
chr1	13871158	13871383	+	226	AT1TE45510	ATENSPM6	DNA/En-Spm
chr1	13899346	13899585	+	240	AT1TE45600	ATENSPM6	DNA/En-Spm
chr1	13939978	13940762	+	785	AT1TE45785	ATENSPM2	DNA/En-Spm
chr1	13974817	13974845	-	29	AT1TE45865	ATENSPM5	DNA/En-Spm
chr1	13974846	13975522	-	677	AT1TE45870	ATENSPM9	DNA/En-Spm
chr1	14032113	14032437	-	325	AT1TE46090	ATENSPM3	DNA/En-Spm
chr1	14043265	14043720	-	456	AT1TE46130	ATENSPM2	DNA/En-Spm
chr1	14060613	14060828	-	216	AT1TE46195	ATENSPM2	DNA/En-Spm
chr1	14070822	14075427	+	4606	AT1TE46235	ATENSPM9	DNA/En-Spm
chr1	14118614	14118975	-	362	AT1TE46370	ATENSPM2	DNA/En-Spm
chr1	14262180	14263528	+	1349	AT1TE46795	ATENSPM5	DNA/En-Spm
chr1	14301649	14302414	+	766	AT1TE46960	ATENSPM9	DNA/En-Spm
chr1	14302415	14302447	+	33	AT1TE46965	ATENSPM9	DNA/En-Spm
chr1	14302527	14302868	+	342	AT1TE46970	ATENSPM9	DNA/En-Spm
chr1	14590168	14598729	-	8562	AT1TE48035	ATENSPM5	DNA/En-Spm
chr1	14598730	14600111	-	1382	AT1TE48040	ATENSPM6	DNA/En-Spm
chr1	14816664	14818335	+	1672	AT1TE48670	ATENSPM11	DNA/En-Spm
chr1	14818336	14818448	+	113	AT1TE48675	ATENSPM10	DNA/En-Spm
chr1	14891977	14897732	-	5756	AT1TE48830	ATENSPM11	DNA/En-Spm
chr1	15006089	15007723	-	1635	AT1TE49155	ATENSPM11	DNA/En-Spm
chr1	15007724	15008049	-	326	AT1TE49160	ATENSPM6	DNA/En-Spm
chr1	15087257	15087580	+	324	AT1TE49360	ATENSPM9	DNA/En-Spm
chr1	15138835	15139067	+	233	AT1TE49670	ATENSPM6	DNA/En-Spm
chr1	15139696	15142452	+	2757	AT1TE49675	ATENSPM6	DNA/En-Spm
chr1	15142453	15142841	+	389	AT1TE49680	ATENSPM6	DNA/En-Spm
chr1	15142842	15142872	+	31	AT1TE49685	ATENSPM9	DNA/En-Spm
chr1	15149755	15149893	+	139	AT1TE49730	ATENSPM3	DNA/En-Spm
chr1	15150751	15151061	+	311	AT1TE49735	ATENSPM3	DNA/En-Spm
chr1	15151062	15158195	+	7134	AT1TE49740	ATENSPM7	DNA/En-Spm
chr1	15156246	15156288	+	43	AT1TE49745	ATENSPM7	DNA/En-Spm
chr1	15158196	15158295	+	100	AT1TE49750	ATENSPM3	DNA/En-Spm
chr1	15209312	15215968	+	6657	AT1TE49955	ATENSPM5	DNA/En-Spm
chr1	15292160	15296694	+	4535	AT1TE50345	ATENSPM9	DNA/En-Spm
chr1	15390263	15394797	+	4535	AT1TE50800	ATENSPM9	DNA/En-Spm
chr1	15525406	15530074	+	4669	AT1TE51105	ATENSPM7	DNA/En-Spm
chr1	15526403	15526425	+	23	AT1TE51110	ATENSPM7	DNA/En-Spm
chr1	15645801	15646015	-	215	AT1TE51540	ATENSPM5	DNA/En-Spm
chr1	15677554	15680600	+	3047	AT1TE51650	ATENSPM7	DNA/En-Spm
chr1	15685103	15685214	+	112	AT1TE51660	ATENSPM7	DNA/En-Spm
