chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	18331	18642	-	312	AT1TE00030	ATHATN7	DNA/HAT
chr1	55676	56576	+	901	AT1TE00150	SIMPLEHAT1	DNA/HAT
chr1	431310	431469	+	160	AT1TE01390	TAG2	DNA/HAT
chr1	431917	432073	+	157	AT1TE01400	TAG2	DNA/HAT
chr1	1293504	1293596	+	93	AT1TE04220	SIMPLEHAT2	DNA/HAT
chr1	1430272	1430424	-	153	AT1TE04660	TAG2	DNA/HAT
chr1	1430869	1431028	-	160	AT1TE04675	TAG2	DNA/HAT
chr1	1522504	1522667	-	164	AT1TE04990	ATHAT10	DNA/HAT
chr1	1522668	1522770	-	103	AT1TE04995	ATHATN10	DNA/HAT
chr1	1522771	1522971	-	201	AT1TE05000	ATHATN10	DNA/HAT
chr1	1975442	1976072	+	631	AT1TE06470	ATHATN7	DNA/HAT
chr1	2234188	2234361	+	174	AT1TE07290	ATHATN7	DNA/HAT
chr1	2531451	2534781	-	3331	AT1TE08240	TAG2	DNA/HAT
chr1	2533899	2533947	-	49	AT1TE08245	ATHAT1	DNA/HAT
chr1	3073312	3073623	+	312	AT1TE09975	ATHATN7	DNA/HAT
chr1	4329224	4329320	+	97	AT1TE14080	ATHATN3	DNA/HAT
chr1	4748157	4748407	-	251	AT1TE15370	DRL1	DNA/HAT
chr1	5378225	5378613	+	389	AT1TE17370	ATHATN5	DNA/HAT
chr1	5679268	5681449	+	2182	AT1TE18370	TAG2	DNA/HAT
chr1	5681490	5681628	+	139	AT1TE18375	TAG2	DNA/HAT
chr1	5681629	5681695	+	67	AT1TE18380	TAG2	DNA/HAT
chr1	5681696	5681873	+	178	AT1TE18385	TAG2	DNA/HAT
chr1	5965476	5967002	-	1527	AT1TE19285	SIMPLEHAT2	DNA/HAT
chr1	6273523	6276128	-	2606	AT1TE20315	TAG2	DNA/HAT
chr1	6273768	6273906	-	139	AT1TE20320	TAG2	DNA/HAT
chr1	6273947	6274053	-	107	AT1TE20325	TAG2	DNA/HAT
chr1	6454677	6456015	+	1339	AT1TE20925	SIMPLEHAT2	DNA/HAT
chr1	6709616	6709729	+	114	AT1TE21715	TAG3N1	DNA/HAT
chr1	6742979	6744224	+	1246	AT1TE21805	SIMPLEHAT1	DNA/HAT
chr1	7224970	7225108	-	139	AT1TE23350	ATHATN3	DNA/HAT
chr1	7985126	7986420	+	1295	AT1TE25685	SIMPLEHAT2	DNA/HAT
chr1	8266506	8267531	-	1026	AT1TE26625	SIMPLEHAT2	DNA/HAT
chr1	8289871	8290484	+	614	AT1TE26720	ATHATN7	DNA/HAT
chr1	8383169	8383410	-	242	AT1TE27060	ATHATN9	DNA/HAT
chr1	8478086	8478120	-	35	AT1TE27360	ATHATN10	DNA/HAT
chr1	8478121	8478236	-	116	AT1TE27365	ATHATN10	DNA/HAT
chr1	9147859	9148173	+	315	AT1TE29485	ATHATN3	DNA/HAT
chr1	9205730	9205798	+	69	AT1TE29670	SIMPLEHAT1	DNA/HAT
chr1	10206713	10207010	-	298	AT1TE32945	SIMPLEHAT2	DNA/HAT
chr1	10370278	10370628	+	351	AT1TE33510	ATHAT10	DNA/HAT
chr1	10646088	10646144	-	57	AT1TE34430	ATHATN3	DNA/HAT
chr1	10840916	10840941	+	26	AT1TE35025	ATHATN6	DNA/HAT
chr1	10914999	10915973	+	975	AT1TE35250	SIMPLEHAT1	DNA/HAT
chr1	11103434	11103586	+	153	AT1TE35870	ATHAT1	DNA/HAT
chr1	11130529	11130992	+	464	AT1TE35980	TAG2	DNA/HAT
chr1	11315041	11316663	-	1623	AT1TE36605	TAG2	DNA/HAT
chr1	11345187	11345287	+	101	AT1TE36700	TAG1	DNA/HAT
chr1	11536700	11536807	+	108	AT1TE37340	ATHATN3	DNA/HAT
chr1	11578083	11578165	+	83	AT1TE37480	ATHATN1	DNA/HAT
chr1	11643080	11643309	+	230	AT1TE37680	ATHATN3	DNA/HAT
chr1	11817658	11818739	-	1082	AT1TE38300	SIMPLEHAT1	DNA/HAT
chr1	11860051	11860152	+	102	AT1TE38440	ATHATN1	DNA/HAT
chr1	11863015	11863362	+	348	AT1TE38450	ATHAT10	DNA/HAT
chr1	12010328	12010496	+	169	AT1TE38905	ATHATN4	DNA/HAT
chr1	12013703	12014340	+	638	AT1TE38925	ATHAT7	DNA/HAT
chr1	12014741	12014878	+	138	AT1TE38930	ATHATN4	DNA/HAT
chr1	12022702	12022870	+	169	AT1TE38955	ATHATN4	DNA/HAT
chr1	12270220	12270780	-	561	AT1TE39855	ATHATN3A	DNA/HAT
chr1	12319200	12319604	+	405	AT1TE40060	ATHATN5	DNA/HAT
chr1	12373458	12374091	+	634	AT1TE40265	ATHATN2	DNA/HAT
chr1	12380648	12381184	-	537	AT1TE40280	ATHATN10	DNA/HAT
chr1	12470417	12471254	+	838	AT1TE40605	TAG2	DNA/HAT
chr1	12526886	12527191	+	306	AT1TE40780	ATHATN5	DNA/HAT
chr1	12547960	12548355	+	396	AT1TE40870	ATHATN7	DNA/HAT
chr1	12548356	12548383	+	28	AT1TE40875	ATHATN7	DNA/HAT
chr1	12565293	12565672	+	380	AT1TE40930	TAG3N1	DNA/HAT
chr1	12574604	12574908	+	305	AT1TE40975	TAG3N1	DNA/HAT
chr1	12601906	12602071	+	166	AT1TE41075	ATHATN10	DNA/HAT
chr1	12651410	12651914	+	505	AT1TE41310	ATHATN3A	DNA/HAT
chr1	12845933	12845959	+	27	AT1TE41810	SIMPLEHAT2	DNA/HAT
chr1	12851056	12851196	-	141	AT1TE41825	ATHATN6	DNA/HAT
chr1	12854295	12854914	+	620	AT1TE41835	ATHATN7	DNA/HAT
chr1	12889975	12890257	+	283	AT1TE41965	ATHATN2	DNA/HAT
chr1	12919554	12919600	-	47	AT1TE42120	ATHATN3	DNA/HAT
chr1	12974902	12975082	+	181	AT1TE42300	ATHAT1	DNA/HAT
chr1	13055503	13055567	-	65	AT1TE42615	ATHAT1	DNA/HAT
chr1	13055568	13056271	-	704	AT1TE42620	ATHAT1	DNA/HAT
chr1	13087385	13088087	+	703	AT1TE42750	SIMPLEHAT2	DNA/HAT
chr1	13151880	13152923	-	1044	AT1TE42930	SIMPLEHAT1	DNA/HAT
chr1	13247658	13250347	-	2690	AT1TE43305	ATHAT10	DNA/HAT
chr1	13250348	13250446	-	99	AT1TE43310	ATHAT10	DNA/HAT
chr1	13342811	13343440	-	630	AT1TE43615	ATHATN10	DNA/HAT
chr1	13360592	13361126	-	535	AT1TE43705	ATHATN3	DNA/HAT
chr1	13415375	13415485	+	111	AT1TE43870	ATHAT1	DNA/HAT
chr1	13449463	13449759	-	297	AT1TE43990	SIMPLEHAT2	DNA/HAT
chr1	13453497	13453646	+	150	AT1TE44000	ATHATN3A	DNA/HAT
chr1	13453741	13453968	+	228	AT1TE44005	ATHATN3	DNA/HAT
chr1	13461898	13462182	+	285	AT1TE44050	ATHATN5	DNA/HAT
chr1	13671169	13671663	-	495	AT1TE44750	ATHATN1	DNA/HAT
chr1	13674278	13674877	-	600	AT1TE44755	ATHATN7	DNA/HAT
chr1	13687790	13688012	+	223	AT1TE44805	ATHATN1	DNA/HAT
chr1	13714763	13715002	-	240	AT1TE44925	ATHATN3A	DNA/HAT
