chr	start	end	strand	ID
chr1	44677	44787	+	AT1G01073
chr1	56624	56740	+	AT1G01115
chr1	73931	74737	-	AT1G01170
chr1	88898	89745	+	AT1G01210
chr1	104491	105330	-	AT1G01250
chr1	119397	119997	+	AT1G01305
chr1	120154	121130	+	AT1G01310
chr1	147153	147942	+	AT1G01380
chr1	172146	172948	-	AT1G01470
chr1	173251	173466	+	AT1G01471
chr1	269792	270775	-	AT1G01725
chr1	275366	276310	+	AT1G01750
chr1	295221	295859	+	AT1G01810
chr1	303537	304358	+	AT1G01840
chr1	358104	359078	-	AT1G02040
chr1	370257	370967	-	AT1G02070
chr1	372064	372210	+	AT1G02074
chr1	410748	411597	+	AT1G02160
chr1	427548	427811	-	AT1G02210
chr1	461828	461974	+	AT1G02320
chr1	469818	470693	+	AT1G02350
chr1	483764	483919	-	AT1G02391
chr1	489979	490505	-	AT1G02405
chr1	496586	497479	-	AT1G02440
chr1	497976	498516	-	AT1G02450
chr1	516618	516734	+	AT1G02490
chr1	534827	535699	-	AT1G02540
chr1	536483	537211	+	AT1G02550
chr1	541335	542240	+	AT1G02570
chr1	543110	544007	+	AT1G02575
chr1	552138	552761	-	AT1G02590
chr1	557092	557986	+	AT1G02620
chr1	589706	589996	-	AT1G02710
chr1	620678	621289	+	AT1G02813
chr1	623765	624475	-	AT1G02820
chr1	625145	625608	-	AT1G02830
chr1	653765	654343	-	AT1G02900
chr1	698207	698515	-	AT1G03020
chr1	699121	699246	+	AT1G03022
chr1	747197	748057	+	AT1G03103
chr1	748102	749034	-	AT1G03106
chr1	752271	753140	+	AT1G03120
chr1	753307	754198	-	AT1G03130
chr1	780602	781285	+	AT1G03200
chr1	792222	792986	-	AT1G03240
chr1	817027	817767	+	AT1G03320
chr1	898876	899655	+	AT1G03600
chr1	911436	911759	-	AT1G03660
chr1	920950	921901	+	AT1G03700
chr1	957261	957998	-	AT1G03800
chr1	958759	959609	+	AT1G03810
chr1	959869	960728	-	AT1G03820
chr1	1050553	1051186	-	AT1G04070
chr1	1100444	1100608	-	AT1G04171
chr1	1140528	1141365	-	AT1G04260
chr1	1161311	1161982	-	AT1G04330
chr1	1175177	1175578	+	AT1G04370
chr1	1207344	1207862	+	AT1G04445
chr1	1224552	1224680	+	AT1G04501
chr1	1291314	1291995	+	AT1G04635
chr1	1293770	1294263	-	AT1G04645
chr1	1301861	1302724	+	AT1G04670
chr1	1310430	1310579	-	AT1G04684
chr1	1339892	1340327	+	AT1G04778
chr1	1348452	1349286	-	AT1G04800
chr1	1454969	1455220	-	AT1G05065
chr1	1460988	1461670	+	AT1G05085
chr1	1478923	1479063	+	AT1G05136
chr1	1558170	1558583	+	AT1G05330
chr1	1590073	1590753	+	AT1G05420
chr1	1661691	1662187	-	AT1G05575
chr1	1677507	1678270	-	AT1G05615
