chr	start	end	DMR_number	cumulative_pos
chr1	1	100000	26	50000
chr1	100001	200000	33	150000
chr1	200001	300000	30	250000
chr1	300001	400000	29	350000
chr1	400001	500000	37	450000
chr1	500001	600000	28	550000
chr1	600001	700000	32	650000
chr1	700001	800000	27	750000
chr1	800001	900000	32	850000
chr1	900001	1000000	31	950000
chr1	1000001	1100000	26	1050000
chr1	1100001	1200000	26	1150000
chr1	1200001	1300000	27	1250000
chr1	1300001	1400000	29	1350000
chr1	1400001	1500000	27	1450000
chr1	1500001	1600000	28	1550000
chr1	1600001	1700000	25	1650000
chr1	1700001	1800000	31	1750000
chr1	1800001	1900000	32	1850000
chr1	1900001	2000000	31	1950000
chr1	2000001	2100000	29	2050000
chr1	2100001	2200000	33	2150000
chr1	2200001	2300000	35	2250000
chr1	2300001	2400000	30	2350000
chr1	2400001	2500000	36	2450000
chr1	2500001	2600000	25	2550000
chr1	2600001	2700000	27	2650000
chr1	2700001	2800000	21	2750000
chr1	2800001	2900000	26	2850000
chr1	2900001	3000000	31	2950000
chr1	3000001	3100000	31	3050000
chr1	3100001	3200000	34	3150000
chr1	3200001	3300000	27	3250000
chr1	3300001	3400000	27	3350000
chr1	3400001	3500000	25	3450000
chr1	3500001	3600000	28	3550000
chr1	3600001	3700000	26	3650000
chr1	3700001	3800000	23	3750000
chr1	3800001	3900000	33	3850000
chr1	3900001	4000000	30	3950000
chr1	4000001	4100000	29	4050000
chr1	4100001	4200000	27	4150000
chr1	4200001	4300000	29	4250000
chr1	4300001	4400000	33	4350000
chr1	4400001	4500000	25	4450000
chr1	4500001	4600000	23	4550000
chr1	4600001	4700000	35	4650000
chr1	4700001	4800000	28	4750000
chr1	4800001	4900000	38	4850000
chr1	4900001	5000000	27	4950000
chr1	5000001	5100000	26	5050000
chr1	5100001	5200000	31	5150000
chr1	5200001	5300000	34	5250000
chr1	5300001	5400000	25	5350000
chr1	5400001	5500000	38	5450000
chr1	5500001	5600000	35	5550000
chr1	5600001	5700000	25	5650000
chr1	5700001	5800000	33	5750000
chr1	5800001	5900000	31	5850000
chr1	5900001	6000000	22	5950000
chr1	6000001	6100000	28	6050000
chr1	6100001	6200000	27	6150000
chr1	6200001	6300000	26	6250000
chr1	6300001	6400000	31	6350000
chr1	6400001	6500000	25	6450000
chr1	6500001	6600000	27	6550000
chr1	6600001	6700000	28	6650000
chr1	6700001	6800000	28	6750000
chr1	6800001	6900000	21	6850000
chr1	6900001	7000000	33	6950000
chr1	7000001	7100000	28	7050000
chr1	7100001	7200000	27	7150000
chr1	7200001	7300000	26	7250000
chr1	7300001	7400000	17	7350000
chr1	7400001	7500000	28	7450000
chr1	7500001	7600000	23	7550000
chr1	7600001	7700000	31	7650000
chr1	7700001	7800000	25	7750000
chr1	7800001	7900000	26	7850000
chr1	7900001	8000000	21	7950000
chr1	8000001	8100000	28	8050000
chr1	8100001	8200000	29	8150000
chr1	8200001	8300000	30	8250000
chr1	8300001	8400000	34	8350000
chr1	8400001	8500000	26	8450000
chr1	8500001	8600000	31	8550000
chr1	8600001	8700000	29	8650000
chr1	8700001	8800000	24	8750000
chr1	8800001	8900000	30	8850000
chr1	8900001	9000000	24	8950000
chr1	9000001	9100000	23	9050000
chr1	9100001	9200000	32	9150000
chr1	9200001	9300000	33	9250000
chr1	9300001	9400000	24	9350000
chr1	9400001	9500000	29	9450000
chr1	9500001	9600000	28	9550000
chr1	9600001	9700000	22	9650000
chr1	9700001	9800000	26	9750000
chr1	9800001	9900000	23	9850000
chr1	9900001	10000000	22	9950000
chr1	10000001	10100000	28	10050000
chr1	10100001	10200000	22	10150000
chr1	10200001	10300000	24	10250000
chr1	10300001	10400000	31	10350000
chr1	10400001	10500000	29	10450000
chr1	10500001	10600000	18	10550000
chr1	10600001	10700000	16	10650000
chr1	10700001	10800000	16	10750000
chr1	10800001	10900000	24	10850000
chr1	10900001	11000000	22	10950000
chr1	11000001	11100000	18	11050000
chr1	11100001	11200000	21	11150000
chr1	11200001	11300000	26	11250000
chr1	11300001	11400000	20	11350000
chr1	11400001	11500000	22	11450000
chr1	11500001	11600000	18	11550000
chr1	11600001	11700000	26	11650000
chr1	11700001	11800000	23	11750000
chr1	11800001	11900000	16	11850000
chr1	11900001	12000000	27	11950000
chr1	12000001	12100000	19	12050000
chr1	12100001	12200000	21	12150000
chr1	12200001	12300000	20	12250000
chr1	12300001	12400000	26	12350000
chr1	12400001	12500000	19	12450000
chr1	12500001	12600000	18	12550000
chr1	12600001	12700000	15	12650000
chr1	12700001	12800000	16	12750000
chr1	12800001	12900000	16	12850000
chr1	12900001	13000000	15	12950000
chr1	13000001	13100000	18	13050000
chr1	13100001	13200000	12	13150000
chr1	13200001	13300000	7	13250000
chr1	13300001	13400000	8	13350000
chr1	13400001	13500000	9	13450000
chr1	13500001	13600000	3	13550000
chr1	13600001	13700000	8	13650000
chr1	13700001	13800000	3	13750000
chr1	13800001	13900000	6	13850000
chr1	13900001	14000000	5	13950000
chr1	14000001	14100000	11	14050000
chr1	14100001	14200000	5	14150000
chr1	14200001	14300000	2	14250000
chr1	14300001	14400000	0	14350000
chr1	14400001	14500000	0	14450000
chr1	14500001	14600000	3	14550000
chr1	14600001	14700000	0	14650000
chr1	14700001	14800000	0	14750000
chr1	14800001	14900000	0	14850000
chr1	14900001	15000000	1	14950000
chr1	15000001	15100000	2	15050000
chr1	15100001	15200000	0	15150000
chr1	15200001	15300000	1	15250000
chr1	15300001	15400000	0	15350000
chr1	15400001	15500000	1	15450000
chr1	15500001	15600000	1	15550000
chr1	15600001	15700000	4	15650000
chr1	15700001	15800000	2	15750000
chr1	15800001	15900000	2	15850000
chr1	15900001	16000000	6	15950000
chr1	16000001	16100000	4	16050000
chr1	16100001	16200000	9	16150000
chr1	16200001	16300000	10	16250000
chr1	16300001	16400000	7	16350000
chr1	16400001	16500000	18	16450000
chr1	16500001	16600000	7	16550000
chr1	16600001	16700000	8	16650000
chr1	16700001	16800000	15	16750000
chr1	16800001	16900000	15	16850000
chr1	16900001	17000000	14	16950000
chr1	17000001	17100000	18	17050000
chr1	17100001	17200000	21	17150000
chr1	17200001	17300000	13	17250000
chr1	17300001	17400000	26	17350000
chr1	17400001	17500000	18	17450000
chr1	17500001	17600000	19	17550000
chr1	17600001	17700000	19	17650000
chr1	17700001	17800000	24	17750000
chr1	17800001	17900000	21	17850000
chr1	17900001	18000000	27	17950000
chr1	18000001	18100000	24	18050000
chr1	18100001	18200000	27	18150000
chr1	18200001	18300000	24	18250000
chr1	18300001	18400000	26	18350000
chr1	18400001	18500000	25	18450000
chr1	18500001	18600000	22	18550000
chr1	18600001	18700000	24	18650000
chr1	18700001	18800000	28	18750000
chr1	18800001	18900000	23	18850000
chr1	18900001	19000000	27	18950000
chr1	19000001	19100000	29	19050000
chr1	19100001	19200000	26	19150000
chr1	19200001	19300000	23	19250000
chr1	19300001	19400000	16	19350000
chr1	19400001	19500000	25	19450000
chr1	19500001	19600000	26	19550000
chr1	19600001	19700000	31	19650000
chr1	19700001	19800000	27	19750000
chr1	19800001	19900000	25	19850000
chr1	19900001	20000000	29	19950000
chr1	20000001	20100000	29	20050000
chr1	20100001	20200000	31	20150000
chr1	20200001	20300000	30	20250000
chr1	20300001	20400000	23	20350000
chr1	20400001	20500000	28	20450000
chr1	20500001	20600000	30	20550000
chr1	20600001	20700000	23	20650000
chr1	20700001	20800000	25	20750000
chr1	20800001	20900000	23	20850000
chr1	20900001	21000000	30	20950000
chr1	21000001	21100000	26	21050000
chr1	21100001	21200000	23	21150000
chr1	21200001	21300000	13	21250000
chr1	21300001	21400000	25	21350000
chr1	21400001	21500000	20	21450000
chr1	21500001	21600000	22	21550000
chr1	21600001	21700000	16	21650000
chr1	21700001	21800000	15	21750000
chr1	21800001	21900000	23	21850000
chr1	21900001	22000000	19	21950000
chr1	22000001	22100000	26	22050000
chr1	22100001	22200000	14	22150000
chr1	22200001	22300000	26	22250000
chr1	22300001	22400000	32	22350000
chr1	22400001	22500000	30	22450000
chr1	22500001	22600000	23	22550000
chr1	22600001	22700000	27	22650000
chr1	22700001	22800000	26	22750000
chr1	22800001	22900000	18	22850000
chr1	22900001	23000000	32	22950000
chr1	23000001	23100000	20	23050000
chr1	23100001	23200000	21	23150000
chr1	23200001	23300000	25	23250000
chr1	23300001	23400000	25	23350000
chr1	23400001	23500000	31	23450000
chr1	23500001	23600000	29	23550000
chr1	23600001	23700000	19	23650000
chr1	23700001	23800000	28	23750000
chr1	23800001	23900000	30	23850000
chr1	23900001	24000000	24	23950000
chr1	24000001	24100000	27	24050000
chr1	24100001	24200000	28	24150000
chr1	24200001	24300000	32	24250000
chr1	24300001	24400000	22	24350000
chr1	24400001	24500000	23	24450000
chr1	24500001	24600000	23	24550000
chr1	24600001	24700000	22	24650000
