chr	start	end	strand	ID
chr1	15827287	15838845	-	AT1TE52125
chr1	16742379	16751122	-	AT1TE55320
chr1	14427922	14449178	+	AT1TE47540
chr1	13768754	13777586	+	AT1TE45135
chr1	15280449	15289511	+	AT1TE50315
chr1	15816322	15821314	-	AT1TE52085
chr1	15378553	15387615	+	AT1TE50775
chr1	16080534	16089067	+	AT1TE52950
chr1	13786685	13795195	+	AT1TE45175
chr1	18846375	18854882	-	AT1TE62470
chr1	13734680	13743201	-	AT1TE45020
chr1	15240538	15244617	+	AT1TE50115
chr1	15337657	15341736	+	AT1TE50560
chr1	14590168	14598729	-	AT1TE48035
chr1	13131405	13140006	+	AT1TE42890
chr1	12664497	12673969	-	AT1TE41345
chr1	14847805	14857361	+	AT1TE48745
chr1	16281487	16291044	-	AT1TE53635
chr1	15665056	15674411	+	AT1TE51615
chr1	14875416	14885131	+	AT1TE48775
chr1	15676217	15683600	-	AT1TE51645
chr1	15911535	15917462	+	AT1TE52420
chr1	13777611	13785849	-	AT1TE45145
chr1	14865439	14874995	-	AT1TE48765
chr1	14311851	14327652	+	AT1TE47035
chr1	13439444	13448530	+	AT1TE43975
chr1	15821413	15847509	-	AT1TE52105
chr1	22846336	22854554	+	AT1TE75305
chr1	13928743	13935988	+	AT1TE45735
chr1	14263552	14273951	-	AT1TE46805
chr1	9865643	9873666	+	AT1TE31775
chr1	18154505	18163494	+	AT1TE60180
chr1	19336306	19345618	+	AT1TE64080
chr1	14582194	14587448	-	AT1TE48020
chr1	18013162	18018435	+	AT1TE59755
chr1	13818560	13823827	+	AT1TE45315
chr1	16551716	16557069	-	AT1TE54585
chr1	15486511	15491848	-	AT1TE51045
chr1	14891977	14897732	-	AT1TE48830
chr1	17023916	17029257	-	AT1TE56390
chr1	12755060	12760395	+	AT1TE41580
chr1	14451911	14457104	+	AT1TE47580
chr1	14385033	14390221	+	AT1TE47340
chr1	6538419	6543539	+	AT1TE21210
chr1	4405996	4411119	-	AT1TE14315
chr1	17054926	17060041	+	AT1TE56445
chr1	15733070	15745010	+	AT1TE51820
chr1	6704197	6709404	+	AT1TE21710
chr1	17360726	17365910	+	AT1TE57530
chr1	18002177	18007370	-	AT1TE59745
chr1	21748194	21753388	+	AT1TE71775
chr1	16569873	16575243	-	AT1TE54625
chr1	21450132	21455990	-	AT1TE70805
chr1	8790241	8797988	-	AT1TE28370
chr1	15160857	15166563	+	AT1TE49755
chr1	15186993	15192976	+	AT1TE49850
chr1	15872972	15879297	+	AT1TE52220
chr1	13751046	13757083	+	AT1TE45080
chr1	10357357	10363358	+	AT1TE33490
chr1	11887152	11901703	+	AT1TE38530
chr1	14242404	14248337	+	AT1TE46755
chr1	7714708	7722547	+	AT1TE24850
chr1	14603199	14608644	-	AT1TE48050
chr1	14178069	14183542	-	AT1TE46575
chr1	22693955	22699336	-	AT1TE74860
chr1	13576127	13581525	-	AT1TE44455
chr1	15750264	15755704	+	AT1TE51850
chr1	19374609	19380747	-	AT1TE64170
chr1	14315190	14320850	+	AT1TE47050
chr1	13172926	13178593	+	AT1TE43010
chr1	12856202	12862061	-	AT1TE41860
chr1	18828527	18833280	+	AT1TE62440
chr1	15610627	15615403	-	AT1TE51360
chr1	19445903	19450693	+	AT1TE64390
chr1	13230993	13235723	-	AT1TE43225
chr1	14101823	14107573	-	AT1TE46310
chr1	21833196	21838009	-	AT1TE72060
chr1	21796938	21801751	-	AT1TE71950
chr1	5911725	5916535	+	AT1TE19130
chr1	6009292	6014092	-	AT1TE19430
chr1	19675549	19680353	+	AT1TE65060
chr1	11789450	11794079	+	AT1TE38210
chr1	13181965	13186591	-	AT1TE43040
chr1	9476002	9480634	+	AT1TE30550
chr1	14070822	14075427	+	AT1TE46235
chr1	15525406	15530074	+	AT1TE51105
chr1	16659688	16664330	-	AT1TE54925
chr1	12172517	12177219	-	AT1TE39515
chr1	16853329	16858040	-	AT1TE55795
chr1	22100644	22105329	-	AT1TE72970
chr1	18242052	18246383	+	AT1TE60435
chr1	14493852	14498848	+	AT1TE47750
chr1	13000218	13005219	+	AT1TE42395
chr1	10524718	10529695	+	AT1TE34015
chr1	15692927	15697905	+	AT1TE51690
chr1	23118240	23123214	+	AT1TE76215
chr1	14188117	14193130	+	AT1TE46625
chr1	13559846	13564825	+	AT1TE44380
chr1	16117829	16122859	+	AT1TE53090
chr1	13187278	13192359	+	AT1TE43050
chr1	26366603	26371673	+	AT1TE86360
chr1	16369971	16375017	-	AT1TE53970
chr1	16198717	16203798	+	AT1TE53395
chr1	16099669	16104812	-	AT1TE53000
chr1	11914830	11919899	-	AT1TE38580
chr1	14129761	14134840	-	AT1TE46405
chr1	13263763	13276157	+	AT1TE43355
chr1	7969361	7974385	+	AT1TE25645
chr1	15562039	15567091	+	AT1TE51245
chr1	13950718	13955653	-	AT1TE45800
chr1	10696714	10701584	+	AT1TE34580
chr1	21524995	21529851	-	AT1TE71045
chr1	21346162	21351041	-	AT1TE70490
chr1	21244324	21249205	-	AT1TE70190
chr1	13324758	13329639	+	AT1TE43585
chr1	14664773	14669652	-	AT1TE48230
chr1	17247720	17252579	-	AT1TE57200
chr1	12333649	12338510	+	AT1TE40120
chr1	2788430	2800701	+	AT1TE09080
chr1	3780765	3785721	+	AT1TE12295
chr1	7352930	7365197	-	AT1TE23740
chr1	20085179	20090143	+	AT1TE66380
chr1	9368345	9373307	-	AT1TE30195
chr1	5691740	5696671	+	AT1TE18410
chr1	29474555	29479485	+	AT1TE96425
chr1	13940763	13947032	-	AT1TE45790
chr1	8453486	8461797	+	AT1TE27295
chr1	17035033	17050039	+	AT1TE56420
chr1	16942841	16962196	+	AT1TE56135
chr1	13659273	13667557	+	AT1TE44720
chr1	16392788	16397819	-	AT1TE54005
chr1	16012585	16019699	-	AT1TE52795
chr1	17035065	17050021	+	AT1TE56425
chr1	13371475	13386480	+	AT1TE43740
chr1	14837664	14845083	-	AT1TE48730
chr1	15455488	15486506	+	AT1TE51040
chr1	4651559	4660722	-	AT1TE15090
chr1	26030839	26036307	-	AT1TE85290
chr1	11280217	11285438	-	AT1TE36485
chr1	16342554	16347999	-	AT1TE53815
chr1	12713488	12728545	+	AT1TE41460
chr1	15512098	15519432	-	AT1TE51080
chr1	14334336	14340693	+	AT1TE47105
chr1	15038155	15052790	-	AT1TE49260
chr1	15412724	15420826	+	AT1TE50860
chr1	14248937	14255843	+	AT1TE46765
chr1	15151062	15158195	+	AT1TE49740
chr1	16296281	16302985	-	AT1TE53660
chr1	15209312	15215968	+	AT1TE49955
chr1	14368381	14375118	+	AT1TE47280
chr1	14414031	14420771	+	AT1TE47500
chr1	9676477	9691257	-	AT1TE31190
chr1	14033278	14038199	-	AT1TE46095
chr1	15178937	15186992	+	AT1TE49845
chr1	14487437	14492869	+	AT1TE47720
chr1	15061271	15069809	-	AT1TE49300
chr1	11302246	11310368	-	AT1TE36570
chr1	13507780	13515964	-	AT1TE44230
chr1	15950604	15958318	-	AT1TE52590
chr1	15772985	15790136	+	AT1TE51985
chr1	15300274	15308042	+	AT1TE50375
chr1	15398356	15406124	+	AT1TE50810
chr1	13625190	13632772	-	AT1TE44630
chr1	15421859	15428011	-	AT1TE50890
chr1	16380111	16387683	-	AT1TE53995
chr1	13482748	13490426	-	AT1TE44125
chr1	15572380	15580018	+	AT1TE51265
chr1	15799514	15807462	+	AT1TE52025
chr1	15491850	15499762	+	AT1TE51050
chr1	12768947	12780004	-	AT1TE41625
chr1	13883073	13890962	+	AT1TE45560
chr1	12949835	12953875	+	AT1TE42225
chr1	16194666	16198716	+	AT1TE53390
chr1	15822576	15826633	-	AT1TE52110
chr1	19941385	19945434	+	AT1TE65925
chr1	12626457	12630547	+	AT1TE41230
chr1	16607489	16611583	+	AT1TE54760
chr1	16038908	16045334	+	AT1TE52860
chr1	14805639	14816078	+	AT1TE48660
chr1	19726018	19735182	+	AT1TE65205
chr1	16626037	16637234	-	AT1TE54805
chr1	12818273	12839582	+	AT1TE41745
chr1	8729256	8733277	+	AT1TE28175
chr1	15248015	15252091	-	AT1TE50145
chr1	15847510	15852729	-	AT1TE52160
chr1	15738171	15742393	-	AT1TE51830
chr1	13593059	13597322	+	AT1TE44525
chr1	16375018	16379642	+	AT1TE53975
chr1	14277551	14282138	-	AT1TE46830
chr1	13410459	13415145	-	AT1TE43865
chr1	17107372	17111523	+	AT1TE56620
chr1	15657482	15661620	+	AT1TE51580
chr1	16070137	16074320	+	AT1TE52925
chr1	12016038	12020227	-	AT1TE38940
chr1	12942825	12947010	+	AT1TE42210
chr1	16329247	16339556	+	AT1TE53765
chr1	15703960	15715037	-	AT1TE51735
chr1	14214747	14225656	-	AT1TE46665
chr1	15215969	15220007	-	AT1TE49960
chr1	15389288	15398355	-	AT1TE50795
chr1	14230071	14242310	+	AT1TE46690
chr1	14468753	14472769	-	AT1TE47655
chr1	15857271	15872649	+	AT1TE52200
chr1	14897776	14908757	-	AT1TE48835
chr1	15570479	15581789	+	AT1TE51260
chr1	9004836	9015724	+	AT1TE29060
chr1	22620537	22627023	-	AT1TE74615
chr1	13968111	13979022	-	AT1TE45855
chr1	12674460	12684931	-	AT1TE41350
chr1	14432223	14442952	+	AT1TE47550
chr1	16509815	16528903	-	AT1TE54480
chr1	15560685	15569184	-	AT1TE51235
