chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	5359022	5359174	-	153	AT1TE17320	RathE3_cons	RathE3_cons
chr1	9762608	9762754	+	147	AT1TE31425	RathE3_cons	RathE3_cons
chr1	11006532	11006659	-	128	AT1TE35540	RathE3_cons	RathE3_cons
chr1	11132678	11132865	-	188	AT1TE35985	RathE3_cons	RathE3_cons
chr1	11516076	11516131	-	56	AT1TE37250	RathE3_cons	RathE3_cons
chr1	11910223	11910244	+	22	AT1TE38560	RathE3_cons	RathE3_cons
chr1	11960836	11961029	-	194	AT1TE38710	RathE3_cons	RathE3_cons
chr1	12530263	12530392	-	130	AT1TE40810	RathE3_cons	RathE3_cons
chr1	13837843	13838008	-	166	AT1TE45370	RathE3_cons	RathE3_cons
chr1	13896255	13896396	+	142	AT1TE45585	RathE3_cons	RathE3_cons
chr1	13990141	13990253	+	113	AT1TE45925	RathE3_cons	RathE3_cons
chr1	14165867	14166066	+	200	AT1TE46520	RathE3_cons	RathE3_cons
chr1	17715278	17715450	-	173	AT1TE58830	RathE3_cons	RathE3_cons
chr1	18817441	18817595	+	155	AT1TE62410	RathE3_cons	RathE3_cons
chr1	19362972	19363144	+	173	AT1TE64140	RathE3_cons	RathE3_cons
chr1	19415246	19415392	-	147	AT1TE64310	RathE3_cons	RathE3_cons
chr1	19714707	19714878	-	172	AT1TE65150	RathE3_cons	RathE3_cons
chr1	20013653	20013832	-	180	AT1TE66150	RathE3_cons	RathE3_cons
chr1	21120456	21120564	-	109	AT1TE69780	RathE3_cons	RathE3_cons
chr1	21508830	21508954	+	125	AT1TE70990	RathE3_cons	RathE3_cons
chr1	21947151	21947270	-	120	AT1TE72450	RathE3_cons	RathE3_cons
chr1	24409761	24409819	-	59	AT1TE80190	RathE3_cons	RathE3_cons
chr2	143227	143374	+	148	AT2TE00500	RathE3_cons	RathE3_cons
chr2	267908	268041	-	134	AT2TE01085	RathE3_cons	RathE3_cons
chr2	282555	282744	+	190	AT2TE01150	RathE3_cons	RathE3_cons
