chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	431474	431916	-	443	AT1TE01395	SIMPLEGUY1	DNA/Harbinger
chr1	1430437	1430836	+	400	AT1TE04665	SIMPLEGUY1	DNA/Harbinger
chr1	1430837	1430859	+	23	AT1TE04670	SIMPLEGUY1	DNA/Harbinger
chr1	2029752	2031696	+	1945	AT1TE06650	ATIS112A	DNA/Harbinger
chr1	2030569	2030715	+	147	AT1TE06655	ATIS112A	DNA/Harbinger
chr1	3262077	3262304	-	228	AT1TE10600	ATIS112A	DNA/Harbinger
chr1	3262496	3262581	-	86	AT1TE10605	ATIS112A	DNA/Harbinger
chr1	3263540	3263797	-	258	AT1TE10610	ATIS112A	DNA/Harbinger
chr1	4015261	4015525	+	265	AT1TE13060	HARBINGER	DNA/Harbinger
chr1	5025647	5025808	+	162	AT1TE16265	ATIS112A	DNA/Harbinger
chr1	5030107	5030262	+	156	AT1TE16275	ATIS112A	DNA/Harbinger
chr1	5655868	5656061	-	194	AT1TE18275	HARBINGER	DNA/Harbinger
chr1	6272450	6272600	-	151	AT1TE20310	ATIS112A	DNA/Harbinger
chr1	8266467	8266505	-	39	AT1TE26620	SIMPLEGUY1	DNA/Harbinger
chr1	8277589	8279056	+	1468	AT1TE26675	SIMPLEGUY1	DNA/Harbinger
chr1	8477752	8477946	+	195	AT1TE27355	ATIS112A	DNA/Harbinger
chr1	8644568	8645833	-	1266	AT1TE27905	ATIS112A	DNA/Harbinger
chr1	9175323	9177761	+	2439	AT1TE29570	HARBINGER	DNA/Harbinger
chr1	9747391	9747715	+	325	AT1TE31385	HARBINGER	DNA/Harbinger
chr1	9812382	9812585	+	204	AT1TE31570	ATIS112A	DNA/Harbinger
chr1	9939337	9939673	+	337	AT1TE32040	HARBINGER	DNA/Harbinger
chr1	10922413	10923823	-	1411	AT1TE35280	SIMPLEGUY1	DNA/Harbinger
chr1	11170812	11171651	+	840	AT1TE36105	ATIS112A	DNA/Harbinger
chr1	11172037	11172192	+	156	AT1TE36110	ATIS112A	DNA/Harbinger
chr1	12263039	12263876	+	838	AT1TE39830	HARBINGER	DNA/Harbinger
chr1	12264054	12264315	+	262	AT1TE39835	SIMPLEGUY1	DNA/Harbinger
chr1	12630905	12631022	+	118	AT1TE41235	ATIS112A	DNA/Harbinger
chr1	12925451	12926377	-	927	AT1TE42140	SIMPLEGUY1	DNA/Harbinger
chr1	13012651	13012798	-	148	AT1TE42420	ATIS112A	DNA/Harbinger
chr1	13077562	13077761	+	200	AT1TE42705	ATIS112A	DNA/Harbinger
chr1	13199078	13199696	-	619	AT1TE43080	HARBINGER	DNA/Harbinger
chr1	13449264	13450021	-	758	AT1TE43985	SIMPLEGUY1	DNA/Harbinger
chr1	13730391	13731324	+	934	AT1TE44985	ATIS112A	DNA/Harbinger
chr1	14064357	14067482	-	3126	AT1TE46220	ATIS112A	DNA/Harbinger
chr1	14109014	14112560	-	3547	AT1TE46330	ATIS112A	DNA/Harbinger
chr1	14170849	14171086	-	238	AT1TE46550	HARBINGER	DNA/Harbinger
chr1	14185173	14185426	-	254	AT1TE46590	HARBINGER	DNA/Harbinger
chr1	14334055	14334330	-	276	AT1TE47100	HARBINGER	DNA/Harbinger
chr1	15991520	15992798	-	1279	AT1TE52715	ATIS112A	DNA/Harbinger
chr1	16038908	16045334	+	6427	AT1TE52860	ATIS112A	DNA/Harbinger
chr1	16062270	16064336	-	2067	AT1TE52900	ATIS112A	DNA/Harbinger
chr1	16254063	16254486	+	424	AT1TE53520	ATIS112A	DNA/Harbinger
chr1	16348821	16350377	-	1557	AT1TE53860	ATIS112A	DNA/Harbinger
chr1	16350379	16350417	+	39	AT1TE53865	ATIS112A	DNA/Harbinger
chr1	16350418	16351085	+	668	AT1TE53870	ATIS112A	DNA/Harbinger
chr1	16351341	16351942	-	602	AT1TE53880	SIMPLEGUY1	DNA/Harbinger
chr1	16353422	16354538	+	1117	AT1TE53895	ATIS112A	DNA/Harbinger
chr1	16414105	16414129	+	25	AT1TE54095	ATIS112A	DNA/Harbinger
chr1	16414130	16414869	+	740	AT1TE54100	ATIS112A	DNA/Harbinger
chr1	16496912	16497372	+	461	AT1TE54420	HARBINGER	DNA/Harbinger
chr1	16600132	16600658	-	527	AT1TE54725	ATIS112A	DNA/Harbinger
chr1	16650060	16650725	-	666	AT1TE54880	ATIS112A	DNA/Harbinger
chr1	16986005	16986041	-	37	AT1TE56240	SIMPLEGUY1	DNA/Harbinger
chr1	16986042	16987141	-	1100	AT1TE56245	SIMPLEGUY1	DNA/Harbinger
chr1	16987142	16987347	-	206	AT1TE56250	SIMPLEGUY1	DNA/Harbinger
chr1	17187626	17188028	-	403	AT1TE56945	ATIS112A	DNA/Harbinger
chr1	17188286	17188413	+	128	AT1TE56950	SIMPLEGUY1	DNA/Harbinger
chr1	17410114	17410345	-	232	AT1TE57670	SIMPLEGUY1	DNA/Harbinger
chr1	17410346	17410971	-	626	AT1TE57675	SIMPLEGUY1	DNA/Harbinger
chr1	17488938	17489152	-	215	AT1TE57960	ATIS112A	DNA/Harbinger
chr1	18955653	18955762	-	110	AT1TE62790	ATIS112A	DNA/Harbinger
chr1	19428403	19428848	-	446	AT1TE64350	ATIS112A	DNA/Harbinger
chr1	19933104	19933518	-	415	AT1TE65895	ATIS112A	DNA/Harbinger
chr1	21042243	21042268	-	26	AT1TE69490	SIMPLEGUY1	DNA/Harbinger
chr1	21042269	21042929	-	661	AT1TE69495	SIMPLEGUY1	DNA/Harbinger
chr1	22693955	22699336	-	5382	AT1TE74860	HARBINGER	DNA/Harbinger
chr1	23939918	23940948	-	1031	AT1TE78765	SIMPLEGUY1	DNA/Harbinger
chr1	24483166	24483456	-	291	AT1TE80400	ATIS112A	DNA/Harbinger
chr1	24564713	24565614	+	902	AT1TE80690	SIMPLEGUY1	DNA/Harbinger
chr1	24704987	24706028	+	1042	AT1TE81150	SIMPLEGUY1	DNA/Harbinger
chr1	25400479	25401474	-	996	AT1TE83355	SIMPLEGUY1	DNA/Harbinger
