chr	pos	strand	type	num_C	depth	percentage	isMeth
chr1	121	-	CG	1	9	0.111111	0
chr1	123	+	CHG	7	9	0.777778	1
chr1	135	+	CHH	0	9	0	0
chr1	161	+	CG	8	8	1	1
chr1	177	+	CHH	2	12	0.166667	0
chr1	209	+	CHH	0	11	0	0
chr1	219	+	CHH	2	10	0.2	0
chr1	224	+	CHH	1	10	0.1	0
chr1	229	+	CHH	0	11	0	0
chr1	230	+	CHH	0	11	0	0
chr1	236	+	CHH	0	12	0	0
chr1	247	+	CHH	0	10	0	0
chr1	251	+	CHH	0	10	0	0
chr1	252	+	CHH	0	10	0	0
chr1	255	+	CHH	1	9	0.111111	0
chr1	257	+	CHH	3	10	0.3	0
chr1	262	-	CHH	1	8	0.125	0
chr1	277	-	CHH	0	8	0	0
chr1	280	-	CHH	0	8	0	0
chr1	298	-	CHH	0	3	0	0
