chr	pos	strand	type	num_C	depth	percentage	isMeth
chr1	76	+	CHH	2	5	0.4	1
chr1	77	+	CHH	1	5	0.2	0
chr1	84	+	CHH	1	5	0.2	0
chr1	85	+	CHH	1	5	0.2	0
chr1	86	+	CHH	3	5	0.6	1
chr1	93	+	CHH	1	5	0.2	0
chr1	94	+	CHH	1	6	0.166667	0
chr1	100	+	CHH	2	7	0.285714	1
chr1	101	+	CHH	1	8	0.125	0
chr1	102	+	CHH	2	8	0.25	1
chr1	107	+	CHH	2	9	0.222222	0
chr1	108	+	CHG	8	10	0.8	1
chr1	109	+	CG	11	11	1	1
chr1	114	+	CHG	4	11	0.363636	1
chr1	115	+	CG	10	11	0.909091	1
chr1	121	+	CHH	5	11	0.454545	1
chr1	123	+	CHG	11	11	1	1
chr1	135	+	CHH	2	12	0.166667	0
chr1	161	+	CG	11	14	0.785714	1
chr1	177	+	CHH	4	16	0.25	1
chr1	209	+	CHH	1	11	0.0909091	0
chr1	219	+	CHH	1	10	0.1	0
chr1	224	+	CHH	0	11	0	0
chr1	229	+	CHH	0	11	0	0
chr1	230	+	CHH	0	11	0	0
chr1	236	+	CHH	2	10	0.2	0
chr1	247	+	CHH	0	11	0	0
chr1	251	+	CHH	0	11	0	0
chr1	252	+	CHH	1	11	0.0909091	0
chr1	255	+	CHH	0	10	0	0
chr1	257	+	CHH	0	9	0	0
chr1	262	+	CHH	1	9	0.111111	0
chr1	277	+	CHH	1	16	0.0625	0
chr1	280	+	CHH	1	15	0.0666667	0
chr1	298	+	CHH	0	17	0	0
chr1	302	+	CHH	0	18	0	0
chr1	307	+	CHH	0	18	0	0
chr1	310	+	CG	3	18	0.166667	1
chr1	314	+	CHH	1	20	0.05	0
chr1	317	+	CHH	0	21	0	0
chr1	334	+	CHH	0	21	0	0
chr1	336	+	CHH	0	21	0	0
chr1	346	+	CHH	0	21	0	0
chr1	347	+	CHH	0	21	0	0
chr1	363	+	CHH	0	15	0	0
chr1	365	+	CHH	1	16	0.0625	0
chr1	372	+	CHH	0	18	0	0
chr1	389	+	CHG	0	17	0	0
chr1	404	+	CHH	0	17	0	0
chr1	414	+	CHH	0	21	0	0
chr1	418	+	CHH	1	25	0.04	0
chr1	422	+	CHH	0	25	0	0
chr1	424	+	CHH	0	26	0	0
chr1	425	+	CHH	0	26	0	0
chr1	444	+	CHH	2	29	0.0689655	0
chr1	448	+	CHH	1	28	0.0357143	0
chr1	456	+	CHH	0	25	0	0
chr1	493	+	CHH	0	23	0	0
chr1	497	+	CHH	1	22	0.0454545	0
chr1	500	+	CG	9	21	0.428571	1
chr1	511	+	CG	8	15	0.533333	1
chr1	513	+	CHH	1	13	0.0769231	0
chr1	518	+	CHH	0	13	0	0
chr1	521	+	CHH	0	12	0	0
chr1	523	+	CHH	0	12	0	0
chr1	526	+	CHH	1	12	0.0833333	0
chr1	528	+	CHH	1	13	0.0769231	0
