chr	start	end	strand	ID
chr1	31170	33153	-	AT1G01050
chr1	45296	47019	-	AT1G01080
chr1	47485	49286	-	AT1G01090
chr1	50075	51199	-	AT1G01100
chr1	57269	59167	-	AT1G01120
chr1	61905	63811	-	AT1G01130
chr1	72339	74096	+	AT1G01160
chr1	75583	76758	+	AT1G01180
chr1	83045	84864	-	AT1G01190
chr1	86515	88213	-	AT1G01200
chr1	95987	97407	+	AT1G01225
chr1	97456	99240	+	AT1G01230
chr1	99894	101834	+	AT1G01240
chr1	112263	113947	+	AT1G01280
chr1	114286	116108	+	AT1G01290
chr1	116943	118764	+	AT1G01300
chr1	138513	139568	+	AT1G01355
chr1	141971	143183	+	AT1G01360
chr1	148120	149806	-	AT1G01390
chr1	150689	152210	-	AT1G01400
chr1	153113	154198	+	AT1G01410
chr1	154492	156011	-	AT1G01420
chr1	156801	158655	-	AT1G01430
chr1	164105	165517	-	AT1G01450
chr1	166589	167842	-	AT1G01453
chr1	185133	186923	+	AT1G01500
chr1	190596	192139	+	AT1G01520
chr1	192640	193670	-	AT1G01530
chr1	225665	227302	-	AT1G01620
chr1	229013	230917	+	AT1G01630
chr1	230994	232508	-	AT1G01640
chr1	246411	248367	-	AT1G01680
chr1	252947	254495	+	AT1G01695
chr1	259495	261474	-	AT1G01700
chr1	268330	269819	+	AT1G01720
chr1	270956	272061	+	AT1G01730
chr1	282761	284245	+	AT1G01780
chr1	293342	295040	+	AT1G01800
chr1	323027	324917	+	AT1G01940
chr1	338291	340077	+	AT1G01970
chr1	340172	341999	-	AT1G01980
chr1	343166	344341	-	AT1G01990
chr1	345812	347592	+	AT1G02000
chr1	355321	357258	-	AT1G02030
chr1	359117	360518	-	AT1G02050
chr1	400035	401882	-	AT1G02130
chr1	403190	404456	-	AT1G02140
chr1	408622	410611	+	AT1G02150
chr1	411779	413554	+	AT1G02170
chr1	413522	414645	-	AT1G02180
chr1	428814	430647	-	AT1G02220
chr1	435174	436776	-	AT1G02230
chr1	437951	439559	-	AT1G02250
chr1	448463	450426	-	AT1G02280
chr1	462075	463612	-	AT1G02330
chr1	463855	464924	-	AT1G02335
chr1	471990	473160	-	AT1G02360
chr1	477000	478971	+	AT1G02380
chr1	493683	495158	+	AT1G02420
chr1	495050	496062	-	AT1G02430
chr1	511765	513624	-	AT1G02470
chr1	513843	515404	-	AT1G02475
chr1	520498	521668	-	AT1G02510
chr1	560610	562424	-	AT1G02630
chr1	568704	570418	+	AT1G02650
chr1	580625	582310	+	AT1G02680
chr1	588329	589480	+	AT1G02700
chr1	602497	604292	+	AT1G02750
chr1	604873	606693	-	AT1G02770
chr1	607808	609465	-	AT1G02780
chr1	610391	612324	-	AT1G02790
chr1	621461	622469	+	AT1G02816
chr1	637214	638677	-	AT1G02870
chr1	658657	659771	-	AT1G02920
chr1	661177	662456	-	AT1G02930
chr1	663079	664128	-	AT1G02940
chr1	665152	666452	-	AT1G02950
chr1	671661	672814	-	AT1G02965
chr1	710018	711803	-	AT1G03055
chr1	729901	731557	+	AT1G03070
chr1	754371	756303	-	AT1G03140
chr1	769632	770684	+	AT1G03170
chr1	773411	775344	+	AT1G03180
chr1	782948	784240	+	AT1G03210
chr1	787122	788651	+	AT1G03220
chr1	790091	791592	+	AT1G03230
chr1	817983	819563	-	AT1G03330
chr1	819662	821317	+	AT1G03340
chr1	822638	824393	-	AT1G03350
chr1	824537	826358	+	AT1G03360
chr1	841033	842418	-	AT1G03390
chr1	842747	844190	-	AT1G03400
chr1	847873	849500	+	AT1G03430
chr1	852366	854032	+	AT1G03440
chr1	865915	867733	-	AT1G03470
chr1	871874	872906	+	AT1G03490
chr1	873184	874935	+	AT1G03495
chr1	876258	877547	-	AT1G03510
chr1	883782	885611	+	AT1G03540
chr1	904319	906186	-	AT1G03620
chr1	907642	909376	+	AT1G03630
chr1	910023	911193	-	AT1G03650
chr1	916819	918064	-	AT1G03680
chr1	923426	924726	+	AT1G03710
chr1	924996	926373	-	AT1G03720
chr1	930828	931895	-	AT1G03730
chr1	954525	956097	+	AT1G03790
chr1	976097	977761	-	AT1G03850
chr1	982506	983540	-	AT1G03870
chr1	989198	991020	+	AT1G03890
chr1	991139	993118	+	AT1G03900
chr1	1009542	1011056	-	AT1G03940
chr1	1018100	1019247	+	AT1G03970
chr1	1022251	1023719	-	AT1G03982
chr1	1028106	1029119	-	AT1G04000
chr1	1042362	1043864	-	AT1G04040
chr1	1059506	1061191	+	AT1G04100
chr1	1104623	1105988	+	AT1G04180
chr1	1128188	1129551	-	AT1G04240
chr1	1141604	1143053	-	AT1G04270
chr1	1147523	1148533	-	AT1G04290
chr1	1163097	1164851	-	AT1G04340
chr1	1165165	1166768	+	AT1G04350
chr1	1167457	1168878	-	AT1G04360
chr1	1176921	1178407	-	AT1G04380
chr1	1208521	1209874	+	AT1G04450
chr1	1216095	1217467	+	AT1G04480
chr1	1234176	1236034	-	AT1G04530
chr1	1237256	1239061	+	AT1G04540
chr1	1240375	1242121	+	AT1G04550
chr1	1242558	1244244	+	AT1G04555
chr1	1244947	1246059	+	AT1G04560
chr1	1287831	1289820	-	AT1G04625
chr1	1289734	1291112	-	AT1G04630
chr1	1292080	1293357	+	AT1G04640
chr1	1300486	1301773	-	AT1G04660
chr1	1334760	1336070	+	AT1G04760
chr1	1336371	1337849	-	AT1G04770
chr1	1399182	1400770	+	AT1G04940
chr1	1431190	1432858	-	AT1G05010
chr1	1447369	1448448	-	AT1G05040
chr1	1451030	1452872	-	AT1G05060
chr1	1457063	1458744	-	AT1G05070
chr1	1459091	1460579	+	AT1G05080
chr1	1469610	1470881	+	AT1G05100
chr1	1482548	1484056	+	AT1G05140
chr1	1502344	1503830	-	AT1G05190
chr1	1509103	1510281	-	AT1G05205
chr1	1510404	1511683	+	AT1G05210
chr1	1511907	1513573	+	AT1G05220
chr1	1521137	1522681	+	AT1G05240
chr1	1525601	1527234	-	AT1G05250
chr1	1529767	1531439	+	AT1G05260
chr1	1539152	1540562	-	AT1G05290
chr1	1541348	1542432	-	AT1G05291
chr1	1550543	1552517	-	AT1G05310
chr1	1558844	1559903	-	AT1G05340
chr1	1582671	1583718	-	AT1G05385
chr1	1584073	1585421	+	AT1G05400
chr1	1594057	1595818	-	AT1G05430
