chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	559302	559557	+	256	AT1TE01810	ATTIRTA1	DNA/Tc1
chr1	2335262	2335495	-	234	AT1TE07625	ATTIRTA1	DNA/Tc1
chr1	5357354	5357511	+	158	AT1TE17315	ATTIRTA1	DNA/Tc1
chr1	10050434	10050646	+	213	AT1TE32420	ATTIRTA1	DNA/Tc1
chr1	10077086	10077308	-	223	AT1TE32500	ATTIRTA1	DNA/Tc1
chr1	10851266	10851466	-	201	AT1TE35050	ATTIRTA1	DNA/Tc1
chr1	11597333	11597586	-	254	AT1TE37545	ATTIRTA1	DNA/Tc1
chr1	16307343	16307594	+	252	AT1TE53690	ATTIRTA1	DNA/Tc1
chr1	17063245	17063467	-	223	AT1TE56465	ATTIRTA1	DNA/Tc1
chr1	17116653	17116793	+	141	AT1TE56665	ATTIRTA1	DNA/Tc1
chr1	17702168	17702405	-	238	AT1TE58790	ATTIRTA1	DNA/Tc1
chr1	18805593	18805853	-	261	AT1TE62355	ATTIRTA1	DNA/Tc1
chr1	18858561	18858812	+	252	AT1TE62480	ATTIRTA1	DNA/Tc1
chr1	20118812	20118982	-	171	AT1TE66480	ATTIRTA1	DNA/Tc1
chr1	20131377	20131547	-	171	AT1TE66510	ATTIRTA1	DNA/Tc1
chr1	20411767	20412026	-	260	AT1TE67405	ATTIRTA1	DNA/Tc1
chr1	21021308	21021571	-	264	AT1TE69405	ATTIRTA1	DNA/Tc1
chr1	21039623	21039856	+	234	AT1TE69470	ATTIRTA1	DNA/Tc1
chr1	22162739	22162956	-	218	AT1TE73165	ATTIRTA1	DNA/Tc1
chr1	23123843	23124043	-	201	AT1TE76220	ATTIRTA1	DNA/Tc1
chr1	23220115	23220379	-	265	AT1TE76550	ATTIRTA1	DNA/Tc1
chr1	23820356	23820462	-	107	AT1TE78415	ATTIRTA1	DNA/Tc1
chr1	24608382	24608605	+	224	AT1TE80840	ATTIRTA1	DNA/Tc1
chr1	28507062	28507349	-	288	AT1TE93245	ATTIRTA1	DNA/Tc1
chr1	29992348	29992610	-	263	AT1TE98095	ATTIRTA1	DNA/Tc1
chr2	203543	203795	-	253	AT2TE00790	ATTIRTA1	DNA/Tc1
chr2	288809	289065	-	257	AT2TE01185	ATTIRTA1	DNA/Tc1
chr2	424814	424935	+	122	AT2TE01770	ATTIRTA1	DNA/Tc1
chr2	749305	749560	+	256	AT2TE03275	ATTIRTA1	DNA/Tc1
chr2	1570092	1570339	-	248	AT2TE07210	ATTIRTA1	DNA/Tc1
chr2	5215336	5215469	-	134	AT2TE21315	ATTIRTA1	DNA/Tc1
chr2	6539391	6539610	-	220	AT2TE26745	ATTIRTA1	DNA/Tc1
chr2	7656773	7657022	-	250	AT2TE31545	ATTIRTA1	DNA/Tc1
chr2	7761504	7761770	-	267	AT2TE32045	ATTIRTA1	DNA/Tc1
chr2	8292596	8292855	+	260	AT2TE34490	ATTIRTA1	DNA/Tc1
chr2	8450069	8450094	-	26	AT2TE35265	ATTIRTA1	DNA/Tc1
chr2	9818923	9819103	+	181	AT2TE41960	ATTIRTA1	DNA/Tc1
chr2	11511983	11512128	+	146	AT2TE49900	ATTIRTA1	DNA/Tc1
chr2	11949405	11949657	+	253	AT2TE52010	ATTIRTA1	DNA/Tc1
chr2	12138753	12139015	-	263	AT2TE52880	ATTIRTA1	DNA/Tc1
chr2	13510929	13511194	+	266	AT2TE59380	ATTIRTA1	DNA/Tc1
chr2	15729521	15729772	-	252	AT2TE70290	ATTIRTA1	DNA/Tc1
chr2	18675676	18675847	-	172	AT2TE84800	ATTIRTA1	DNA/Tc1
chr3	2092901	2093098	+	198	AT3TE08820	ATTIRTA1	DNA/Tc1
chr3	4082879	4083068	+	190	AT3TE17200	ATTIRTA1	DNA/Tc1
chr3	4118549	4118678	+	130	AT3TE17340	ATTIRTA1	DNA/Tc1
chr3	8308550	8308809	+	260	AT3TE34845	ATTIRTA1	DNA/Tc1
chr3	8923831	8923985	-	155	AT3TE37325	ATTIRTA1	DNA/Tc1
chr3	9331276	9331525	-	250	AT3TE38970	ATTIRTA1	DNA/Tc1
chr3	9664085	9664188	+	104	AT3TE40290	ATTIRTA1	DNA/Tc1
chr3	10419729	10419938	-	210	AT3TE43270	ATTIRTA1	DNA/Tc1
chr3	10724416	10724679	-	264	AT3TE44560	ATTIRTA1	DNA/Tc1
chr3	11835394	11835533	-	140	AT3TE49250	ATTIRTA1	DNA/Tc1
chr3	16367989	16368241	-	253	AT3TE66295	ATTIRTA1	DNA/Tc1
chr3	17197279	17197482	-	204	AT3TE69690	ATTIRTA1	DNA/Tc1
chr3	17842048	17842311	-	264	AT3TE72280	ATTIRTA1	DNA/Tc1
chr3	18718613	18718870	-	258	AT3TE75940	ATTIRTA1	DNA/Tc1
chr3	18926160	18926392	-	233	AT3TE76765	ATTIRTA1	DNA/Tc1
chr4	43385	43540	-	156	AT4TE00205	ATTIRTA1	DNA/Tc1
chr4	615220	615452	+	233	AT4TE03215	ATTIRTA1	DNA/Tc1
chr4	1434014	1434266	-	253	AT4TE07310	ATTIRTA1	DNA/Tc1
chr4	2402566	2402757	+	192	AT4TE11205	ATTIRTA1	DNA/Tc1
chr4	4199535	4199793	+	259	AT4TE18105	ATTIRTA1	DNA/Tc1
chr4	6111275	6111504	+	230	AT4TE25795	ATTIRTA1	DNA/Tc1
chr4	6334444	6334719	-	276	AT4TE26975	ATTIRTA1	DNA/Tc1
chr4	6584185	6584434	+	250	AT4TE28175	ATTIRTA1	DNA/Tc1
chr4	6595577	6595828	-	252	AT4TE28215	ATTIRTA1	DNA/Tc1
chr4	8753529	8753797	+	269	AT4TE39095	ATTIRTA1	DNA/Tc1
chr4	9034171	9034434	+	264	AT4TE40515	ATTIRTA1	DNA/Tc1
chr4	9035261	9035522	+	262	AT4TE40525	ATTIRTA1	DNA/Tc1
chr4	10054630	10054872	+	243	AT4TE45710	ATTIRTA1	DNA/Tc1
chr4	11435481	11435603	-	123	AT4TE52690	ATTIRTA1	DNA/Tc1
chr4	11595167	11595410	-	244	AT4TE53545	ATTIRTA1	DNA/Tc1
chr4	16180388	16180519	-	132	AT4TE77550	ATTIRTA1	DNA/Tc1
chr5	6881210	6881309	-	100	AT5TE24970	ATTIRTA1	DNA/Tc1
chr5	7430838	7431008	+	171	AT5TE26870	ATTIRTA1	DNA/Tc1
chr5	7702555	7702786	-	232	AT5TE27860	ATTIRTA1	DNA/Tc1
chr5	8911573	8911826	-	254	AT5TE32300	ATTIRTA1	DNA/Tc1
chr5	9012828	9013074	+	247	AT5TE32620	ATTIRTA1	DNA/Tc1
chr5	10115712	10115980	+	269	AT5TE36840	ATTIRTA1	DNA/Tc1
chr5	10997550	10997805	+	256	AT5TE39985	ATTIRTA1	DNA/Tc1
chr5	13544989	13545067	+	79	AT5TE48070	ATTIRTA1	DNA/Tc1
chr5	14904341	14904609	-	269	AT5TE53760	ATTIRTA1	DNA/Tc1
chr5	15296063	15296166	+	104	AT5TE55345	ATTIRTA1	DNA/Tc1
chr5	15300719	15300979	+	261	AT5TE55365	ATTIRTA1	DNA/Tc1
chr5	16118522	16118779	-	258	AT5TE58235	ATTIRTA1	DNA/Tc1
chr5	17881728	17881975	-	248	AT5TE64555	ATTIRTA1	DNA/Tc1
chr5	18151252	18151414	-	163	AT5TE65390	ATTIRTA1	DNA/Tc1
chr5	19412253	19412509	-	257	AT5TE69835	ATTIRTA1	DNA/Tc1
chr5	21924566	21924768	-	203	AT5TE78950	ATTIRTA1	DNA/Tc1
chr5	24383012	24383288	+	277	AT5TE87720	ATTIRTA1	DNA/Tc1
chr5	24722538	24722576	-	39	AT5TE88965	ATTIRTA1	DNA/Tc1
chr5	25360865	25361131	+	267	AT5TE91225	ATTIRTA1	DNA/Tc1
chr5	25657802	25658028	-	227	AT5TE92325	ATTIRTA1	DNA/Tc1
chr5	26161404	26161574	-	171	AT5TE94190	ATTIRTA1	DNA/Tc1
