chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	1476478	1476716	+	239	AT1TE04830	ATDNATA1	DNA/Mariner
chr1	3932218	3932527	-	310	AT1TE12790	DT1	DNA/Mariner
chr1	4093261	4093293	+	33	AT1TE13305	DT1	DNA/Mariner
chr1	6669936	6670131	+	196	AT1TE21600	DT1	DNA/Mariner
chr1	9305917	9306155	-	239	AT1TE29995	DT1	DNA/Mariner
chr1	10050991	10051205	-	215	AT1TE32425	DT1	DNA/Mariner
chr1	11207301	11207627	+	327	AT1TE36235	DT1	DNA/Mariner
chr1	11349407	11349640	-	234	AT1TE36710	DT1	DNA/Mariner
chr1	12481427	12481673	+	247	AT1TE40630	DT1	DNA/Mariner
chr1	13029063	13029212	+	150	AT1TE42495	DT1	DNA/Mariner
chr1	13352696	13353001	-	306	AT1TE43660	DT1	DNA/Mariner
chr1	14163339	14163545	+	207	AT1TE46515	ATDNATA1	DNA/Mariner
chr1	14167106	14167369	-	264	AT1TE46530	DT1	DNA/Mariner
chr1	16164857	16165118	-	262	AT1TE53280	DT1	DNA/Mariner
chr1	16348771	16348820	-	50	AT1TE53855	DT1	DNA/Mariner
chr1	16923015	16923274	+	260	AT1TE56030	DT1	DNA/Mariner
chr1	17069791	17070028	-	238	AT1TE56500	ATDNATA1	DNA/Mariner
chr1	17239652	17239902	-	251	AT1TE57155	ATDNATA1	DNA/Mariner
chr1	17917910	17918158	+	249	AT1TE59470	DT1	DNA/Mariner
chr1	18269467	18269734	-	268	AT1TE60530	DT1	DNA/Mariner
chr1	18816505	18816805	+	301	AT1TE62400	DT1	DNA/Mariner
chr1	19251573	19251851	+	279	AT1TE63805	DT1	DNA/Mariner
chr1	19693217	19693478	-	262	AT1TE65085	DT1	DNA/Mariner
chr1	20154054	20154314	+	261	AT1TE66575	DT1	DNA/Mariner
chr1	20520391	20520598	+	208	AT1TE67805	DT1	DNA/Mariner
chr1	20520599	20520909	-	311	AT1TE67810	DT1	DNA/Mariner
chr1	21656659	21656890	+	232	AT1TE71465	DT1	DNA/Mariner
chr1	22064022	22064308	-	287	AT1TE72865	DT1	DNA/Mariner
chr1	22749627	22749920	+	294	AT1TE75005	DT1	DNA/Mariner
chr1	22881472	22881603	+	132	AT1TE75420	DT1	DNA/Mariner
chr1	23197419	23197681	-	263	AT1TE76470	DT1	DNA/Mariner
chr1	24454063	24454301	+	239	AT1TE80315	DT1	DNA/Mariner
chr1	24577178	24577413	-	236	AT1TE80725	ATDNATA1	DNA/Mariner
chr1	24991166	24991409	-	244	AT1TE82100	DT1	DNA/Mariner
chr1	25015300	25015534	-	235	AT1TE82180	ATDNATA1	DNA/Mariner
chr1	25247590	25247851	+	262	AT1TE82850	DT1	DNA/Mariner
chr1	25977315	25977487	+	173	AT1TE85110	DT1	DNA/Mariner
chr1	28188833	28189131	+	299	AT1TE92240	DT1	DNA/Mariner
chr2	226854	227064	+	211	AT2TE00900	DT1	DNA/Mariner
chr2	919815	920007	-	193	AT2TE04110	ATDNATA1	DNA/Mariner
chr2	1142449	1142763	-	315	AT2TE05170	DT1	DNA/Mariner
chr2	1556517	1556751	-	235	AT2TE07170	DT1	DNA/Mariner
chr2	1592951	1593214	+	264	AT2TE07330	DT1	DNA/Mariner
chr2	1716643	1716853	-	211	AT2TE07970	ATDNATA1	DNA/Mariner
chr2	1949134	1949401	-	268	AT2TE08980	DT1	DNA/Mariner
chr2	1962113	1962356	+	244	AT2TE09055	DT1	DNA/Mariner
chr2	1976535	1976808	+	274	AT2TE09105	DT1	DNA/Mariner
chr2	2085344	2085586	+	243	AT2TE09535	DT1	DNA/Mariner
chr2	2349457	2349693	-	237	AT2TE10835	DT1	DNA/Mariner
chr2	2360666	2360951	-	286	AT2TE10890	DT1	DNA/Mariner
chr2	4790692	4790954	+	263	AT2TE19880	DT1	DNA/Mariner
chr2	6471290	6471550	+	261	AT2TE26440	DT1	DNA/Mariner
chr2	6485328	6485577	+	250	AT2TE26510	DT1	DNA/Mariner
chr2	6877361	6877583	-	223	AT2TE28005	DT1	DNA/Mariner
chr2	7370062	7370328	-	267	AT2TE30145	DT1	DNA/Mariner
chr2	7375615	7375852	+	238	AT2TE30180	ATDNATA1	DNA/Mariner
chr2	7701716	7701977	-	262	AT2TE31765	DT1	DNA/Mariner
chr2	7906789	7907050	-	262	AT2TE32760	DT1	DNA/Mariner
chr2	8268806	8269105	-	300	AT2TE34405	DT1	DNA/Mariner
chr2	8276393	8276662	-	270	AT2TE34420	DT1	DNA/Mariner
chr2	9261832	9262086	-	255	AT2TE39250	DT1	DNA/Mariner
chr2	9277132	9277339	+	208	AT2TE39330	DT1	DNA/Mariner
chr2	9901909	9902196	-	288	AT2TE42380	DT1	DNA/Mariner
chr2	9946395	9946514	-	120	AT2TE42540	DT1	DNA/Mariner
chr2	11362715	11363023	-	309	AT2TE49145	DT1	DNA/Mariner
chr2	11663721	11663984	+	264	AT2TE50670	DT1	DNA/Mariner
chr2	12120408	12120587	-	180	AT2TE52785	DT1	DNA/Mariner
chr2	12320535	12320798	+	264	AT2TE53735	DT1	DNA/Mariner
chr2	13211355	13211592	+	238	AT2TE57945	ATDNATA1	DNA/Mariner
chr2	15939716	15939856	+	141	AT2TE71330	DT1	DNA/Mariner
chr2	16560516	16560782	-	267	AT2TE74405	DT1	DNA/Mariner
chr2	18041932	18042151	+	220	AT2TE81690	ATDNATA1	DNA/Mariner
chr2	18538557	18538848	+	292	AT2TE84135	DT1	DNA/Mariner
chr3	1065339	1065456	+	118	AT3TE04475	DT1	DNA/Mariner
chr3	4494814	4495020	-	207	AT3TE18950	ATDNATA1	DNA/Mariner
chr3	5164894	5165123	+	230	AT3TE21735	ATDNATA1	DNA/Mariner
chr3	5836323	5836565	+	243	AT3TE24540	DT1	DNA/Mariner
chr3	6403659	6403894	+	236	AT3TE26955	DT1	DNA/Mariner
chr3	6978014	6978290	+	277	AT3TE29300	DT1	DNA/Mariner
chr3	7658214	7658269	+	56	AT3TE32170	DT1	DNA/Mariner
chr3	8276041	8276264	+	224	AT3TE34715	DT1	DNA/Mariner
chr3	8684947	8685109	-	163	AT3TE36405	ATDNATA1	DNA/Mariner
chr3	10014597	10014722	-	126	AT3TE41685	DT1	DNA/Mariner
chr3	10607882	10608046	-	165	AT3TE44100	DT1	DNA/Mariner
chr3	11309577	11309830	+	254	AT3TE47140	DT1	DNA/Mariner
chr3	12143808	12144047	+	240	AT3TE50490	ATDNATA1	DNA/Mariner
chr3	12599258	12599520	-	263	AT3TE51870	DT1	DNA/Mariner
chr3	15659978	15660243	-	266	AT3TE63330	DT1	DNA/Mariner
chr3	15912039	15912298	-	260	AT3TE64390	DT1	DNA/Mariner
