chr	start	end	DMR_number	cumulative_pos
chr1	1	100000	7	50000
chr1	100001	200000	4	150000
chr1	200001	300000	10	250000
chr1	300001	400000	4	350000
chr1	400001	500000	8	450000
chr1	500001	600000	17	550000
chr1	600001	700000	19	650000
chr1	700001	800000	11	750000
chr1	800001	900000	6	850000
chr1	900001	1000000	12	950000
chr1	1000001	1100000	0	1050000
chr1	1100001	1200000	10	1150000
chr1	1200001	1300000	11	1250000
chr1	1300001	1400000	2	1350000
chr1	1400001	1500000	14	1450000
chr1	1500001	1600000	11	1550000
chr1	1600001	1700000	4	1650000
chr1	1700001	1800000	5	1750000
chr1	1800001	1900000	4	1850000
chr1	1900001	2000000	8	1950000
chr1	2000001	2100000	5	2050000
chr1	2100001	2200000	6	2150000
chr1	2200001	2300000	7	2250000
chr1	2300001	2400000	4	2350000
chr1	2400001	2500000	6	2450000
chr1	2500001	2600000	10	2550000
chr1	2600001	2700000	5	2650000
chr1	2700001	2800000	2	2750000
chr1	2800001	2900000	7	2850000
chr1	2900001	3000000	5	2950000
chr1	3000001	3100000	6	3050000
chr1	3100001	3200000	3	3150000
chr1	3200001	3300000	10	3250000
chr1	3300001	3400000	11	3350000
chr1	3400001	3500000	9	3450000
chr1	3500001	3600000	16	3550000
chr1	3600001	3700000	3	3650000
chr1	3700001	3800000	14	3750000
chr1	3800001	3900000	11	3850000
chr1	3900001	4000000	14	3950000
chr1	4000001	4100000	8	4050000
chr1	4100001	4200000	12	4150000
chr1	4200001	4300000	5	4250000
chr1	4300001	4400000	6	4350000
chr1	4400001	4500000	13	4450000
chr1	4500001	4600000	14	4550000
chr1	4600001	4700000	9	4650000
chr1	4700001	4800000	11	4750000
chr1	4800001	4900000	7	4850000
chr1	4900001	5000000	6	4950000
chr1	5000001	5100000	9	5050000
chr1	5100001	5200000	6	5150000
chr1	5200001	5300000	4	5250000
chr1	5300001	5400000	9	5350000
chr1	5400001	5500000	6	5450000
chr1	5500001	5600000	3	5550000
chr1	5600001	5700000	16	5650000
chr1	5700001	5800000	4	5750000
chr1	5800001	5900000	14	5850000
chr1	5900001	6000000	9	5950000
chr1	6000001	6100000	5	6050000
