chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	16883	17009	-	127	AT1TE00020	ATREP4	RC/Helitron
chr1	17024	18924	+	1901	AT1TE00025	ATREP3	RC/Helitron
chr1	78288	78785	-	498	AT1TE00225	HELITRONY1D	RC/Helitron
chr1	193674	194263	-	590	AT1TE00600	ATREP5	RC/Helitron
chr1	194264	194300	-	37	AT1TE00605	ATREP3	RC/Helitron
chr1	194301	194336	-	36	AT1TE00610	ATREP4	RC/Helitron
chr1	208052	208550	+	499	AT1TE00665	ATREP11	RC/Helitron
chr1	208551	209163	+	613	AT1TE00670	HELITRONY1E	RC/Helitron
chr1	255712	256074	-	363	AT1TE00820	HELITRONY3	RC/Helitron
chr1	460800	461652	-	853	AT1TE01490	ATREP15	RC/Helitron
chr1	499077	499134	-	58	AT1TE01610	HELITRONY3	RC/Helitron
chr1	499135	501371	-	2237	AT1TE01615	ATREP3	RC/Helitron
chr1	501372	501635	-	264	AT1TE01620	ATREP3	RC/Helitron
chr1	501636	501971	+	336	AT1TE01625	ATREP10D	RC/Helitron
chr1	529161	529576	+	416	AT1TE01710	HELITRON4	RC/Helitron
chr1	537238	537593	+	356	AT1TE01740	ATREP4	RC/Helitron
chr1	540269	540416	-	148	AT1TE01745	ATREP14	RC/Helitron
chr1	540417	540985	-	569	AT1TE01750	ATREP2	RC/Helitron
chr1	540986	541195	-	210	AT1TE01755	HELITRONY1A	RC/Helitron
chr1	543981	544642	+	662	AT1TE01760	ATREP1	RC/Helitron
chr1	587269	587326	+	58	AT1TE01900	ATREP10D	RC/Helitron
chr1	587327	587409	+	83	AT1TE01905	ATREP4	RC/Helitron
chr1	587410	588054	-	645	AT1TE01910	ATREP2	RC/Helitron
chr1	588055	588182	+	128	AT1TE01915	ATREP5	RC/Helitron
chr1	588183	588231	+	49	AT1TE01920	ATREP4	RC/Helitron
chr1	606710	607198	-	489	AT1TE01975	ATREP4	RC/Helitron
chr1	607199	607224	-	26	AT1TE01980	ATREP4	RC/Helitron
chr1	609513	610347	+	835	AT1TE01985	ATREP5	RC/Helitron
chr1	638900	639129	-	230	AT1TE02070	ATREP10B	RC/Helitron
chr1	664539	664905	+	367	AT1TE02165	ATREP10B	RC/Helitron
chr1	669867	670631	-	765	AT1TE02175	ATREP11	RC/Helitron
chr1	672779	673137	-	359	AT1TE02180	HELITRONY2	RC/Helitron
chr1	676495	677066	+	572	AT1TE02190	ATREP9	RC/Helitron
chr1	677067	677162	+	96	AT1TE02195	ATREP4	RC/Helitron
chr1	677163	677290	-	128	AT1TE02200	HELITRONY1D	RC/Helitron
