chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	7394406	7394765	-	360	AT1TE23840	ATSINE4	SINE
chr1	7766430	7766584	+	155	AT1TE24975	ATSINE2A	SINE
chr1	10221014	10221279	+	266	AT1TE32990	ATSINE2A	SINE
chr1	12942521	12942824	+	304	AT1TE42205	ATSINE4	SINE
chr1	13031287	13031482	-	196	AT1TE42505	ATSINE2A	SINE
chr1	13127113	13128014	-	902	AT1TE42875	ATSINE2A	SINE
chr1	13638714	13638897	+	184	AT1TE44650	ATSINE2A	SINE
chr1	16146124	16146419	+	296	AT1TE53180	ATSINE4	SINE
chr1	16146854	16147149	+	296	AT1TE53185	ATSINE4	SINE
chr1	16147584	16147693	+	110	AT1TE53190	ATSINE4	SINE
chr1	16773498	16773744	+	247	AT1TE55425	ATSINE4	SINE
chr1	17082964	17083160	-	197	AT1TE56530	ATSINE4	SINE
chr1	17201571	17201916	-	346	AT1TE57020	ATSINE4	SINE
chr1	17477615	17477755	+	141	AT1TE57925	ATSINE2A	SINE
chr1	19250495	19250573	+	79	AT1TE63795	ATSINE4	SINE
chr1	19389528	19389869	-	342	AT1TE64210	ATSINE4	SINE
chr1	19389870	19389931	-	62	AT1TE64215	ATSINE4	SINE
chr1	20273198	20273225	-	28	AT1TE66980	ATSINE2A	SINE
chr1	20273226	20273406	-	181	AT1TE66985	ATSINE2A	SINE
chr1	21237189	21237265	+	77	AT1TE70170	ATSINE4	SINE
chr1	21365442	21365626	+	185	AT1TE70535	ATSINE4	SINE
chr1	21853674	21853894	+	221	AT1TE72110	ATSINE4	SINE
chr1	22058991	22059068	+	78	AT1TE72840	ATSINE4	SINE
chr1	22206030	22206450	+	421	AT1TE73340	ATSINE2A	SINE
chr1	23761523	23761830	-	308	AT1TE78230	ATSINE2A	SINE
chr1	24012370	24012519	-	150	AT1TE78990	ATSINE4	SINE
chr1	24551731	24551800	-	70	AT1TE80645	ATSINE4	SINE
chr2	144209	144292	+	84	AT2TE00505	ATSINE4	SINE
chr2	252653	252690	-	38	AT2TE01020	ATSINE4	SINE
chr2	254128	254204	+	77	AT2TE01025	ATSINE4	SINE
chr2	254205	254342	+	138	AT2TE01030	ATSINE4	SINE
chr2	276794	277137	-	344	AT2TE01125	ATSINE4	SINE
chr2	305724	306044	+	321	AT2TE01275	ATSINE4	SINE
chr2	400079	400300	+	222	AT2TE01650	ATSINE4	SINE
chr2	560180	560448	-	269	AT2TE02430	ATSINE4	SINE
chr2	1353349	1353629	-	281	AT2TE06170	ATSINE4	SINE
chr2	1982792	1983132	+	341	AT2TE09140	ATSINE4	SINE
chr2	2014819	2015001	+	183	AT2TE09240	ATSINE4	SINE
chr2	2260686	2261026	-	341	AT2TE10410	ATSINE4	SINE
chr2	2284254	2284530	+	277	AT2TE10515	ATSINE4	SINE
chr2	3023328	3023664	+	337	AT2TE13160	ATSINE4	SINE
chr2	3187502	3187850	+	349	AT2TE13760	ATSINE4	SINE
chr2	5316383	5316404	-	22	AT2TE21630	ATSINE4	SINE
chr2	5316405	5316774	-	370	AT2TE21635	ATSINE4	SINE
chr2	5427689	5428031	-	343	AT2TE21985	ATSINE4	SINE
chr2	5435853	5436305	-	453	AT2TE22020	ATSINE4	SINE
chr2	5649282	5649720	+	439	AT2TE22815	ATSINE2A	SINE
chr2	5886607	5888004	+	1398	AT2TE23970	ATSINE2A	SINE
chr2	6645350	6645448	-	99	AT2TE27080	ATSINE2A	SINE
chr2	6731441	6731698	-	258	AT2TE27505	ATSINE4	SINE
chr2	6985748	6985840	-	93	AT2TE28445	ATSINE4	SINE
chr2	7904254	7904452	+	199	AT2TE32725	ATSINE4	SINE
chr2	7905116	7905257	+	142	AT2TE32745	ATSINE4	SINE
chr2	9330501	9330797	+	297	AT2TE39600	ATSINE4	SINE
chr2	9470623	9470883	-	261	AT2TE40270	ATSINE2A	SINE
chr2	11461331	11461532	+	202	AT2TE49660	ATSINE4	SINE
chr2	17362655	17362821	+	167	AT2TE78320	ATSINE2A	SINE
chr3	1849192	1849337	+	146	AT3TE07760	ATSINE2A	SINE
chr3	8379783	8380063	+	281	AT3TE35130	ATSINE4	SINE
chr3	9769048	9769415	-	368	AT3TE40670	ATSINE2A	SINE
chr3	9788018	9788321	-	304	AT3TE40740	ATSINE4	SINE
chr3	10140741	10140854	+	114	AT3TE42190	ATSINE2A	SINE
chr3	10902528	10902659	+	132	AT3TE45330	ATSINE2A	SINE
chr3	10927159	10927522	+	364	AT3TE45405	ATSINE2A	SINE
chr3	11453218	11453306	+	89	AT3TE47740	ATSINE2A	SINE
chr3	12806538	12806683	+	146	AT3TE52635	ATSINE4	SINE
chr3	12822388	12822465	+	78	AT3TE52710	ATSINE4	SINE
chr3	12824440	12824487	+	48	AT3TE52720	ATSINE4	SINE
chr3	12864519	12864596	+	78	AT3TE52815	ATSINE4	SINE
chr3	12866571	12866648	+	78	AT3TE52840	ATSINE4	SINE
chr3	13040113	13040191	+	79	AT3TE53410	ATSINE4	SINE
chr3	13042683	13042759	+	77	AT3TE53420	ATSINE4	SINE
chr3	13154994	13155138	+	145	AT3TE53810	ATSINE4	SINE
chr3	13177776	13177853	+	78	AT3TE53900	ATSINE4	SINE
chr3	13179816	13179893	+	78	AT3TE53920	ATSINE4	SINE
chr3	13181851	13181928	+	78	AT3TE53945	ATSINE4	SINE
chr3	13183885	13183962	+	78	AT3TE53960	ATSINE4	SINE
chr3	13226251	13226327	+	77	AT3TE54080	ATSINE4	SINE
chr3	13230288	13230432	+	145	AT3TE54120	ATSINE4	SINE
chr3	13376072	13376148	+	77	AT3TE54555	ATSINE4	SINE
chr3	15337479	15337627	-	149	AT3TE62290	ATSINE4	SINE
chr3	15786205	15786631	-	427	AT3TE63825	ATSINE4	SINE
chr3	15812305	15812481	+	177	AT3TE63920	ATSINE4	SINE
chr3	15931112	15931413	+	302	AT3TE64465	ATSINE4	SINE
chr3	15948305	15948353	-	49	AT3TE64540	ATSINE4	SINE
chr3	16488298	16488439	+	142	AT3TE66850	ATSINE4	SINE
chr3	16490461	16490526	+	66	AT3TE66855	ATSINE4	SINE
chr3	16538289	16538546	-	258	AT3TE67035	ATSINE4	SINE
chr3	16698362	16698469	-	108	AT3TE67645	ATSINE4	SINE
chr3	17034953	17035028	-	76	AT3TE69045	ATSINE4	SINE
chr3	17945360	17945436	-	77	AT3TE72710	ATSINE4	SINE
chr3	18459170	18459299	-	130	AT3TE74900	ATSINE4	SINE
chr3	18739496	18739836	+	341	AT3TE76015	ATSINE4	SINE
