chr	start	end	strand	ID
chr1	19822380	19824568	+	AT1TE65535
chr1	16325184	16327367	-	AT1TE53750
chr1	12562100	12564283	-	AT1TE40925
chr1	15076084	15078266	-	AT1TE49330
chr1	15352447	15354854	-	AT1TE50650
chr1	15547275	15549791	+	AT1TE51175
chr1	16584101	16586369	+	AT1TE54655
chr1	8490641	8492849	+	AT1TE27405
chr1	12501186	12503392	+	AT1TE40695
chr1	8114685	8116894	+	AT1TE26120
chr1	15939330	15941469	+	AT1TE52535
chr1	16699413	16701967	+	AT1TE55100
chr1	13245270	13247416	+	AT1TE43295
chr1	17708150	17710775	+	AT1TE58820
chr1	16162425	16164556	+	AT1TE53265
chr1	15685432	15687581	+	AT1TE51665
chr1	11720281	11722435	+	AT1TE37975
chr1	15792669	15794826	-	AT1TE52010
chr1	16059165	16061322	+	AT1TE52895
chr1	24350741	24352986	+	AT1TE80035
chr1	20972074	20974323	+	AT1TE69270
chr1	17376313	17378567	-	AT1TE57560
chr1	14449179	14451469	+	AT1TE47570
chr1	15947178	15949473	+	AT1TE52570
chr1	16143371	16145661	-	AT1TE53170
chr1	13915200	13917482	+	AT1TE45695
chr1	22991840	22994059	-	AT1TE75780
chr1	16168194	16170418	-	AT1TE53300
chr1	14392569	14394783	+	AT1TE47365
chr1	14346918	14349130	+	AT1TE47145
chr1	25639635	25641849	-	AT1TE84070
chr1	14459460	14461676	+	AT1TE47605
chr1	12813938	12816180	+	AT1TE41735
chr1	15768497	15770736	-	AT1TE51960
chr1	16987716	16989955	+	AT1TE56260
chr1	499135	501371	-	AT1TE01615
chr1	13991689	13994017	-	AT1TE45955
chr1	13979641	13981876	-	AT1TE45895
chr1	15557534	15559659	-	AT1TE51215
chr1	18324372	18326405	+	AT1TE60740
chr1	20475899	20477927	-	AT1TE67645
chr1	25696501	25698524	+	AT1TE84245
chr1	19716456	19719259	+	AT1TE65160
chr1	25180004	25182025	+	AT1TE82640
chr1	16596176	16598192	+	AT1TE54710
chr1	14255844	14257875	-	AT1TE46770
chr1	10315744	10317790	+	AT1TE33350
chr1	19993687	19995733	-	AT1TE66090
chr1	13971993	13974028	+	AT1TE45860
chr1	23213593	23215627	+	AT1TE76530
chr1	13437315	13439349	+	AT1TE43960
chr1	13597675	13599711	+	AT1TE44535
chr1	15342073	15344365	-	AT1TE50575
chr1	16818869	16820877	-	AT1TE55630
chr1	639130	641133	+	AT1TE02075
