chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	349928	349969	-	42	AT1TE01140	ATGP2	LTR/Gypsy
chr1	349972	350037	-	66	AT1TE01145	ATGP2	LTR/Gypsy
chr1	1477673	1478083	-	411	AT1TE04835	ATGP1	LTR/Gypsy
chr1	1478084	1478455	-	372	AT1TE04840	ATGP1	LTR/Gypsy
chr1	1520195	1520367	-	173	AT1TE04985	ATHILA	LTR/Gypsy
chr1	2444684	2444851	+	168	AT1TE07970	ATGP8	LTR/Gypsy
chr1	2526624	2526756	-	133	AT1TE08230	ATHILA7A	LTR/Gypsy
chr1	2657418	2657920	+	503	AT1TE08660	ATLANTYS3	LTR/Gypsy
chr1	3605062	3605139	-	78	AT1TE11730	ATHILA8B	LTR/Gypsy
chr1	3715119	3715209	-	91	AT1TE12090	ATLANTYS1	LTR/Gypsy
chr1	4071378	4071831	+	454	AT1TE13240	ATHILA6A	LTR/Gypsy
chr1	4506332	4506450	+	119	AT1TE14640	ATHILA4C	LTR/Gypsy
chr1	7066493	7071562	+	5070	AT1TE22850	ATLANTYS2	LTR/Gypsy
chr1	7067629	7067790	+	162	AT1TE22855	ATLANTYS1	LTR/Gypsy
chr1	7071563	7071716	+	154	AT1TE22865	ATLANTYS2	LTR/Gypsy
chr1	7526122	7526145	-	24	AT1TE24240	ATGP9B	LTR/Gypsy
chr1	7526146	7526520	-	375	AT1TE24245	ATGP9B	LTR/Gypsy
chr1	8043908	8044269	-	362	AT1TE25880	ATHILA4C	LTR/Gypsy
chr1	8044270	8044323	-	54	AT1TE25885	ATHILA4D_LTR	LTR/Gypsy
chr1	8515352	8515706	-	355	AT1TE27475	ATHILA7	LTR/Gypsy
chr1	8778395	8778654	+	260	AT1TE28320	TAT1_ATH	LTR/Gypsy
chr1	8778655	8778970	+	316	AT1TE28325	TAT1_ATH	LTR/Gypsy
chr1	8779151	8779236	+	86	AT1TE28330	ATLANTYS3	LTR/Gypsy
chr1	8800897	8801182	+	286	AT1TE28395	TAT1_ATH	LTR/Gypsy
chr1	8801183	8801459	+	277	AT1TE28400	TAT1_ATH	LTR/Gypsy
chr1	8801679	8801764	+	86	AT1TE28405	ATLANTYS3	LTR/Gypsy
chr1	8815275	8815560	+	286	AT1TE28450	TAT1_ATH	LTR/Gypsy
chr1	8815561	8815837	+	277	AT1TE28455	TAT1_ATH	LTR/Gypsy
chr1	8816057	8816142	+	86	AT1TE28460	ATLANTYS3	LTR/Gypsy
chr1	8829653	8829938	+	286	AT1TE28500	TAT1_ATH	LTR/Gypsy
chr1	8829939	8830254	+	316	AT1TE28505	TAT1_ATH	LTR/Gypsy
chr1	8830435	8830520	+	86	AT1TE28510	ATLANTYS3	LTR/Gypsy
chr1	9163143	9163284	-	142	AT1TE29530	ATHILA7	LTR/Gypsy
chr1	9642845	9643142	+	298	AT1TE31080	ATGP1	LTR/Gypsy
chr1	9761354	9761578	+	225	AT1TE31420	ATGP10	LTR/Gypsy
chr1	9902028	9902091	+	64	AT1TE31910	ATHILA4D_LTR	LTR/Gypsy
chr1	9902092	9902764	+	673	AT1TE31915	ATHILA4D_LTR	LTR/Gypsy
chr1	10167602	10167820	+	219	AT1TE32815	ATGP2	LTR/Gypsy
chr1	10982120	10982866	+	747	AT1TE35460	ATGP1	LTR/Gypsy
chr1	10982871	10983613	-	743	AT1TE35465	ATGP1	LTR/Gypsy
chr1	11295414	11295628	+	215	AT1TE36545	ATHILA4D_LTR	LTR/Gypsy
chr1	11454384	11454469	-	86	AT1TE37060	ATLANTYS3	LTR/Gypsy
chr1	11454666	11454888	-	223	AT1TE37065	TAT1_ATH	LTR/Gypsy
chr1	11504087	11505147	+	1061	AT1TE37210	ATLANTYS3	LTR/Gypsy
chr1	11505148	11507634	+	2487	AT1TE37215	ATLANTYS2	LTR/Gypsy
chr1	11517917	11521322	-	3406	AT1TE37265	ATLANTYS2	LTR/Gypsy
chr1	11578166	11578290	+	125	AT1TE37485	ATLANTYS3	LTR/Gypsy
chr1	11580501	11581114	+	614	AT1TE37490	ATLANTYS3	LTR/Gypsy
chr1	11623858	11624130	+	273	AT1TE37630	ATHILA7	LTR/Gypsy
chr1	11650319	11650578	-	260	AT1TE37720	ATGP1	LTR/Gypsy
chr1	11692362	11692500	-	139	AT1TE37865	ATGP3	LTR/Gypsy
