chr	start	end	DMR_number	cumulative_pos
chr1	1	500000	33	250000
chr1	500001	1000000	65	750000
chr1	1000001	1500000	37	1250000
chr1	1500001	2000000	32	1750000
chr1	2000001	2500000	28	2250000
chr1	2500001	3000000	29	2750000
chr1	3000001	3500000	39	3250000
chr1	3500001	4000000	58	3750000
chr1	4000001	4500000	44	4250000
chr1	4500001	5000000	47	4750000
chr1	5000001	5500000	34	5250000
chr1	5500001	6000000	46	5750000
chr1	6000001	6500000	66	6250000
chr1	6500001	7000000	47	6750000
chr1	7000001	7500000	68	7250000
chr1	7500001	8000000	65	7750000
chr1	8000001	8500000	90	8250000
chr1	8500001	9000000	67	8750000
chr1	9000001	9500000	94	9250000
chr1	9500001	10000000	94	9750000
chr1	10000001	10500000	86	10250000
chr1	10500001	11000000	119	10750000
chr1	11000001	11500000	160	11250000
chr1	11500001	12000000	179	11750000
chr1	12000001	12500000	210	12250000
chr1	12500001	13000000	280	12750000
chr1	13000001	13500000	322	13250000
chr1	13500001	14000000	334	13750000
chr1	14000001	14500000	336	14250000
chr1	14500001	15000000	64	14750000
chr1	15000001	15500000	359	15250000
chr1	15500001	16000000	312	15750000
chr1	16000001	16500000	309	16250000
chr1	16500001	17000000	313	16750000
chr1	17000001	17500000	227	17250000
chr1	17500001	18000000	186	17750000
chr1	18000001	18500000	130	18250000
chr1	18500001	19000000	119	18750000
chr1	19000001	19500000	158	19250000
chr1	19500001	20000000	120	19750000
chr1	20000001	20500000	139	20250000
chr1	20500001	21000000	78	20750000
chr1	21000001	21500000	143	21250000
chr1	21500001	22000000	174	21750000
chr1	22000001	22500000	101	22250000
chr1	22500001	23000000	100	22750000
chr1	23000001	23500000	102	23250000
chr1	23500001	24000000	77	23750000
chr1	24000001	24500000	95	24250000
chr1	24500001	25000000	161	24750000
chr1	25000001	25500000	61	25250000
chr1	25500001	26000000	78	25750000
chr1	26000001	26500000	57	26250000
chr1	26500001	27000000	57	26750000
chr1	27000001	27500000	52	27250000
chr1	27500001	28000000	47	27750000
chr1	28000001	28500000	38	28250000
chr1	28500001	29000000	58	28750000
chr1	29000001	29500000	54	29250000
chr1	29500001	30000000	32	29750000
chr1	30000001	30427671	25	30213836
chr2	1	500000	137	30677671
chr2	500001	1000000	186	31177671
chr2	1000001	1500000	308	31677671
chr2	1500001	2000000	305	32177671
chr2	2000001	2500000	347	32677671
chr2	2500001	3000000	281	33177671
chr2	3000001	3500000	193	33677671
chr2	3500001	4000000	236	34177671
chr2	4000001	4500000	336	34677671
chr2	4500001	5000000	292	35177671
chr2	5000001	5500000	317	35677671
chr2	5500001	6000000	274	36177671
chr2	6000001	6500000	316	36677671
chr2	6500001	7000000	254	37177671
chr2	7000001	7500000	189	37677671
chr2	7500001	8000000	139	38177671
chr2	8000001	8500000	154	38677671
chr2	8500001	9000000	118	39177671
chr2	9000001	9500000	115	39677671
chr2	9500001	10000000	153	40177671
chr2	10000001	10500000	137	40677671
chr2	10500001	11000000	151	41177671
chr2	11000001	11500000	127	41677671
chr2	11500001	12000000	116	42177671
chr2	12000001	12500000	88	42677671
chr2	12500001	13000000	72	43177671
chr2	13000001	13500000	83	43677671
chr2	13500001	14000000	60	44177671
chr2	14000001	14500000	69	44677671
chr2	14500001	15000000	45	45177671
chr2	15000001	15500000	46	45677671
chr2	15500001	16000000	35	46177671
chr2	16000001	16500000	46	46677671
chr2	16500001	17000000	36	47177671
chr2	17000001	17500000	44	47677671
chr2	17500001	18000000	29	48177671
chr2	18000001	18500000	29	48677671
chr2	18500001	19000000	39	49177671
chr2	19000001	19500000	31	49677671
chr2	19500001	19698289	16	50026816
chr3	1	500000	20	50375960
chr3	500001	1000000	26	50875960
chr3	1000001	1500000	43	51375960
chr3	1500001	2000000	43	51875960
chr3	2000001	2500000	25	52375960
chr3	2500001	3000000	34	52875960
chr3	3000001	3500000	31	53375960
chr3	3500001	4000000	57	53875960
chr3	4000001	4500000	44	54375960
chr3	4500001	5000000	44	54875960
chr3	5000001	5500000	34	55375960
chr3	5500001	6000000	68	55875960
chr3	6000001	6500000	55	56375960
chr3	6500001	7000000	50	56875960
chr3	7000001	7500000	59	57375960
chr3	7500001	8000000	113	57875960
chr3	8000001	8500000	122	58375960
chr3	8500001	9000000	108	58875960
chr3	9000001	9500000	115	59375960
chr3	9500001	10000000	142	59875960
chr3	10000001	10500000	207	60375960
chr3	10500001	11000000	281	60875960
chr3	11000001	11500000	353	61375960
chr3	11500001	12000000	367	61875960
chr3	12000001	12500000	273	62375960
chr3	12500001	13000000	310	62875960
chr3	13000001	13500000	308	63375960
chr3	13500001	14000000	479	63875960
chr3	14000001	14500000	354	64375960
chr3	14500001	15000000	295	64875960
chr3	15000001	15500000	258	65375960
chr3	15500001	16000000	328	65875960
chr3	16000001	16500000	283	66375960
chr3	16500001	17000000	208	66875960
chr3	17000001	17500000	150	67375960
chr3	17500001	18000000	105	67875960
chr3	18000001	18500000	100	68375960
chr3	18500001	19000000	97	68875960
chr3	19000001	19500000	56	69375960
chr3	19500001	20000000	53	69875960
chr3	20000001	20500000	48	70375960
chr3	20500001	21000000	63	70875960
chr3	21000001	21500000	34	71375960
chr3	21500001	22000000	42	71875960
chr3	22000001	22500000	58	72375960
chr3	22500001	23000000	80	72875960
chr3	23000001	23459830	38	73355875
chr4	1	500000	122	73835790
chr4	500001	1000000	135	74335790
chr4	1000001	1500000	134	74835790
chr4	1500001	2000000	206	75335790
chr4	2000001	2500000	268	75835790
chr4	2500001	3000000	246	76335790
chr4	3000001	3500000	324	76835790
chr4	3500001	4000000	241	77335790
chr4	4000001	4500000	235	77835790
chr4	4500001	5000000	323	78335790
chr4	5000001	5500000	327	78835790
chr4	5500001	6000000	298	79335790
chr4	6000001	6500000	257	79835790
chr4	6500001	7000000	188	80335790
chr4	7000001	7500000	186	80835790
chr4	7500001	8000000	191	81335790
chr4	8000001	8500000	76	81835790
chr4	8500001	9000000	142	82335790
chr4	9000001	9500000	93	82835790
chr4	9500001	10000000	84	83335790
chr4	10000001	10500000	60	83835790
chr4	10500001	11000000	109	84335790
chr4	11000001	11500000	108	84835790
chr4	11500001	12000000	77	85335790
chr4	12000001	12500000	51	85835790
chr4	12500001	13000000	52	86335790
chr4	13000001	13500000	45	86835790
chr4	13500001	14000000	40	87335790
chr4	14000001	14500000	55	87835790
chr4	14500001	15000000	45	88335790
chr4	15000001	15500000	27	88835790
chr4	15500001	16000000	40	89335790
chr4	16000001	16500000	25	89835790
chr4	16500001	17000000	29	90335790
chr4	17000001	17500000	35	90835790
chr4	17500001	18000000	41	91335790
chr4	18000001	18500000	38	91835790
chr4	18500001	18585056	14	92128318
chr5	1	500000	34	92420846
chr5	500001	1000000	24	92920846
chr5	1000001	1500000	42	93420846
chr5	1500001	2000000	38	93920846
chr5	2000001	2500000	51	94420846
chr5	2500001	3000000	29	94920846
chr5	3000001	3500000	33	95420846
chr5	3500001	4000000	43	95920846
chr5	4000001	4500000	36	96420846
chr5	4500001	5000000	49	96920846
chr5	5000001	5500000	55	97420846
