chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	474081	474176	+	96	AT1TE01530	TSCL	LINE?
chr1	6445974	6446201	+	228	AT1TE20890	TSCL	LINE?
chr1	6573464	6574189	+	726	AT1TE21305	TSCL	LINE?
chr1	7452574	7452646	-	73	AT1TE24005	TSCL	LINE?
chr1	11596772	11596887	-	116	AT1TE37540	TSCL	LINE?
chr1	12653040	12653378	+	339	AT1TE41315	TSCL	LINE?
chr1	13034010	13034370	+	361	AT1TE42535	TSCL	LINE?
chr1	16231806	16232128	+	323	AT1TE53450	TSCL	LINE?
chr1	16539823	16539970	-	148	AT1TE54530	TSCL	LINE?
chr1	16543130	16543277	-	148	AT1TE54545	TSCL	LINE?
chr1	17300098	17300317	+	220	AT1TE57330	TSCL	LINE?
chr1	17589741	17590601	-	861	AT1TE58390	TSCL	LINE?
chr1	17831152	17831580	+	429	AT1TE59195	TSCL	LINE?
chr1	21457401	21457500	-	100	AT1TE70815	TSCL	LINE?
chr1	24506417	24506616	-	200	AT1TE80485	TSCL	LINE?
chr1	24901332	24901435	-	104	AT1TE81815	TSCL	LINE?
chr1	26747121	26747238	-	118	AT1TE87540	TSCL	LINE?
chr2	138752	139009	-	258	AT2TE00480	TSCL	LINE?
chr2	187245	187484	-	240	AT2TE00710	TSCL	LINE?
chr2	350315	350748	-	434	AT2TE01460	TSCL	LINE?
chr2	993233	993503	+	271	AT2TE04440	TSCL	LINE?
chr2	2763099	2763244	-	146	AT2TE12215	TSCL	LINE?
chr2	3024724	3025684	-	961	AT2TE13170	TSCL	LINE?
chr2	3025685	3025725	-	41	AT2TE13175	TSCL	LINE?
chr2	3025828	3026015	-	188	AT2TE13180	TSCL	LINE?
chr2	4145333	4145695	-	363	AT2TE17525	TSCL	LINE?
chr2	6013682	6014631	-	950	AT2TE24465	TSCL	LINE?
chr2	6014643	6014962	-	320	AT2TE24470	TSCL	LINE?
chr2	6014721	6014945	-	225	AT2TE24475	TSCL	LINE?
chr2	9005578	9005954	+	377	AT2TE38000	TSCL	LINE?
chr2	9537548	9537878	+	331	AT2TE40590	TSCL	LINE?
chr2	9922601	9923495	-	895	AT2TE42460	TSCL	LINE?
chr2	11495112	11495420	+	309	AT2TE49830	TSCL	LINE?
chr2	11964738	11964853	+	116	AT2TE52085	TSCL	LINE?
chr2	13228094	13228207	-	114	AT2TE58015	TSCL	LINE?
chr2	13305546	13305682	+	137	AT2TE58390	TSCL	LINE?
chr2	14180824	14180962	+	139	AT2TE62700	TSCL	LINE?
chr3	3497420	3497753	-	334	AT3TE14700	TSCL	LINE?
chr3	3894306	3894386	-	81	AT3TE16390	TSCL	LINE?
chr3	6247013	6247204	+	192	AT3TE26260	TSCL	LINE?
chr3	7040846	7041553	-	708	AT3TE29575	TSCL	LINE?
chr3	10187219	10187441	+	223	AT3TE42340	TSCL	LINE?
chr3	10222653	10223004	+	352	AT3TE42490	TSCL	LINE?
chr3	10284232	10284554	+	323	AT3TE42740	TSCL	LINE?
chr3	10441685	10441898	-	214	AT3TE43365	TSCL	LINE?
chr3	10861590	10861867	+	278	AT3TE45150	TSCL	LINE?
chr3	11800780	11801357	+	578	AT3TE49110	TSCL	LINE?
chr3	12096080	12097283	-	1204	AT3TE50325	TSCL	LINE?
chr3	16076529	16076611	-	83	AT3TE65045	TSCL	LINE?
chr3	16301843	16303089	+	1247	AT3TE66060	TSCL	LINE?
chr3	16508864	16508943	+	80	AT3TE66920	TSCL	LINE?
chr3	17042053	17043012	-	960	AT3TE69070	TSCL	LINE?
chr3	19085492	19085514	+	23	AT3TE77410	TSCL	LINE?
chr3	19085515	19086280	+	766	AT3TE77415	TSCL	LINE?
chr3	19753370	19753482	-	113	AT3TE80220	TSCL	LINE?
chr3	19753763	19753966	+	204	AT3TE80225	TSCL	LINE?
chr4	68735	69015	+	281	AT4TE00320	TSCL	LINE?
chr4	555380	555742	-	363	AT4TE02905	TSCL	LINE?
chr4	1270628	1270998	-	371	AT4TE06500	TSCL	LINE?
chr4	2415125	2415186	+	62	AT4TE11255	TSCL	LINE?
chr4	2459506	2459613	+	108	AT4TE11470	TSCL	LINE?
chr4	2471350	2471615	+	266	AT4TE11530	TSCL	LINE?
chr4	5191530	5192076	-	547	AT4TE21615	TSCL	LINE?
chr4	6373891	6374172	-	282	AT4TE27160	TSCL	LINE?
chr4	6627847	6628086	+	240	AT4TE28380	TSCL	LINE?
chr4	7923310	7923670	-	361	AT4TE34845	TSCL	LINE?
chr4	8625151	8625448	-	298	AT4TE38420	TSCL	LINE?
chr4	9598511	9598606	+	96	AT4TE43370	TSCL	LINE?
chr4	15338869	15339050	-	182	AT4TE73090	TSCL	LINE?
chr4	18256956	18257212	+	257	AT4TE88445	TSCL	LINE?
chr5	5232	5289	-	58	AT5TE00010	TSCL	LINE?
chr5	2910887	2910989	+	103	AT5TE10600	TSCL	LINE?
chr5	7806584	7806911	+	328	AT5TE28240	TSCL	LINE?
chr5	9718899	9719157	-	259	AT5TE35280	TSCL	LINE?
chr5	10272599	10272855	+	257	AT5TE37515	TSCL	LINE?
chr5	14821727	14821843	-	117	AT5TE53440	TSCL	LINE?
chr5	16009986	16010209	+	224	AT5TE57790	TSCL	LINE?
chr5	16130736	16131090	-	355	AT5TE58295	TSCL	LINE?
chr5	17141893	17142154	-	262	AT5TE61910	TSCL	LINE?
chr5	20048358	20049583	-	1226	AT5TE72200	TSCL	LINE?
chr5	22366985	22367210	-	226	AT5TE80510	TSCL	LINE?
