chr	start	end	strand	ID
chr1	758535	760505	+	AT1TE02465
chr1	12410498	12411549	-	AT1TE40365
chr1	17404745	17406246	-	AT1TE57635
chr1	14125085	14127032	-	AT1TE46390
chr1	6735679	6737670	+	AT1TE21790
chr1	14259092	14261082	-	AT1TE46780
chr1	14303553	14305530	-	AT1TE46990
chr1	14910879	14912856	+	AT1TE48850
chr1	30253651	30255513	-	AT1TE98920
chr1	15197742	15199555	-	AT1TE49885
chr1	13757123	13758799	+	AT1TE45090
chr1	9135712	9136880	-	AT1TE29410
chr1	15325991	15327528	-	AT1TE50485
chr1	13046855	13047855	+	AT1TE42595
chr1	6074608	6075608	+	AT1TE19635
chr1	16451658	16452658	+	AT1TE54245
chr1	13257583	13258583	+	AT1TE43330
chr1	16170419	16171419	+	AT1TE53305
chr1	13684722	13686164	-	AT1TE44785
chr1	2029752	2031696	+	AT1TE06650
chr1	9018551	9019574	+	AT1TE29070
chr1	28504714	28505737	+	AT1TE93240
chr1	13171381	13172402	-	AT1TE42995
chr1	16399979	16401001	-	AT1TE54020
chr1	17015858	17016880	+	AT1TE56360
chr1	15944859	15945882	-	AT1TE52550
chr1	28912664	28913670	-	AT1TE94570
chr1	11028440	11029458	-	AT1TE35630
chr1	12855066	12856081	-	AT1TE41850
chr1	9187620	9188638	+	AT1TE29605
chr1	22562685	22563702	-	AT1TE74430
chr1	16148810	16149828	-	AT1TE53215
chr1	12250886	12251906	+	AT1TE39795
chr1	21758660	21759682	+	AT1TE71830
chr1	12690355	12691380	+	AT1TE41375
chr1	18053195	18054218	-	AT1TE59860
chr1	19147603	19148627	-	AT1TE63460
chr1	13581895	13582929	+	AT1TE44470
chr1	17689627	17690659	+	AT1TE58740
chr1	23939918	23940948	-	AT1TE78765
chr1	16938114	16939142	-	AT1TE56110
chr1	22457883	22458911	-	AT1TE74100
chr1	13010030	13011057	+	AT1TE42410
chr1	12185282	12186309	+	AT1TE39550
chr1	2415020	2416036	+	AT1TE07880
chr1	8266506	8267531	-	AT1TE26625
chr1	15277990	15279016	-	AT1TE50300
chr1	24586873	24587898	-	AT1TE80755
chr1	4987869	4988882	-	AT1TE16155
chr1	22606463	22607478	+	AT1TE74575
chr1	15226234	15227237	-	AT1TE50015
chr1	13370452	13371457	+	AT1TE43735
chr1	12583268	12584273	+	AT1TE41005
chr1	13723190	13724194	+	AT1TE44965
chr1	25962304	25963306	-	AT1TE85075
chr1	17928869	17929873	+	AT1TE59510
chr1	18397544	18398546	+	AT1TE60965
chr1	25722566	25723569	+	AT1TE84335
chr1	10705525	10706526	-	AT1TE34595
chr1	16340751	16341752	-	AT1TE53790
chr1	11983130	11984131	+	AT1TE38795
chr1	13423403	13424407	-	AT1TE43900
chr1	5811552	5812560	+	AT1TE18790
chr1	12324807	12325818	+	AT1TE40075
chr1	9574362	9575371	-	AT1TE30845
chr1	19513350	19514361	+	AT1TE64590
chr1	7809355	7810370	+	AT1TE25110
chr1	16685258	16686269	+	AT1TE55015
chr1	14308461	14309469	-	AT1TE47005
chr1	13572050	13573262	-	AT1TE44435
chr1	17240901	17241909	+	AT1TE57160
chr1	20044024	20045029	-	AT1TE66245
chr1	12581911	12582918	-	AT1TE41000
chr1	14157395	14158404	+	AT1TE46500
chr1	11834923	11836068	+	AT1TE38350
chr1	21918286	21919763	+	AT1TE72325
chr1	15318106	15319617	-	AT1TE50435
chr1	12906565	12907856	+	AT1TE42080
chr1	10347384	10348529	+	AT1TE33455
chr1	15122536	15124277	-	AT1TE49560
chr1	21341500	21342530	-	AT1TE70480
chr1	13913796	13915110	+	AT1TE45680
chr1	13606762	13607807	+	AT1TE44575
chr1	28362532	28363565	-	AT1TE92810
chr1	14107574	14108708	-	AT1TE46325
chr1	5436721	5437872	-	AT1TE17555
chr1	10875049	10876201	-	AT1TE35130
chr1	23096073	23097785	-	AT1TE76130
chr1	14001040	14002187	+	AT1TE45975
chr1	3895094	3897046	+	AT1TE12665
chr1	27854426	27855573	+	AT1TE91150
chr1	17267055	17268180	+	AT1TE57235
chr1	23278021	23279166	-	AT1TE76730
chr1	11766188	11767344	+	AT1TE38130
chr1	11490272	11491439	+	AT1TE37170
chr1	14412054	14413312	-	AT1TE47485
chr1	14366401	14367659	-	AT1TE47265
chr1	14476831	14478089	-	AT1TE47685
chr1	15104915	15106075	-	AT1TE49455
chr1	13781170	13782305	-	AT1TE45155
chr1	15624481	15625637	+	AT1TE51405
chr1	14355645	14356801	+	AT1TE47220
chr1	16023128	16024273	+	AT1TE52810
chr1	14401298	14402454	+	AT1TE47440
chr1	13353936	13355092	-	AT1TE43670
chr1	22003588	22004746	+	AT1TE72655
chr1	16360021	16361175	-	AT1TE53915
chr1	22251118	22252261	-	AT1TE73480
chr1	8870368	8871513	+	AT1TE28635
chr1	17411986	17413128	-	AT1TE57695
chr1	3936019	3937146	-	AT1TE12810
chr1	14396565	14397694	+	AT1TE47395
chr1	14350912	14352041	+	AT1TE47175
chr1	15813316	15814443	-	AT1TE52070
chr1	3771003	3772133	-	AT1TE12275
chr1	11485509	11486636	-	AT1TE37150
chr1	15816973	15818102	+	AT1TE52090
chr1	16463541	16464667	-	AT1TE54315
chr1	9915357	9916480	-	AT1TE31970
chr1	28280132	28281255	-	AT1TE92540
chr1	19762700	19763826	+	AT1TE65330
chr1	9125777	9126902	-	AT1TE29390
chr1	1937510	1938638	+	AT1TE06340
chr1	13251866	13253034	-	AT1TE43315
chr1	13179469	13180611	+	AT1TE43025
chr1	24793772	24794915	+	AT1TE81430
chr1	23710109	23711252	+	AT1TE78070
chr1	22257718	22258860	-	AT1TE73500
chr1	7960124	7961263	-	AT1TE25615
chr1	9304765	9305904	-	AT1TE29990
chr1	22040691	22041829	-	AT1TE72780
chr1	13649327	13650463	-	AT1TE44680
chr1	15132729	15133866	-	AT1TE49630
chr1	16867762	16868961	+	AT1TE55855
chr1	18599463	18600585	-	AT1TE61640
chr1	13160256	13161425	-	AT1TE42945
chr1	23281603	23282774	-	AT1TE76735
chr1	16406732	16407941	-	AT1TE54075
chr1	29134250	29135462	+	AT1TE95295
chr1	26214248	26215463	-	AT1TE85870
chr1	15630986	15632195	+	AT1TE51435
chr1	15639889	15641103	+	AT1TE51485
chr1	8511952	8513159	-	AT1TE27470
chr1	15057069	15058248	-	AT1TE49280
chr1	15852916	15854122	+	AT1TE52175
chr1	15387616	15388695	-	AT1TE50790
chr1	15350189	15351395	-	AT1TE50635
chr1	16885823	16887029	-	AT1TE55920
chr1	14207139	14208348	+	AT1TE46640
chr1	14162169	14163600	+	AT1TE46510
chr1	17665030	17666250	-	AT1TE58650
chr1	12895317	12896538	-	AT1TE41995
chr1	16442084	16443316	+	AT1TE54205
chr1	13599712	13600943	+	AT1TE44540
chr1	28311273	28312504	-	AT1TE92655
chr1	21401735	21402968	+	AT1TE70660
chr1	4582383	4583615	+	AT1TE14865
chr1	19703141	19704372	+	AT1TE65110
chr1	13166075	13167303	-	AT1TE42975
chr1	15137431	15138658	-	AT1TE49665
chr1	8169559	8170783	+	AT1TE26305
chr1	12548824	12550030	+	AT1TE40885
chr1	12469124	12470347	-	AT1TE40595
chr1	15965043	15966249	+	AT1TE52615
chr1	12751236	12752462	-	AT1TE41565
chr1	11324441	11325667	+	AT1TE36630
chr1	13779966	13781169	-	AT1TE45150
chr1	21995404	21996608	+	AT1TE72630
chr1	12246436	12247641	+	AT1TE39785
chr1	11805615	11806799	-	AT1TE38260
chr1	14156210	14157394	-	AT1TE46495
chr1	11524201	11525379	-	AT1TE37295
chr1	16377780	16378958	-	AT1TE53985
chr1	9918158	9919330	-	AT1TE31985
chr1	12760396	12761574	-	AT1TE41585
chr1	25819804	25820979	+	AT1TE84650
chr1	24872093	24873272	+	AT1TE81695
chr1	22134201	22135374	-	AT1TE73080
chr1	25228611	25229782	-	AT1TE82790
chr1	14390895	14392085	+	AT1TE47355
chr1	17653392	17654582	-	AT1TE58610
chr1	13621507	13622705	-	AT1TE44615
chr1	22022899	22024097	-	AT1TE72725
chr1	26358799	26360000	+	AT1TE86330
chr1	4093294	4094494	-	AT1TE13310
chr1	15079961	15081161	+	AT1TE49345
chr1	4136148	4137348	+	AT1TE13455
chr1	15810042	15811238	-	AT1TE52050
chr1	3497680	3498873	-	AT1TE11380
chr1	15131230	15132421	-	AT1TE49615
chr1	15117310	15118501	-	AT1TE49530
chr1	14345242	14346432	+	AT1TE47135
chr1	15424983	15426176	+	AT1TE50900
chr1	12809651	12810844	-	AT1TE41725
chr1	21477448	21478566	-	AT1TE70885
chr1	7528106	7529158	+	AT1TE24255
chr1	20558534	20559585	-	AT1TE67915
chr1	29339656	29340708	-	AT1TE95980
chr1	21069440	21070494	+	AT1TE69575
chr1	23238883	23239934	+	AT1TE76615
chr1	24645066	24646116	+	AT1TE80950
chr1	13668181	13669232	+	AT1TE44730
chr1	25700721	25701770	-	AT1TE84260
chr1	15173463	15174824	-	AT1TE49810
chr1	16544396	16545449	-	AT1TE54550
chr1	12286564	12287597	+	AT1TE39915
chr1	24448677	24449740	-	AT1TE80305
chr1	5958628	5959682	-	AT1TE19270
chr1	13825126	13826189	-	AT1TE45330
chr1	1976110	1977174	-	AT1TE06480
chr1	11504087	11505147	+	AT1TE37210
chr1	24944475	24945536	-	AT1TE81935
chr1	15279017	15280077	-	AT1TE50305
chr1	28420783	28421844	+	AT1TE92970
chr1	11174212	11175268	+	AT1TE36120
chr1	24831579	24832636	+	AT1TE81560
chr1	6230392	6231451	-	AT1TE20160
chr1	21991449	21992506	-	AT1TE72615
chr1	13322436	13323485	+	AT1TE43565
chr1	12136634	12137681	-	AT1TE39360
chr1	19026857	19027896	+	AT1TE63030
chr1	19024607	19025646	+	AT1TE63025
chr1	21943153	21944193	+	AT1TE72415
chr1	17541724	17542762	-	AT1TE58125
chr1	11298445	11299452	+	AT1TE36550
chr1	24658695	24659730	-	AT1TE80995
chr1	16447481	16448518	+	AT1TE54225
chr1	11910686	11911721	+	AT1TE38570
chr1	17094314	17095350	+	AT1TE56565
chr1	11831780	11832816	+	AT1TE38340
chr1	10564876	10565913	+	AT1TE34165
chr1	17654583	17655619	+	AT1TE58615
chr1	19316440	19317505	-	AT1TE64015
chr1	24704987	24706028	+	AT1TE81150
chr1	13936046	13937056	+	AT1TE45770
chr1	15771087	15772102	-	AT1TE51970
chr1	13926981	13928028	+	AT1TE45730
chr1	16767628	16768674	-	AT1TE55400
chr1	23553589	23554635	-	AT1TE77560
chr1	21390067	21391113	+	AT1TE70615
chr1	13933043	13934088	+	AT1TE45760
chr1	23077908	23078953	+	AT1TE76070
chr1	13151880	13152923	-	AT1TE42930
chr1	14831876	14832919	+	AT1TE48710
chr1	22850636	22851679	+	AT1TE75330
chr1	8059573	8060613	-	AT1TE25935
chr1	14225657	14226700	+	AT1TE46680
chr1	13929931	13930998	+	AT1TE45740
chr1	16561041	16562084	-	AT1TE54605
chr1	17936924	17937991	+	AT1TE59535
chr1	17465434	17466502	+	AT1TE57885
chr1	12985130	12986235	-	AT1TE42345
chr1	9255426	9256534	-	AT1TE29830
chr1	16368541	16369914	+	AT1TE53960
chr1	14466420	14467530	+	AT1TE47640
chr1	24507415	24508526	+	AT1TE80490
chr1	18767012	18768116	-	AT1TE62215
chr1	16986042	16987141	-	AT1TE56245
chr1	10158915	10160017	+	AT1TE32785
chr1	17821507	17822618	+	AT1TE59160
chr1	11817658	11818739	-	AT1TE38300
chr1	24687334	24688435	-	AT1TE81075
chr1	26691411	26692514	+	AT1TE87370
chr1	13759976	13761074	-	AT1TE45100
chr1	9955239	9956349	-	AT1TE32095
chr1	16353422	16354538	+	AT1TE53895
chr1	17151789	17152908	+	AT1TE56835
chr1	13499730	13500849	+	AT1TE44180
chr1	13800667	13801784	-	AT1TE45210
chr1	6587128	6588246	-	AT1TE21355
chr1	23542304	23543421	+	AT1TE77520
chr1	18894359	18895470	+	AT1TE62585
chr1	24101683	24102799	+	AT1TE79270
chr1	15208200	15209311	-	AT1TE49950
chr1	15419175	15420289	+	AT1TE50875
chr1	9894133	9895243	-	AT1TE31885
chr1	15312019	15313134	+	AT1TE50400
chr1	20157040	20158155	+	AT1TE66585
chr1	13584484	13585600	+	AT1TE44485
chr1	14913117	14914150	-	AT1TE48860
chr1	19246092	19247191	+	AT1TE63785
chr1	19870091	19871188	+	AT1TE65690
chr1	28038234	28039312	+	AT1TE91750
chr1	27035224	27036301	-	AT1TE88450
chr1	15257278	15258677	-	AT1TE50185
chr1	16546947	16548026	-	AT1TE54560
chr1	24662960	24664035	-	AT1TE81005
chr1	22454209	22455282	-	AT1TE74090
chr1	7833186	7834254	-	AT1TE25210
chr1	18281070	18282150	-	AT1TE60585
chr1	26332245	26333319	+	AT1TE86260
chr1	29319630	29320701	-	AT1TE95915
chr1	14031014	14032112	+	AT1TE46085
chr1	16598990	16600072	+	AT1TE54720
chr1	15262110	15263192	-	AT1TE50235
chr1	16501577	16502669	-	AT1TE54445
chr1	15428470	15429555	-	AT1TE50915
chr1	9000001	9001095	-	AT1TE29040
chr1	11286625	11287694	-	AT1TE36510
chr1	14235751	14236844	+	AT1TE46710
chr1	28332972	28334063	-	AT1TE92725
chr1	9467219	9468311	+	AT1TE30520
chr1	13215105	13216190	+	AT1TE43170
chr1	8288748	8289831	+	AT1TE26710
chr1	1592656	1593745	+	AT1TE05225
chr1	13365669	13366757	-	AT1TE43725
