chr	start	end	strand	ID
chr1	16431065	16431612	-	AT1TE54165
chr1	14353180	14353977	+	AT1TE47195
chr1	21132485	21133186	-	AT1TE69865
chr1	15594102	15594925	+	AT1TE51310
chr1	14357678	14358254	-	AT1TE47230
chr1	14403331	14403907	-	AT1TE47450
chr1	15746462	15747109	+	AT1TE51840
chr1	13795196	13796032	+	AT1TE45180
chr1	22736802	22737354	-	AT1TE74970
chr1	12765529	12766385	-	AT1TE41610
chr1	23537771	23538278	-	AT1TE77500
chr1	24502680	24503378	+	AT1TE80470
chr1	20649027	20649668	+	AT1TE68210
chr1	15662505	15663325	+	AT1TE51595
chr1	15697906	15698423	+	AT1TE51695
chr1	16882185	16882942	-	AT1TE55910
chr1	16841985	16842553	-	AT1TE55750
chr1	25656469	25656974	-	AT1TE84120
chr1	21398752	21399739	-	AT1TE70640
chr1	7023546	7024535	+	AT1TE22695
chr1	13827496	13828484	-	AT1TE45350
chr1	21872791	21873779	-	AT1TE72170
chr1	23754446	23755437	+	AT1TE78195
chr1	20172729	20173718	+	AT1TE66645
chr1	18892860	18893847	+	AT1TE62575
chr1	16139487	16140471	+	AT1TE53150
chr1	11648913	11649897	+	AT1TE37710
chr1	17474228	17475214	+	AT1TE57915
chr1	23424035	23425021	-	AT1TE77135
chr1	18300267	18301257	-	AT1TE60645
chr1	13075527	13076517	-	AT1TE42700
chr1	28057258	28058256	+	AT1TE91810
chr1	25400479	25401474	-	AT1TE83355
chr1	18746142	18747137	-	AT1TE62140
chr1	8276495	8277489	-	AT1TE26665
chr1	17548184	17549180	+	AT1TE58180
chr1	3897178	3898168	-	AT1TE12675
chr1	9418063	9419054	-	AT1TE30365
chr1	27088575	27089569	+	AT1TE88635
chr1	13565366	13566361	+	AT1TE44385
chr1	21658435	21659418	+	AT1TE71480
chr1	6196419	6197401	+	AT1TE20035
chr1	20513638	20514607	+	AT1TE67785
chr1	11073101	11074071	+	AT1TE35750
chr1	19705882	19706850	-	AT1TE65120
chr1	15200537	15201505	-	AT1TE49900
chr1	12631496	12632463	-	AT1TE41240
chr1	17060057	17061024	-	AT1TE56450
chr1	12881716	12882684	+	AT1TE41930
