chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	76844	77500	+	657	AT1TE00220	TA11	LINE/L1
chr1	154331	154418	-	88	AT1TE00470	ATLINE1_3A	LINE/L1
chr1	309296	309351	-	56	AT1TE01010	ATLINEIII	LINE/L1
chr1	432995	433837	-	843	AT1TE01405	ATLINE1A	LINE/L1
chr1	604400	604453	+	54	AT1TE01970	ATLINEIII	LINE/L1
chr1	1738944	1739205	+	262	AT1TE05700	TA11	LINE/L1
chr1	2415020	2416036	+	1017	AT1TE07880	ATLINE1_1	LINE/L1
chr1	3124790	3125010	-	221	AT1TE10140	ATLINE1_3A	LINE/L1
chr1	3264447	3264824	-	378	AT1TE10615	ATLINE1_6	LINE/L1
chr1	3330818	3332913	+	2096	AT1TE10830	ATLINE2	LINE/L1
chr1	3728969	3730413	+	1445	AT1TE12135	ATLINE2	LINE/L1
chr1	4411795	4411881	+	87	AT1TE14325	ATLINE1_3A	LINE/L1
chr1	5518083	5518138	-	56	AT1TE17830	ATLINEIII	LINE/L1
chr1	5958628	5959682	-	1055	AT1TE19270	ATLINE1_2	LINE/L1
chr1	6127655	6127679	-	25	AT1TE19810	ATLINE1_3A	LINE/L1
chr1	6127680	6128262	-	583	AT1TE19815	ATLINEIII	LINE/L1
chr1	6128263	6128348	-	86	AT1TE19820	ATLINE2	LINE/L1
chr1	6466829	6466976	+	148	AT1TE20970	ATLINE1_4	LINE/L1
chr1	6571873	6573214	+	1342	AT1TE21300	ATLINE2	LINE/L1
chr1	7016514	7016567	+	54	AT1TE22675	ATLINEIII	LINE/L1
chr1	7433093	7433175	-	83	AT1TE23950	ATLINE1_3A	LINE/L1
chr1	7474986	7475697	+	712	AT1TE24060	ATLINEIII	LINE/L1
chr1	7690038	7690172	+	135	AT1TE24780	ATLINE2	LINE/L1
chr1	7969361	7974385	+	5025	AT1TE25645	TA11	LINE/L1
chr1	7981054	7981390	+	337	AT1TE25670	ATLINE1_3A	LINE/L1
chr1	8035732	8035847	+	116	AT1TE25860	ATLINE1_3A	LINE/L1
chr1	8178350	8178524	+	175	AT1TE26320	ATLINE1_3A	LINE/L1
chr1	8392155	8392420	+	266	AT1TE27100	ATLINE1A	LINE/L1
chr1	8490641	8492849	+	2209	AT1TE27405	ATLINEIII	LINE/L1
chr1	8656022	8656206	-	185	AT1TE27940	ATLINE1_3A	LINE/L1
chr1	8729235	8729255	+	21	AT1TE28170	TA11	LINE/L1
chr1	8729256	8733277	+	4022	AT1TE28175	TA11	LINE/L1
chr1	9304765	9305904	-	1140	AT1TE29990	ATLINE1A	LINE/L1
chr1	9353786	9354276	-	491	AT1TE30130	ATLINE2	LINE/L1
chr1	9582976	9583971	+	996	AT1TE30875	ATLINE2	LINE/L1
chr1	9585785	9585964	+	180	AT1TE30885	ATLINEIII	LINE/L1
chr1	9926836	9927006	-	171	AT1TE32000	ATLINE1_1	LINE/L1
chr1	10007530	10008021	+	492	AT1TE32270	ATLINE1_5	LINE/L1
chr1	10063058	10063257	-	200	AT1TE32460	ATLINE1_3A	LINE/L1
chr1	10275031	10275149	+	119	AT1TE33200	ATLINE1_5	LINE/L1
chr1	10275948	10275976	+	29	AT1TE33205	ATLINE1_5	LINE/L1
chr1	10275977	10277727	+	1751	AT1TE33210	ATLINE1_4	LINE/L1
chr1	10357357	10363358	+	6002	AT1TE33490	TA11	LINE/L1
chr1	10421307	10421719	-	413	AT1TE33670	ATLINE1_2	LINE/L1
chr1	10531554	10531664	+	111	AT1TE34035	ATLINE1_3A	LINE/L1
chr1	10531995	10532076	+	82	AT1TE34040	ATLINE1_5	LINE/L1
chr1	10532077	10533434	+	1358	AT1TE34045	ATLINE1_4	LINE/L1
chr1	10533435	10533463	+	29	AT1TE34050	ATLINE1_6	LINE/L1
chr1	10533464	10533501	+	38	AT1TE34055	ATLINE1A	LINE/L1
chr1	10570149	10570425	+	277	AT1TE34180	ATLINE1_5	LINE/L1
chr1	10702615	10703021	-	407	AT1TE34590	ATLINE1_6	LINE/L1
chr1	10723434	10725219	+	1786	AT1TE34650	ATLINEIII	LINE/L1
chr1	10913484	10913793	-	310	AT1TE35245	ATLINE1_3A	LINE/L1
chr1	11032989	11033044	-	56	AT1TE35640	ATLINE1_3A	LINE/L1
chr1	11048186	11048555	-	370	AT1TE35675	ATLINE1_3A	LINE/L1
chr1	11064456	11067139	-	2684	AT1TE35720	ATLINEIII	LINE/L1
chr1	11090506	11090638	+	133	AT1TE35835	ATLINE1_3A	LINE/L1
chr1	11096890	11099331	-	2442	AT1TE35855	ATLINE2	LINE/L1
chr1	11099332	11100277	-	946	AT1TE35860	ATLINEIII	LINE/L1
chr1	11111658	11112104	+	447	AT1TE35900	ATLINE1_3A	LINE/L1
chr1	11225126	11225228	+	103	AT1TE36290	TA11	LINE/L1
chr1	11688199	11688218	+	20	AT1TE37845	ATLINEIII	LINE/L1
chr1	11688219	11688569	+	351	AT1TE37850	ATLINEIII	LINE/L1
chr1	11688904	11688967	+	64	AT1TE37855	ATLINE1_3A	LINE/L1
chr1	11914830	11919899	-	5070	AT1TE38580	ATLINEIII	LINE/L1
chr1	11957935	11958234	+	300	AT1TE38700	ATLINE1_2	LINE/L1
chr1	12030525	12030891	+	367	AT1TE38980	ATLINE2	LINE/L1
chr1	12041783	12042411	+	629	AT1TE39030	ATLINE2	LINE/L1
chr1	12043641	12044591	+	951	AT1TE39040	ATLINEIII	LINE/L1
chr1	12080698	12080826	-	129	AT1TE39150	ATLINE2	LINE/L1
chr1	12166281	12166620	-	340	AT1TE39490	ATLINE1_3A	LINE/L1
