chr	start	end	strand	ID
chr1	23146	31227	+	AT1G01040
chr1	33379	37871	-	AT1G01060
chr1	91376	95651	+	AT1G01220
chr1	121067	130577	-	AT1G01320
chr1	232841	237817	-	AT1G01650
chr1	262828	267771	+	AT1G01710
chr1	278615	282891	+	AT1G01770
chr1	284610	291094	+	AT1G01790
chr1	325379	330619	+	AT1G01950
chr1	330588	337582	-	AT1G01960
chr1	347891	352480	+	AT1G02010
chr1	373335	386847	+	AT1G02080
chr1	395761	399897	+	AT1G02120
chr1	404600	408619	+	AT1G02145
chr1	523651	528745	+	AT1G02520
chr1	529795	534677	+	AT1G02530
chr1	544783	549202	+	AT1G02580
chr1	576046	580299	+	AT1G02670
chr1	594573	598657	-	AT1G02730
chr1	645092	651907	-	AT1G02890
chr1	681396	687315	-	AT1G02990
chr1	687890	692560	-	AT1G03000
chr1	712473	726891	-	AT1G03060
chr1	731611	738056	-	AT1G03080
chr1	739679	744184	+	AT1G03090
chr1	761282	766158	+	AT1G03160
chr1	775527	780062	+	AT1G03190
chr1	803035	807066	+	AT1G03280
chr1	830627	835361	+	AT1G03370
chr1	835785	840940	+	AT1G03380
chr1	854410	859701	-	AT1G03445
chr1	947520	951827	-	AT1G03780
chr1	962016	966757	-	AT1G03830
chr1	996115	1000437	+	AT1G03910
chr1	1013715	1017929	+	AT1G03960
chr1	1031200	1036237	-	AT1G04010
chr1	1051312	1056827	+	AT1G04080
chr1	1064450	1071047	-	AT1G04120
chr1	1075543	1080630	-	AT1G04140
chr1	1086495	1096146	+	AT1G04160
chr1	1109482	1114107	+	AT1G04200
chr1	1114405	1119739	+	AT1G04210
chr1	1148597	1154652	-	AT1G04300
chr1	1179363	1183704	-	AT1G04390
chr1	1226575	1230827	+	AT1G04510
chr1	1252122	1257510	-	AT1G04580
chr1	1262123	1272376	+	AT1G04600
chr1	1294893	1299002	-	AT1G04650
chr1	1303529	1307884	-	AT1G04680
chr1	1316254	1320919	+	AT1G04700
chr1	1325296	1331086	-	AT1G04730
chr1	1350180	1355442	+	AT1G04810
chr1	1369054	1373101	-	AT1G04860
chr1	1383841	1387895	+	AT1G04900
chr1	1391502	1395864	-	AT1G04920
chr1	1403085	1407501	-	AT1G04950
chr1	1471406	1476078	-	AT1G05120
chr1	1504960	1509152	+	AT1G05200
chr1	1512896	1518805	-	AT1G05230
chr1	1553603	1557733	+	AT1G05320
chr1	1576863	1582614	+	AT1G05380
chr1	1607357	1611703	-	AT1G05470
chr1	1618602	1623452	-	AT1G05490
chr1	1624955	1629224	+	AT1G05500
chr1	1630900	1635711	-	AT1G05520
chr1	1647706	1659437	-	AT1G05570
chr1	1682318	1687363	+	AT1G05630
chr1	1732871	1737489	+	AT1G05790
chr1	1749682	1753990	+	AT1G05820
chr1	1754244	1761817	+	AT1G05830
chr1	1779256	1784529	+	AT1G05890
chr1	1790224	1796647	+	AT1G05910
chr1	1807973	1815474	-	AT1G05960
chr1	1868989	1873718	-	AT1G06149
chr1	1867015	1873718	-	AT1G06150
chr1	1899964	1904873	+	AT1G06220
chr1	1946788	1950860	+	AT1G06390
chr1	1969729	1973767	+	AT1G06470
chr1	1978762	1989409	+	AT1G06490
chr1	2007615	2012006	+	AT1G06560
chr1	2016308	2024662	-	AT1G06590
chr1	2040433	2047612	+	AT1G06670
chr1	2060444	2067323	-	AT1G06720
chr1	2097747	2103479	-	AT1G06840
chr1	2114927	2120745	-	AT1G06900
chr1	2130142	2135665	-	AT1G06950
chr1	2178104	2184148	-	AT1G07110
chr1	2269893	2274820	+	AT1G07390
chr1	2305378	2309544	+	AT1G07510
chr1	2359549	2366561	-	AT1G07650
chr1	2370052	2374545	-	AT1G07670
chr1	2381615	2386092	+	AT1G07705
chr1	2416265	2420757	+	AT1G07810
chr1	2445470	2454645	+	AT1G07910
chr1	2477157	2483138	+	AT1G07990
chr1	2501742	2511084	-	AT1G08060
chr1	2542702	2547946	-	AT1G08130
chr1	2567475	2573393	+	AT1G08190
chr1	2590944	2606892	+	AT1G08260
chr1	2614774	2618823	+	AT1G08300
chr1	2621904	2627848	-	AT1G08320
chr1	2649537	2657120	+	AT1G08420
chr1	2667798	2671892	-	AT1G08450
chr1	2696412	2700959	+	AT1G08520
chr1	2723824	2733613	+	AT1G08600
chr1	2736774	2743758	+	AT1G08620
chr1	2743761	2747967	-	AT1G08630
chr1	2762584	2768967	+	AT1G08680
chr1	2774030	2779297	+	AT1G08720
chr1	2779963	2788447	+	AT1G08730
chr1	2813061	2818008	-	AT1G08800
chr1	2829105	2838469	-	AT1G08840
chr1	2856227	2861170	+	AT1G08910
chr1	2891037	2895182	+	AT1G09000
chr1	2895166	2899384	-	AT1G09010
chr1	2899914	2904815	-	AT1G09020
chr1	2911317	2915369	+	AT1G09040
chr1	2921064	2925762	-	AT1G09060
chr1	2956589	2962207	-	AT1G09170
chr1	3003495	3008213	+	AT1G09300
chr1	3049024	3053112	+	AT1G09450
chr1	3095256	3100357	-	AT1G09570
chr1	3147667	3154380	-	AT1G09730
chr1	3195824	3200291	-	AT1G09840
chr1	3220035	3224541	-	AT1G09910
chr1	3256245	3261614	-	AT1G09980
chr1	3279270	3283482	+	AT1G10050
chr1	3290311	3296198	-	AT1G10090
chr1	3310930	3322213	+	AT1G10130
chr1	3370558	3377463	+	AT1G10290
chr1	3384164	3388373	-	AT1G10320
chr1	3407024	3412843	-	AT1G10390
chr1	3431780	3438370	+	AT1G10450
chr1	3453228	3460620	+	AT1G10490
chr1	3461635	3465786	+	AT1G10510
chr1	3538470	3543782	-	AT1G10680
chr1	3581034	3590928	-	AT1G10760
chr1	3600910	3605076	-	AT1G10820
chr1	3616610	3623758	-	AT1G10870
chr1	3632234	3637141	-	AT1G10900
chr1	3639878	3644162	+	AT1G10910
chr1	3647894	3655590	-	AT1G10930
chr1	3659209	3663984	+	AT1G10950
chr1	3671756	3675979	-	AT1G11000
chr1	3684568	3689847	+	AT1G11060
chr1	3703672	3709302	-	AT1G11100
chr1	3722857	3727450	+	AT1G11130
chr1	3733139	3739842	+	AT1G11160
chr1	3780429	3786990	-	AT1G11270
chr1	3794238	3800719	+	AT1G11300
chr1	3920543	3924555	+	AT1G11660
chr1	3951553	3957044	+	AT1G11720
chr1	4016784	4020983	-	AT1G11910
chr1	4034587	4038758	-	AT1G11950
chr1	4039711	4043880	-	AT1G11960
chr1	4105233	4109545	+	AT1G12110
