chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	256075	256920	-	846	AT1TE00825	ATHPOGON3	DNA/Pogo
chr1	784893	784929	-	37	AT1TE02555	ATHPOGON1	DNA/Pogo
chr1	784930	785447	+	518	AT1TE02560	ATHPOGON1	DNA/Pogo
chr1	1184970	1185352	-	383	AT1TE03860	ATHPOGON1	DNA/Pogo
chr1	2886534	2887304	-	771	AT1TE09365	ATHPOGON3	DNA/Pogo
chr1	5967261	5967319	+	59	AT1TE19295	ATHPOGO	DNA/Pogo
chr1	5967433	5967570	+	138	AT1TE19300	ATHPOGON1	DNA/Pogo
chr1	6758935	6759700	+	766	AT1TE21840	ATHPOGON1	DNA/Pogo
chr1	6759701	6759761	+	61	AT1TE21845	ATHPOGON1	DNA/Pogo
chr1	7975779	7975861	-	83	AT1TE25650	ATHPOGON1	DNA/Pogo
chr1	7975862	7976602	-	741	AT1TE25655	ATHPOGON3	DNA/Pogo
chr1	8011617	8011662	-	46	AT1TE25775	ATHPOGON3	DNA/Pogo
chr1	8649242	8649670	+	429	AT1TE27915	ATHPOGON1	DNA/Pogo
chr1	10008022	10008663	+	642	AT1TE32275	ATHPOGON3	DNA/Pogo
chr1	10314726	10315423	-	698	AT1TE33340	ATHPOGON3	DNA/Pogo
chr1	10490334	10491121	-	788	AT1TE33905	ATHPOGON3	DNA/Pogo
chr1	10554479	10555084	-	606	AT1TE34125	ATHPOGON1	DNA/Pogo
chr1	10929280	10929424	+	145	AT1TE35300	ATHPOGON1	DNA/Pogo
chr1	11019474	11020246	-	773	AT1TE35590	ATHPOGON1	DNA/Pogo
chr1	11027751	11027971	+	221	AT1TE35620	ATHPOGON1	DNA/Pogo
chr1	11093758	11093901	+	144	AT1TE35845	ATHPOGON2	DNA/Pogo
chr1	11093902	11094007	+	106	AT1TE35850	ATHPOGON3	DNA/Pogo
chr1	11125700	11126411	-	712	AT1TE35955	ATHPOGON2	DNA/Pogo
chr1	11342815	11342964	+	150	AT1TE36690	ATHPOGO	DNA/Pogo
chr1	11342967	11343281	+	315	AT1TE36695	ATHPOGON2	DNA/Pogo
chr1	11656214	11656847	+	634	AT1TE37735	ATHPOGON1	DNA/Pogo
chr1	11656848	11656946	+	99	AT1TE37740	ATHPOGON1	DNA/Pogo
chr1	11767345	11767449	+	105	AT1TE38135	ATHPOGON3	DNA/Pogo
chr1	12324786	12324806	-	21	AT1TE40070	ATHPOGON1	DNA/Pogo
chr1	12338575	12338648	-	74	AT1TE40130	ATHPOGON1	DNA/Pogo
chr1	12500395	12501185	-	791	AT1TE40690	ATHPOGON1	DNA/Pogo
chr1	12888780	12889257	-	478	AT1TE41960	ATHPOGON1	DNA/Pogo
chr1	12975734	12976098	-	365	AT1TE42310	ATHPOGON3	DNA/Pogo
chr1	12976099	12976857	-	759	AT1TE42315	ATHPOGON1	DNA/Pogo
chr1	13097249	13097396	+	148	AT1TE42780	ATHPOGON1	DNA/Pogo
chr1	13097397	13097431	+	35	AT1TE42785	ATHPOGON2	DNA/Pogo
chr1	13097432	13098188	+	757	AT1TE42790	ATHPOGON2	DNA/Pogo
