chr	pos	strand	type	num_C	depth	percentage	isMeth
chr1	100	+	CHH	7	7	1	1
chr1	101	+	CHH	8	8	1	0
chr1	102	+	CHH	8	8	1	1
chr1	107	+	CHH	9	9	1	0
chr1	108	+	CHG	8	10	0.8	1
chr1	109	+	CG	11	11	1	1
chr1	114	+	CHG	11	11	1	1
chr1	115	+	CG	10	11	0.909091	1
chr1	121	+	CHH	11	11	1	1
chr1	123	+	CHG	11	11	1	1
chr1	135	+	CHH	12	12	1	0
chr1	161	+	CG	11	14	0.785714	1
chr1	177	+	CHH	16	16	1	1
chr1	209	+	CHH	11	11	1	0
chr1	219	+	CHH	10	10	1	0
chr1	224	+	CHH	11	11	1	0
chr1	229	+	CHH	11	11	1	0
chr1	230	+	CHH	11	11	1
chr1	236	+	CHH	10	10	1	0
chr1	247	+	CHH	11	11	1	0
chr1	251	+	CHH	11	11	1	0
chr1	252	+	CHH	11	11	1	0
chr1	255	+	CHH	10	10	1	0
chr1	257	+	CHH	9	9	1	0
chr1	262	+	CHH	9	9	1	0
chr1	277	+	CHH	16	16	1	0
chr1	280	+	CHH	15	15	1	0
chr1	298	+	CHH	17	17	1	0
chr1	302	+	CHH	18	18	1	0
chr1	307	+	CHH	0	18	0	0
chr1	310	+	CG	3	18	0.166667	1
chr1	314	+	CHH	1	20	0.05	0
chr1	317	+	CHH	0	21	0	0
chr1	334	+	CHH	0	21	0	0
chr1	336	+	CHH	0	21	0	0
chr1	346	+	CHH	0	21	0	0
chr1	347	+	CHH	0	21	0	0
chr1	363	+	CHH	0	15	0	0
chr1	365	+	CHH	1	16	0.0625	0
chr1	372	+	CHH	0	18	0	0
chr1	389	+	CHG	0	17	0	0
chr1	404	+	CHH	0	17	0	0
chr1	414	+	CHH	0	21	0	0
chr1	418	+	CHH	1	25	0.04	0
chr1	422	+	CHH	0	25	0	0
chr1	424	+	CHH	0	26	0	0
chr1	425	+	CHH	0	26	0	0
chr1	444	+	CHH	2	29	0.0689655	0
chr1	448	+	CHH	1	28	0.0357143	0
chr1	456	+	CHH	0	25	0	0
chr1	493	+	CHH	0	23	0	0
chr1	497	+	CHH	1	22	0.0454545	0
chr1	500	+	CG	9	21	0.428571	1
chr1	511	+	CG	8	15	0.533333	1
chr1	513	+	CHH	1	13	0.0769231	0
chr1	518	+	CHH	0	13	0	0
chr1	521	+	CHH	0	12	0	0
chr1	523	+	CHH	0	12	0	0
chr1	526	+	CHH	1	12	0.0833333	0
chr1	528	+	CHH	1	13	0.0769231	0
chr1	530	+	CHH	1	12	0.0833333	0
chr1	547	+	CHH	0	16	0	0
chr1	548	+	CHH	0	16	0	0
chr1	554	+	CHH	0	14	0	0
chr1	562	+	CHG	0	18	0	0
chr1	570	+	CHH	0	22	0	0
chr1	573	+	CHG	2	22	0.0909091	0
chr1	576	+	CHH	0	23	0	0
chr1	590	+	CHH	0	23	0	0
chr1	591	+	CHH	0	23	0	0
chr1	596	+	CHH	0	23	0	0
chr1	597	+	CHH	3	23	0.130435	1
chr1	620	+	CHH	0	25	0	0
chr1	622	+	CHH	0	25	0	0
chr1	625	+	CHH	0	23	0	0
chr1	630	+	CHH	1	22	0.0454545	0
chr1	638	+	CHH	1	21	0.047619	0
chr1	642	+	CG	19	23	0.826087	1
chr1	644	+	CHH	0	23	0	0
chr1	645	+	CHH	0	23	0	0
chr1	647	+	CG	17	22	0.772727	1
chr1	650	+	CG	17	22	0.772727	1
chr1	655	+	CHH	0	17	0	0
chr1	657	+	CHH	3	17	0.176471	1
chr1	663	+	CHH	0	16	0	0
chr1	667	+	CHH	0	16	0	0
chr1	668	+	CHH	0	18	0	0
chr1	675	+	CHH	0	17	0	0
chr1	677	+	CHH	0	17	0	0
chr1	679	+	CHH	0	17	0	0
chr1	687	+	CHH	0	17	0	0
chr1	689	+	CHH	0	17	0	0
chr1	691	+	CHH	6	16	0.375	1
chr1	720	+	CHH	0	12	0	0
chr1	723	+	CHH	0	13	0	0
chr1	737	+	CHH	0	11	0	0
chr1	739	+	CHH	0	10	0	0
chr1	751	+	CHH	0	10	0	0
chr1	752	+	CHH	0	10	0	0
chr1	754	+	CHH	2	10	0.2	0
chr1	780	+	CHH	1	9	0.111111	0
chr1	785	+	CHH	1	11	0.0909091	0
chr1	788	+	CHH	2	12	0.166667	0
chr1	790	+	CG	12	12	1	1
chr1	795	+	CHG	9	12	0.75	1
chr1	798	+	CHH	2	12	0.166667	0
chr1	805	+	CHH	0	12	0	0
chr1	808	+	CHG	1	12	0.0833333	0
chr1	809	+	CG	11	11	1	1
chr1	811	+	CHH	0	10	0	0
chr1	812	+	CHG	5	10	0.5	1
chr1	824	+	CHH	1	11	0.0909091	0
chr1	825	+	CHH	1	12	0.0833333	0
chr1	832	+	CHH	1	12	0.0833333	0
chr1	833	+	CHH	1	12	0.0833333	0
chr1	1304	+	CHG	1	5	0.2	0
chr1	1339	+	CHH	0	5	0	0
chr1	1343	+	CHH	0	5	0	0
chr1	1351	+	CHH	0	5	0	0
chr1	1355	+	CHH	0	5	0	0
chr1	1359	+	CHH	0	8	0	0
chr1	1394	+	CHH	0	17	0	0
chr1	1395	+	CHH	0	17	0	0
chr1	1403	+	CHH	0	21	0	0
chr1	1410	+	CHH	0	22	0	0
chr1	1433	+	CHG	1	25	0.04	0
chr1	1439	+	CG	0	26	0	0
chr1	1472	+	CHH	1	22	0.0454545	0
chr1	1475	+	CHH	0	21	0	0
chr1	1477	+	CHH	0	20	0	0
chr1	1496	+	CHH	0	15	0	0
chr1	1501	+	CHH	0	15	0	0
chr1	1505	+	CHH	0	15	0	0
chr1	1515	+	CHH	0	14	0	0
chr1	1516	+	CHH	0	14	0	0
chr1	1517	+	CHH	0	15	0	0
chr1	1518	+	CHH	1	15	0.0666667	0
chr1	1526	+	CHH	0	16	0	0
chr1	1529	+	CHH	0	15	0	0
chr1	1539	+	CHH	0	21	0	0
chr1	1541	+	CG	0	21	0	0
chr1	1546	+	CHH	0	22	0	0
chr1	1552	+	CHH	0	23	0	0
chr1	1556	+	CHH	0	23	0	0
chr1	1572	+	CHH	0	23	0	0
chr1	1575	+	CHH	0	23	0	0
chr1	1582	+	CHG	0	25	0	0
chr1	1614	+	CHH	0	22	0	0
chr1	1615	+	CHG	0	22	0	0
chr1	1625	+	CHH	0	20	0	0
chr1	1626	+	CHH	1	21	0.047619	0
chr1	1633	+	CHG	0	21	0	0
chr1	1634	+	CG	0	22	0	0
chr1	1637	+	CHH	0	21	0	0
chr1	1649	+	CG	0	18	0	0
chr1	1655	+	CHH	0	17	0	0
chr1	1660	+	CHH	0	15	0	0
chr1	1662	+	CHH	0	15	0	0
chr1	1663	+	CHH	0	15	0	0
chr1	1691	+	CHH	0	14	0	0
chr1	1694	+	CHH	0	14	0	0
chr1	1695	+	CHH	0	14	0	0
chr1	1698	+	CHH	0	13	0	0
chr1	1699	+	CHH	0	13	0	0
chr1	1701	+	CHH	0	13	0	0
chr1	1704	+	CHH	0	13	0	0
chr1	1708	+	CHH	0	13	0	0
chr1	1724	+	CHH	0	7	0	0
chr1	1725	+	CHH	0	7	0	0
chr1	1730	+	CHH	0	6	0	0
chr1	1734	+	CHH	0	6	0	0
chr1	1737	+	CHH	0	6	0	0
chr1	1740	+	CHH	0	7	0	0
chr1	1747	+	CHH	0	7	0	0
chr1	1748	+	CHH	0	7	0	0
chr1	1754	+	CHH	0	7	0	0
chr1	1796	+	CHH	0	8	0	0
chr1	1807	+	CHH	0	7	0	0
chr1	1813	+	CHG	0	8	0	0
chr1	1901	+	CHH	0	7	0	0
chr1	1903	+	CHH	0	6	0	0
chr1	1910	+	CHH	0	6	0	0
chr1	2594	+	CHG	0	18	0	0
chr1	2607	+	CHG	0	19	0	0
chr1	2637	+	CHH	0	15	0	0
chr1	2643	+	CHG	0	15	0	0
chr1	2646	+	CHH	0	14	0	0
