chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	11897	11976	+	80	AT1TE00010	ATCOPIA24	LTR/Copia
chr1	664383	664538	-	156	AT1TE02160	META1	LTR/Copia
chr1	1899519	1899767	-	249	AT1TE06220	ATCOPIA69	LTR/Copia
chr1	2157095	2157660	+	566	AT1TE07050	ATCOPIA58	LTR/Copia
chr1	3090084	3090272	+	189	AT1TE10030	ATCOPIA17	LTR/Copia
chr1	3224486	3224558	+	73	AT1TE10470	ATCOPIA59	LTR/Copia
chr1	3360540	3360625	-	86	AT1TE10930	ATCOPIA78	LTR/Copia
chr1	3360626	3361316	-	691	AT1TE10935	ATCOPIA78	LTR/Copia
chr1	3506360	3506498	+	139	AT1TE11410	ATCOPIA68	LTR/Copia
chr1	3780765	3785721	+	4957	AT1TE12295	ATCOPIA78	LTR/Copia
chr1	3790753	3790843	+	91	AT1TE12305	ATCOPIA46	LTR/Copia
chr1	3790844	3790907	-	64	AT1TE12310	ATCOPIA46	LTR/Copia
chr1	3894686	3894779	+	94	AT1TE12660	ATCOPIA37	LTR/Copia
chr1	3895094	3897046	+	1953	AT1TE12665	ATCOPIA37	LTR/Copia
chr1	3925331	3926124	-	794	AT1TE12770	ATCOPIA30	LTR/Copia
chr1	4405694	4405995	-	302	AT1TE14310	META1	LTR/Copia
chr1	4405996	4411119	-	5124	AT1TE14315	META1	LTR/Copia
chr1	4411120	4411234	-	115	AT1TE14320	META1	LTR/Copia
chr1	4512584	4512667	-	84	AT1TE14655	ATCOPIA59	LTR/Copia
chr1	4568341	4568452	-	112	AT1TE14820	ATCOPIA28	LTR/Copia
chr1	4835450	4835616	-	167	AT1TE15660	ATCOPIA88	LTR/Copia
chr1	4846671	4846730	-	60	AT1TE15700	ATCOPIA62	LTR/Copia
chr1	4908296	4908451	+	156	AT1TE15890	ATCOPIA68	LTR/Copia
chr1	4931018	4931086	-	69	AT1TE15960	ATCOPIA57	LTR/Copia
chr1	5653689	5653775	+	87	AT1TE18270	ATCOPIA28	LTR/Copia
chr1	5691740	5696671	+	4932	AT1TE18410	ATCOPIA89	LTR/Copia
chr1	5696672	5696699	+	28	AT1TE18415	ATCOPIA89	LTR/Copia
chr1	5784963	5785335	+	373	AT1TE18700	ATCOPIA9	LTR/Copia
chr1	5797671	5797691	-	21	AT1TE18745	ATCOPIA92	LTR/Copia
chr1	5797692	5797910	-	219	AT1TE18750	ATCOPIA92	LTR/Copia
chr1	5999194	5999282	+	89	AT1TE19400	ATCOPIA13	LTR/Copia
chr1	6009292	6014092	-	4801	AT1TE19430	ATCOPIA64	LTR/Copia
chr1	6014093	6014116	-	24	AT1TE19435	ATCOPIA65	LTR/Copia
chr1	6075609	6075714	+	106	AT1TE19640	META1	LTR/Copia
chr1	6302582	6303156	+	575	AT1TE20410	ATCOPIA58	LTR/Copia
chr1	6478132	6478451	+	320	AT1TE21010	ATCOPIA35	LTR/Copia
chr1	6538419	6543539	+	5121	AT1TE21210	META1	LTR/Copia
chr1	6630259	6630352	-	94	AT1TE21480	ATRE1	LTR/Copia
chr1	6704197	6709404	+	5208	AT1TE21710	META1	LTR/Copia
chr1	6719325	6720759	+	1435	AT1TE21735	ATCOPIA14	LTR/Copia
chr1	6840167	6840274	+	108	AT1TE22110	ATCOPIA59	LTR/Copia
chr1	6880492	6880695	-	204	AT1TE22230	ATCOPIA17	LTR/Copia
chr1	7163108	7163343	-	236	AT1TE23160	ATCOPIA81	LTR/Copia
chr1	7294987	7295099	+	113	AT1TE23550	ATCOPIA37	LTR/Copia
chr1	7433495	7433653	+	159	AT1TE23955	ATCOPIA57	LTR/Copia
chr1	7630434	7630573	+	140	AT1TE24580	ATCOPIA26	LTR/Copia
chr1	7714708	7722547	+	7840	AT1TE24850	ATCOPIA78	LTR/Copia
chr1	7742722	7742941	-	220	AT1TE24900	ATCOPIA17	LTR/Copia
chr1	7881083	7881155	-	73	AT1TE25360	ATCOPIA20	LTR/Copia
chr1	8053168	8053294	-	127	AT1TE25910	ATCOPIA59	LTR/Copia
chr1	8160056	8160565	+	510	AT1TE26260	ATCOPIA42	LTR/Copia
chr1	8193020	8193117	-	98	AT1TE26380	ATCOPIA28	LTR/Copia
chr1	8919856	8920080	+	225	AT1TE28800	ATCOPIA34	LTR/Copia
chr1	9001441	9001749	-	309	AT1TE29045	ATCOPIA35	LTR/Copia
chr1	9341445	9341548	-	104	AT1TE30105	ATCOPIA84	LTR/Copia
chr1	9368299	9368344	-	46	AT1TE30190	ATCOPIA61	LTR/Copia
chr1	9368345	9373307	-	4963	AT1TE30195	ATCOPIA16	LTR/Copia
chr1	9373309	9373343	-	35	AT1TE30200	ATCOPIA16	LTR/Copia
chr1	9476002	9480634	+	4633	AT1TE30550	ATCOPIA3	LTR/Copia
chr1	9756656	9756816	+	161	AT1TE31410	ATCOPIA6	LTR/Copia
chr1	9786016	9786133	+	118	AT1TE31500	ATCOPIA28	LTR/Copia
chr1	9887400	9887507	+	108	AT1TE31860	ATCOPIA68	LTR/Copia
chr1	9907902	9908868	+	967	AT1TE31930	ATCOPIA95	LTR/Copia
chr1	9909363	9909762	+	400	AT1TE31935	ATCOPIA95	LTR/Copia
chr1	9910964	9911199	-	236	AT1TE31945	ATCOPIA46	LTR/Copia
chr1	9928214	9928416	+	203	AT1TE32005	ATCOPIA35	LTR/Copia
chr1	9928424	9928443	+	20	AT1TE32010	ATCOPIA35	LTR/Copia
chr1	9928444	9931897	+	3454	AT1TE32015	ATCOPIA64	LTR/Copia
chr1	9931898	9931937	+	40	AT1TE32020	ATCOPIA65	LTR/Copia
chr1	10315443	10315738	-	296	AT1TE33345	ATCOPIA54	LTR/Copia
chr1	10315744	10317790	+	2047	AT1TE33350	ATCOPIA65	LTR/Copia
chr1	10522218	10522868	-	651	AT1TE34000	ATCOPIA13	LTR/Copia
chr1	10610329	10610360	+	32	AT1TE34330	ATCOPIA83	LTR/Copia
chr1	10610361	10614006	+	3646	AT1TE34335	ATCOPIA26	LTR/Copia
chr1	10613009	10613053	+	45	AT1TE34340	ATCOPIA83	LTR/Copia
chr1	10614007	10614184	+	178	AT1TE34345	ATCOPIA83	LTR/Copia
chr1	10675534	10675818	-	285	AT1TE34500	ATCOPIA62	LTR/Copia
chr1	10675819	10675855	-	37	AT1TE34505	ATCOPIA61	LTR/Copia
chr1	10696714	10701584	+	4871	AT1TE34580	ATCOPIA73	LTR/Copia
chr1	10701585	10701640	+	56	AT1TE34585	ATCOPIA15	LTR/Copia
chr1	10714644	10714869	-	226	AT1TE34620	ATCOPIA94	LTR/Copia
chr1	10915976	10916170	+	195	AT1TE35255	ATCOPIA15	LTR/Copia
chr1	11148275	11148307	-	33	AT1TE36030	ATCOPIA25	LTR/Copia
chr1	11148308	11152649	-	4342	AT1TE36035	ATCOPIA51	LTR/Copia
chr1	11152650	11152684	-	35	AT1TE36040	ATCOPIA52	LTR/Copia
chr1	11152685	11152710	-	26	AT1TE36045	ATCOPIA79	LTR/Copia
chr1	11178291	11178953	+	663	AT1TE36130	ATCOPIA50	LTR/Copia
chr1	11181821	11181959	+	139	AT1TE36140	ATCOPIA27	LTR/Copia
chr1	11188283	11188413	+	131	AT1TE36160	ATCOPIA28	LTR/Copia
chr1	11203759	11204260	+	502	AT1TE36210	META1	LTR/Copia
chr1	11239005	11239335	+	331	AT1TE36340	ATCOPIA88	LTR/Copia
chr1	11310727	11310971	+	245	AT1TE36575	ENDOVIR1	LTR/Copia
chr1	11325952	11326100	-	149	AT1TE36635	ATCOPIA21	LTR/Copia
chr1	11474999	11475090	+	92	AT1TE37130	ATCOPIA26	LTR/Copia
chr1	11537286	11537388	+	103	AT1TE37345	ATCOPIA47	LTR/Copia
chr1	11634521	11634652	+	132	AT1TE37650	ATCOPIA87	LTR/Copia
chr1	11789450	11794079	+	4630	AT1TE38210	ATCOPIA31	LTR/Copia
chr1	11861677	11861876	+	200	AT1TE38445	ATCOPIA95	LTR/Copia
chr1	11927029	11927176	-	148	AT1TE38600	ATCOPIA56	LTR/Copia
chr1	12001559	12001782	+	224	AT1TE38870	ATCOPIA34	LTR/Copia
chr1	12099153	12099373	-	221	AT1TE39235	ATCOPIA61	LTR/Copia
chr1	12252752	12253031	-	280	AT1TE39805	ATCOPIA36	LTR/Copia
chr1	12273260	12276388	-	3129	AT1TE39880	ATCOPIA35	LTR/Copia
chr1	12276389	12276648	-	260	AT1TE39885	ATCOPIA54	LTR/Copia
chr1	12281845	12282217	+	373	AT1TE39900	ATCOPIA12	LTR/Copia
chr1	12343258	12343403	+	146	AT1TE40160	ATCOPIA95	LTR/Copia
chr1	12406582	12406659	-	78	AT1TE40350	ATCOPIA57	LTR/Copia
chr1	12406709	12410000	+	3292	AT1TE40355	ATCOPIA60	LTR/Copia
chr1	12410001	12412694	-	2694	AT1TE40360	ATCOPIA57	LTR/Copia
chr1	12410498	12411549	-	1052	AT1TE40365	ATCOPIA57	LTR/Copia
chr1	12412695	12412746	-	52	AT1TE40370	ATCOPIA57	LTR/Copia
chr1	12412843	12413622	+	780	AT1TE40375	ATCOPIA52	LTR/Copia
chr1	12413662	12415420	+	1759	AT1TE40380	ATCOPIA82	LTR/Copia
chr1	12468656	12468734	-	79	AT1TE40575	ATCOPIA13	LTR/Copia
chr1	12615152	12615790	-	639	AT1TE41145	ATCOPIA30	LTR/Copia
chr1	12622258	12622537	-	280	AT1TE41200	ATCOPIA85	LTR/Copia
chr1	12640891	12642416	-	1526	AT1TE41280	ATCOPIA15	LTR/Copia
chr1	12642435	12642564	-	130	AT1TE41285	ATCOPIA72	LTR/Copia
chr1	12753468	12753511	+	44	AT1TE41570	ATCOPIA93	LTR/Copia
chr1	12753512	12755059	+	1548	AT1TE41575	ATCOPIA93	LTR/Copia
chr1	12755060	12760395	+	5336	AT1TE41580	ATCOPIA93	LTR/Copia
chr1	12813938	12816180	+	2243	AT1TE41735	ROMANIAT5	LTR/Copia
chr1	12816181	12816250	+	70	AT1TE41740	META1	LTR/Copia
chr1	12841755	12841890	+	136	AT1TE41795	ATCOPIA57	LTR/Copia
chr1	12842158	12845721	+	3564	AT1TE41800	ATCOPIA36	LTR/Copia
chr1	12930132	12930287	+	156	AT1TE42155	ATCOPIA68	LTR/Copia
chr1	12949477	12949708	+	232	AT1TE42220	ATCOPIA17	LTR/Copia
chr1	12990125	12990931	+	807	AT1TE42355	ATCOPIA94	LTR/Copia
chr1	12990932	12991052	+	121	AT1TE42360	ATCOPIA96	LTR/Copia
chr1	13019297	13019464	-	168	AT1TE42440	ATCOPIA51	LTR/Copia
chr1	13019465	13021045	-	1581	AT1TE42445	ATRE1	LTR/Copia
chr1	13021046	13021159	-	114	AT1TE42450	ATCOPIA5	LTR/Copia
