chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	634246	634464	+	219	AT1TE02060	RP1_AT	DNA
chr1	903047	903474	-	428	AT1TE02950	ATREP19	DNA
chr1	1850786	1851269	+	484	AT1TE06060	ATREP19	DNA
chr1	2383162	2383320	-	159	AT1TE07780	ATTIRX1D	DNA
chr1	3413099	3413250	-	152	AT1TE11100	RP1_AT	DNA
chr1	3564974	3565127	+	154	AT1TE11605	ATTIR16T3A	DNA
chr1	3728505	3728801	+	297	AT1TE12130	ATTIRX1A	DNA
chr1	3931963	3932217	+	255	AT1TE12785	ATREP19	DNA
chr1	4193926	4194357	-	432	AT1TE13640	ATREP19	DNA
chr1	5044606	5045303	+	698	AT1TE16325	TNAT1A	DNA
chr1	5194223	5194711	-	489	AT1TE16800	ATREP19	DNA
chr1	5890525	5890604	+	80	AT1TE19050	ATTIRX1A	DNA
chr1	5898934	5899206	+	273	AT1TE19085	ATTIRX1C	DNA
chr1	5899869	5899901	+	33	AT1TE19095	ATTIRX1C	DNA
chr1	6122863	6123448	-	586	AT1TE19795	ATTIR16T3A	DNA
chr1	6556170	6556521	+	352	AT1TE21250	ATTIRX1A	DNA
chr1	6589531	6589760	+	230	AT1TE21360	RP1_AT	DNA
chr1	6715364	6715546	-	183	AT1TE21725	RP1_AT	DNA
chr1	7013323	7013781	+	459	AT1TE22660	ATREP19	DNA
chr1	7132973	7133048	+	76	AT1TE23070	ATREP19	DNA
chr1	7173967	7174501	+	535	AT1TE23190	ATREP19	DNA
chr1	7201688	7202131	-	444	AT1TE23270	TNAT1A	DNA
chr1	7202132	7202162	-	31	AT1TE23275	TNAT1A	DNA
chr1	7202464	7202502	+	39	AT1TE23285	TNAT1A	DNA
chr1	7241159	7241362	+	204	AT1TE23390	RP1_AT	DNA
chr1	7241363	7241617	+	255	AT1TE23395	RP1_AT	DNA
chr1	8012601	8012685	-	85	AT1TE25780	TNAT1A	DNA
chr1	8161975	8162067	+	93	AT1TE26275	TNAT1A	DNA
chr1	8203657	8203778	-	122	AT1TE26410	ATTIRX1A	DNA
chr1	8339259	8339599	-	341	AT1TE26900	ATTIRX1A	DNA
chr1	8690434	8690922	+	489	AT1TE28050	ATREP19	DNA
chr1	8757564	8757756	-	193	AT1TE28250	ATDNA12T3_2	DNA
chr1	9154729	9154986	-	258	AT1TE29500	ATTIRX1B	DNA
chr1	9422396	9422477	+	82	AT1TE30380	ATREP18	DNA
chr1	9432183	9432422	+	240	AT1TE30410	ATTIRX1B	DNA
chr1	9914255	9914716	+	462	AT1TE31960	ATTIR16T3A	DNA
chr1	10060620	10060876	-	257	AT1TE32455	RP1_AT	DNA
chr1	10263217	10263391	-	175	AT1TE33160	ATDNA12T3_2	DNA
chr1	10564719	10564875	-	157	AT1TE34160	ATREP19	DNA
chr1	10867814	10867838	-	25	AT1TE35110	ATREP19	DNA
chr1	10924684	10924715	-	32	AT1TE35285	RP1_AT	DNA
chr1	10924716	10924942	-	227	AT1TE35290	RP1_AT	DNA
chr1	10932104	10932148	-	45	AT1TE35320	TNAT1A	DNA
chr1	10932149	10932697	-	549	AT1TE35325	TNAT1A	DNA
chr1	11005736	11006300	+	565	AT1TE35530	ATTIR16T3A	DNA
chr1	11016006	11016462	+	457	AT1TE35575	ATTIR16T3A	DNA
chr1	11089309	11089361	-	53	AT1TE35825	ATREP19	DNA
chr1	11205304	11205826	-	523	AT1TE36220	ATREP19	DNA
chr1	11422071	11422450	-	380	AT1TE36945	ATTIRX1C	DNA
chr1	11479601	11479728	+	128	AT1TE37140	ATDNA12T3_2	DNA
chr1	11492841	11493647	-	807	AT1TE37180	ATDNA12T3_2	DNA
chr1	11496620	11497116	-	497	AT1TE37195	ATTIR16T3A	DNA
chr1	11641972	11642197	-	226	AT1TE37670	ATTIR16T3A	DNA
chr1	11958317	11959087	+	771	AT1TE38705	TNAT2A	DNA
