chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	208030	208051	+	22	AT1TE00660	ATDNA2T9C	DNA/MuDR
chr1	213762	214159	+	398	AT1TE00680	ATDNA2T9C	DNA/MuDR
chr1	256921	256967	+	47	AT1TE00830	BRODYAGA2	DNA/MuDR
chr1	257687	257709	+	23	AT1TE00835	AT9NMU1	DNA/MuDR
chr1	257710	258629	-	920	AT1TE00840	AT9NMU1	DNA/MuDR
chr1	258630	258712	-	83	AT1TE00845	AT9NMU1	DNA/MuDR
chr1	422674	424055	+	1382	AT1TE01370	ARNOLDY1	DNA/MuDR
chr1	512671	512692	+	22	AT1TE01660	ATMU3N1	DNA/MuDR
chr1	512693	513136	-	444	AT1TE01665	ATMU3N1	DNA/MuDR
chr1	639130	641133	+	2004	AT1TE02075	ARNOLDY1	DNA/MuDR
chr1	641277	641420	+	144	AT1TE02080	ARNOLDY1	DNA/MuDR
chr1	882330	882554	+	225	AT1TE02880	VANDAL17	DNA/MuDR
chr1	913218	913345	-	128	AT1TE02985	BRODYAGA2	DNA/MuDR
chr1	934884	935351	-	468	AT1TE03050	ATMU6N1	DNA/MuDR
chr1	974403	974811	-	409	AT1TE03175	BRODYAGA1A	DNA/MuDR
chr1	974812	974873	+	62	AT1TE03180	BRODYAGA1A	DNA/MuDR
chr1	976644	977202	+	559	AT1TE03190	BRODYAGA2	DNA/MuDR
chr1	1157763	1157863	+	101	AT1TE03780	LIMPET1	DNA/MuDR
chr1	1185395	1185428	-	34	AT1TE03870	BRODYAGA1A	DNA/MuDR
chr1	1197069	1197444	-	376	AT1TE03905	VANDALNX2	DNA/MuDR
chr1	1201616	1202034	-	419	AT1TE03915	ATDNA2T9C	DNA/MuDR
chr1	1417569	1417699	+	131	AT1TE04620	ATDNA1T9A	DNA/MuDR
chr1	1441515	1441645	+	131	AT1TE04700	ATDNAI27T9A	DNA/MuDR
chr1	1441646	1441670	+	25	AT1TE04705	VANDAL5	DNA/MuDR
chr1	1441741	1442976	+	1236	AT1TE04710	ATDNAI27T9B	DNA/MuDR
chr1	1442977	1443007	+	31	AT1TE04715	ATDNAI27T9B	DNA/MuDR
chr1	1443562	1443971	+	410	AT1TE04720	ATDNAI27T9C	DNA/MuDR
chr1	1444364	1444532	+	169	AT1TE04725	ATDNAI27T9B	DNA/MuDR
chr1	1501823	1502307	-	485	AT1TE04920	BRODYAGA2	DNA/MuDR
chr1	1613272	1614662	-	1391	AT1TE05280	ATREP16	DNA/MuDR
chr1	1676364	1677158	+	795	AT1TE05485	ARNOLDY2	DNA/MuDR
chr1	1791742	1791914	+	173	AT1TE05870	VANDAL1	DNA/MuDR
chr1	1840654	1841049	-	396	AT1TE06030	BRODYAGA2	DNA/MuDR
chr1	1876438	1876508	-	71	AT1TE06140	ARNOLD3	DNA/MuDR
chr1	2002044	2002241	-	198	AT1TE06560	VANDAL17	DNA/MuDR
chr1	2055313	2055429	-	117	AT1TE06730	LIMPET1	DNA/MuDR
chr1	2188895	2189266	-	372	AT1TE07150	BRODYAGA1A	DNA/MuDR
chr1	2199212	2199584	-	373	AT1TE07180	VANDAL5A	DNA/MuDR
chr1	2285666	2286032	+	367	AT1TE07460	ATDNA2T9C	DNA/MuDR
chr1	2473307	2473421	+	115	AT1TE08060	VANDAL8	DNA/MuDR
chr1	2611952	2612481	-	530	AT1TE08510	BRODYAGA1A	DNA/MuDR
chr1	2632338	2632532	+	195	AT1TE08580	ATMU10	DNA/MuDR
chr1	2662995	2663093	+	99	AT1TE08670	ATDNAI27T9C	DNA/MuDR
chr1	2675839	2675952	+	114	AT1TE08710	ATDNAI27T9A	DNA/MuDR
chr1	2788430	2800701	+	12272	AT1TE09080	VANDAL14	DNA/MuDR
chr1	2887305	2887328	+	24	AT1TE09370	ARNOLDY2	DNA/MuDR
chr1	2984317	2984815	-	499	AT1TE09690	VANDAL17	DNA/MuDR
chr1	2986951	2987018	+	68	AT1TE09705	VANDAL8	DNA/MuDR
chr1	3109319	3109710	-	392	AT1TE10090	ATMU6N1	DNA/MuDR
chr1	3252265	3252343	-	79	AT1TE10570	ATDNAI27T9C	DNA/MuDR
chr1	3519607	3519979	+	373	AT1TE11450	BRODYAGA1A	DNA/MuDR
chr1	3526587	3527171	+	585	AT1TE11470	AT9TSD1	DNA/MuDR
chr1	3527230	3527497	+	268	AT1TE11475	BRODYAGA1A	DNA/MuDR
chr1	3544313	3544749	-	437	AT1TE11530	BRODYAGA1A	DNA/MuDR
chr1	3547014	3547591	-	578	AT1TE11535	BRODYAGA1	DNA/MuDR
chr1	3547592	3547613	-	22	AT1TE11540	BRODYAGA1A	DNA/MuDR
chr1	3551042	3551135	+	94	AT1TE11560	ATMUN1	DNA/MuDR
chr1	3630277	3630404	-	128	AT1TE11810	ATDNAI27T9A	DNA/MuDR
chr1	3672593	3673012	+	420	AT1TE11950	VANDAL5	DNA/MuDR
chr1	3774282	3774495	+	214	AT1TE12280	ATMUN1	DNA/MuDR
chr1	3775143	3775241	+	99	AT1TE12285	ATMUN1	DNA/MuDR
chr1	3825294	3825411	-	118	AT1TE12420	ARNOLDY1	DNA/MuDR
chr1	3825412	3825780	-	369	AT1TE12425	ARNOLDY2	DNA/MuDR
chr1	3825781	3827697	-	1917	AT1TE12430	ARNOLDY1	DNA/MuDR
chr1	3851788	3851943	+	156	AT1TE12525	BRODYAGA2	DNA/MuDR
chr1	3897178	3898168	-	991	AT1TE12675	ATDNA2T9C	DNA/MuDR
chr1	3909919	3909941	-	23	AT1TE12710	BRODYAGA2	DNA/MuDR
chr1	3944738	3944925	+	188	AT1TE12830	BRODYAGA1A	DNA/MuDR
chr1	4071870	4072056	+	187	AT1TE13245	VANDAL1	DNA/MuDR
chr1	4109989	4110103	+	115	AT1TE13360	AT9NMU1	DNA/MuDR
chr1	4110104	4111021	+	918	AT1TE13365	AT9NMU1	DNA/MuDR
chr1	4111033	4111110	-	78	AT1TE13370	ARNOLDY2	DNA/MuDR
