chr	start	end	strand	length	TE_ID	TE_Family	TE_Super_Family
chr1	846664	847739	+	1076	AT1TE02770	SADHU	Unassigned
chr1	2070737	2073535	+	2799	AT1TE06780	Unassigned	Unassigned
chr1	5265726	5268602	-	2877	AT1TE17030	Unassigned	Unassigned
chr1	7428112	7428930	-	819	AT1TE23940	Unassigned	Unassigned
chr1	7442218	7442979	-	762	AT1TE23980	Unassigned	Unassigned
chr1	7449964	7450695	-	732	AT1TE23995	Unassigned	Unassigned
chr1	7451150	7451707	-	558	AT1TE24000	Unassigned	Unassigned
chr1	7980709	7981263	+	555	AT1TE25665	Unassigned	Unassigned
chr1	8927732	8933058	-	5327	AT1TE28830	Unassigned	Unassigned
chr1	10966907	10968878	+	1972	AT1TE35415	SADHU	Unassigned
chr1	12291258	12292501	+	1244	AT1TE39950	Unassigned	Unassigned
chr1	12466962	12467841	-	880	AT1TE40560	Unassigned	Unassigned
chr1	12840228	12841118	-	891	AT1TE41790	SADHU	Unassigned
chr1	13214130	13215116	+	987	AT1TE43155	Unassigned	Unassigned
chr1	13908906	13910793	-	1888	AT1TE45665	Unassigned	Unassigned
chr1	14120423	14121025	+	603	AT1TE46375	Unassigned	Unassigned
chr1	14193585	14194819	-	1235	AT1TE46630	Unassigned	Unassigned
chr1	14825236	14825643	-	408	AT1TE48695	Unassigned	Unassigned
chr1	16240477	16244557	+	4081	AT1TE53470	Unassigned	Unassigned
chr1	16311524	16316838	+	5315	AT1TE53710	Unassigned	Unassigned
chr1	16470872	16471248	+	377	AT1TE54330	Unassigned	Unassigned
chr1	16606612	16607394	+	783	AT1TE54750	Unassigned	Unassigned
chr1	16985002	16985852	+	851	AT1TE56235	SADHU	Unassigned
chr1	18806508	18807394	-	887	AT1TE62360	SADHU	Unassigned
chr1	23837561	23839897	+	2337	AT1TE78470	Unassigned	Unassigned
chr1	23840888	23843251	+	2364	AT1TE78475	Unassigned	Unassigned
chr1	23850572	23852785	+	2214	AT1TE78490	Unassigned	Unassigned
chr1	26346488	26348691	+	2204	AT1TE86305	Unassigned	Unassigned
chr1	30100473	30103899	-	3427	AT1TE98440	Unassigned	Unassigned
chr2	1232666	1233185	-	520	AT2TE05545	Unassigned	Unassigned
chr2	2297816	2298721	+	906	AT2TE10595	Unassigned	Unassigned
chr2	3113355	3114636	-	1282	AT2TE13475	Unassigned	Unassigned
chr2	3117080	3117673	-	594	AT2TE13495	Unassigned	Unassigned
chr2	3481085	3482066	-	982	AT2TE15155	Unassigned	Unassigned
chr2	3836126	3837892	-	1767	AT2TE16500	Unassigned	Unassigned
chr2	4005995	4007044	-	1050	AT2TE16945	SADHU	Unassigned
chr2	5031469	5032435	-	967	AT2TE20680	Unassigned	Unassigned
chr2	5132376	5133590	+	1215	AT2TE21050	Unassigned	Unassigned
chr2	5412450	5413079	-	630	AT2TE21915	Unassigned	Unassigned
chr2	6351159	6353252	-	2094	AT2TE25875	Unassigned	Unassigned
chr2	6672892	6673989	-	1098	AT2TE27220	Unassigned	Unassigned
chr2	6845385	6848332	-	2948	AT2TE27880	Unassigned	Unassigned
