chr	pos	strand	type	num_C	depth	percentage	isMeth
chr1	1	+	CHH	0	6	0.1	1
chr1	2	+	CHH	0	8	0.2	1
chr1	3	+	CHH	0	0	0	0
chr1	8	+	CHH	0	0	0	0
chr1	9	+	CHH	0	0	0	0
chr1	10	+	CHH	0	0	0	0
chr1	15	+	CHH	0	0	0	0
chr1	16	+	CHH	0	0	0	0
chr1	17	+	CHH	0	0	0	0
chr1	22	+	CHH	0	0	0	0
chr1	23	+	CHH	0	0	0	0
chr1	24	+	CHH	0	0	0	0
chr1	29	+	CHH	0	0	0	0
chr1	30	+	CHH	0	0	0	0
chr1	32	+	CHG	0	0	0	0
chr1	38	+	CHH	0	0	0	0
chr1	39	+	CHH	0	1	0	0
chr1	45	+	CHH	0	1	0	0
chr1	46	+	CHH	0	1	0	0
chr1	47	+	CHH	1	1	1	0
chr1	53	+	CHH	0	2	0	0
chr1	54	+	CHH	0	2	0	0
chr1	55	+	CHH	1	2	0.5	0
chr1	61	+	CHH	0	2	0	0
chr1	69	+	CHH	0	2	0	0
chr1	70	+	CHH	1	3	0.333333	0
chr1	73	+	CHH	0	3	0	0
chr1	76	+	CHH	0	3	0	0
chr1	77	+	CHH	1	3	0.333333	0
chr1	84	+	CHH	0	3	0	0
chr1	85	+	CHH	0	3	0	0
chr1	86	+	CHH	2	3	0.666667	1
chr1	93	+	CHH	0	3	0	0
chr1	94	+	CHH	0	3	0	0
chr1	100	+	CHH	1	4	0.25	0
chr1	101	+	CHH	1	4	0.25	0
chr1	102	+	CHH	1	5	0.2	0
chr1	107	+	CHH	0	5	0	0
chr1	108	+	CHG	5	5	1	1
chr1	109	+	CG	5	5	1	0
chr1	114	+	CHG	1	7	0.142857	0
chr1	115	+	CG	7	7	1	1
chr1	121	+	CHH	0	9	0	0
chr1	123	+	CHG	9	9	1	1
chr1	135	+	CHH	0	13	0	0
chr1	161	+	CG	12	13	0.923077	1
chr1	177	+	CHH	1	13	0.0769231	0
chr1	209	+	CHH	0	9	0	0
chr1	219	+	CHH	0	9	0	0
chr1	224	+	CHH	0	6	0	0
chr1	229	+	CHH	0	6	0	0
chr1	230	+	CHH	0	6	0	0
chr1	236	+	CHH	0	6	0	0
chr1	247	+	CHH	0	5	0	0
chr1	251	+	CHH	0	5	0	0
chr1	252	+	CHH	0	5	0	0
chr1	255	+	CHH	1	5	0.2	0
chr1	257	+	CHH	0	5	0	0
chr1	262	+	CHH	0	7	0	0
chr1	277	+	CHH	0	14	0	0
chr1	280	+	CHH	0	15	0	0
chr1	298	+	CHH	1	18	0.0555556	0
chr1	302	+	CHH	0	17	0	0
chr1	307	+	CHH	2	17	0.117647	0
chr1	310	+	CG	5	18	0.277778	1
chr1	314	+	CHH	2	19	0.105263	0
chr1	317	+	CHH	0	18	0	0
chr1	334	+	CHH	0	19	0	0
chr1	336	+	CHH	0	20	0	0
chr1	346	+	CHH	0	22	0	0
chr1	347	+	CHH	0	22	0	0
chr1	363	+	CHH	0	18	0	0
chr1	365	+	CHH	0	18	0	0
chr1	372	+	CHH	0	17	0	0
chr1	389	+	CHG	0	14	0	0
chr1	404	+	CHH	0	13	0	0
chr1	414	+	CHH	0	13	0	0
chr1	418	+	CHH	2	15	0.133333	0
chr1	422	+	CHH	1	15	0.0666667	0
chr1	424	+	CHH	1	16	0.0625	0
chr1	425	+	CHH	1	16	0.0625	0
chr1	444	+	CHH	4	15	0.266667	1
chr1	448	+	CHH	3	14	0.214286	1
chr1	456	+	CHH	1	15	0.0666667	0
chr1	493	+	CHH	0	19	0	0
chr1	497	+	CHH	0	19	0	0
chr1	500	+	CG	16	21	0.761905	1
chr1	511	+	CG	16	19	0.842105	1
chr1	513	+	CHH	0	18	0	0
chr1	518	+	CHH	1	18	0.0555556	0
chr1	521	+	CHH	0	19	0	0
chr1	523	+	CHH	0	20	0	0
chr1	526	+	CHH	1	20	0.05	0
chr1	528	+	CHH	0	21	0	0
chr1	530	+	CHH	3	23	0.130435	1
chr1	547	+	CHH	0	23	0	0
chr1	548	+	CHH	0	24	0	0
chr1	554	+	CHH	0	22	0	0
chr1	562	+	CHG	4	23	0.173913	1
chr1	570	+	CHH	1	21	0.047619	0
